Category,SL.No.,State/UT/City,Recidential Premises - Number,Recidential Premises - Value,Highways - Number,Highways - Value,River & Sea - Number,River & Sea - Value,Railways - Number,Railways - Value,Banks - Number,Banks - Value,Commercial Establishments - Number,Commercial Establishments - Value,Other Places - Number,Other Places - Value,Total - Number,Total - Value
State,1,Andhra Pradesh,6992,615,99,11.2,6,0.5,646,71.2,9,1,1232,74.2,5429,441.9,14413,1215
State,2,Arunachal Pradesh,174,25.5,6,0.4,0,0,0,0,1,0,33,3.2,154,39.4,368,68.5
State,3,Assam,3764,207.5,67,5.4,0,0,38,1.8,1,0.2,558,32,3093,228.8,7521,475.6
State,4,Bihar,8009,522,299,3.3,12,0.4,1045,55.7,6,1.2,1535,150.9,5876,355.4,16782,1088.9
State,5,Goa,165,39.5,0,0,9,3.4,0,0,0,0,88,21.8,475,94.6,737,159.3
State,6,Gujarat,3946,513.1,85,45.5,19,1.3,419,60.8,13,2.1,936,172,12190,1776.7,17608,2571.5
State,7,Haryana,2281,699.9,0,0,0,0,212,23.6,3,1.7,400,46.3,2101,886.3,4997,1657.9
State,8,Himachal Pradesh,218,33.5,48,37.4,0,0,1,0.1,1,0,42,9.3,461,128.6,771,208.9
State,9,Jammu & Kashmir,707,833.6,3,4.2,0,0,5,0.4,0,0,75,13.8,1567,264.2,2357,1116.2
State,10,Karnataka,4328,547.7,136,26.1,0,0,208,29,1005,21.3,645,134.7,10510,2489.2,16832,3248
State,11,Kerala,1081,272.2,124,39.1,24,4.3,78,14.1,3,0.1,219,54.9,2198,583.8,3727,968.6
State,12,Madhya Pradesh,9720,717.1,972,90.9,75,2.7,1050,97.2,14,3.5,1561,79.6,13768,1369.9,27160,2360.8
State,13,Maharashtra,11254,1714.3,605,123,4,0.2,3803,403.1,14,0.6,1889,659.5,30200,7366.2,47769,10267
State,14,Manipur,61,10,22,7.3,0,0,0,0,0,0,25,7.6,161,47,269,72
State,15,Meghalaya,260,49.6,3,0.1,0,0,0,0,67,16.6,102,27.8,0,0,432,94.1
State,16,Mizoram,397,25.3,0,0,0,0,0,0,0,0,16,2,554,31,967,58.3
State,17,Nagaland,47,11.7,0,0,0,0,0,0,0,0,45,16.7,119,11.7,211,40.1
State,18,Orissa,2383,459.8,28,4.8,0,0,191,0,193,21.2,497,214.6,4346,1106.8,7638,1807.1
State,19,Punjab,614,304.4,13,33.6,0,0,22,11.7,0,0,74,53.5,941,545.6,1664,948.8
State,20,Rajasthan,7381,914,22,7.2,0,0,407,32.2,0,0,1539,99.2,7873,1292,17222,2344.8
State,21,Sikkim,38,3.4,4,0.4,0,0,0,0,0,0,19,22.2,73,9.4,134,35.4
State,22,Tamil Nadu,6116,648.5,801,102.3,35,0.7,213,23.6,4,0.1,1307,316.7,10190,799.9,18666,1891.8
State,23,Tripura,310,13.4,0,0,0,0,0,0,0,0,25,0.3,153,5.6,488,19.3
State,24,Uttar Pradesh,8508,1014.2,6472,839.4,0,0,3267,122.8,1,0.1,301,53.7,14973,1883.2,33522,3913.5
State,25,West Bengal,9278,509.3,69,12.5,0,0,1440,48.7,12,0.1,1787,177,8109,495.6,20695,1243.2
State,Total (States),Total (States),88032,10704.3,9878,1394.2,184,13.5,13045,996.2,1347,69.7,14950,2443.7,135514,22252.9,262950,37874.6
UT,26,A & N Islands,9,1.4,0,0,0,0,0,0,0,0,2,0,27,4.5,38,6
UT,27,Chandigarh,350,69.4,0,0,0,0,0,0,1,0.1,59,20.1,466,97,876,186.5
UT,28,D & N Haveli,5,0.1,0,0,0,0,0,0,0,0,14,6.4,44,3.4,63,9.9
UT,29,Daman & Diu,5,1.4,0,0,0,0,0,0,0,0,4,0.7,28,6.8,37,8.8
UT,30,Delhi,8079,2181.6,973,264.7,0,0,722,51.7,13,0.4,2047,370.8,8707,2248.7,20541,5118
UT,31,Lakshadweep,0,0,0,0,0,0,0,0,0,0,0,0,7,0.1,7,0.1
UT,32,Pondicherry,31,6.6,0,0,0,0,0,0,0,0,8,1.1,434,38.9,473,46.6
UT,Total (UTs),Total (UTs),8479,2260.4,973,264.7,0,0,722,51.7,14,0.5,2134,399.1,9713,2399.4,22035,5375.8
Total (All-India),Total (All-India),Total (All-India),96511,12964.7,10851,1658.9,184,13.5,13767,1047.9,1361,70.3,17084,2842.8,145227,24652.3,284985,43250.5
City,33,Ahmedabad,355,42.8,0,0,2,0,0,0,3,1.2,157,21.8,3334,470.1,3851,536
City,34,Bangalore,2407,1659.6,1,0.6,0,0,0,0,8,1.5,1004,20.8,4669,330.8,8089,2013.3
City,35,Bhopal,488,36.5,0,0,0,0,0,0,10,2.2,104,6.3,568,61.2,1170,106.2
City,36,Bombay,1941,761.5,66,26.5,0,0,0,0,1,0,793,477.3,11285,4936.3,14086,6201.5
City,37,Calcutta,2513,361.8,0,0,0,0,0,0,0,0,741,134.4,2208,213.4,5462,709.6
City,38,Coimbatore,84,4.4,0,0,0,0,0,0,0,0,218,12.4,662,34.7,964,51.4
City,39,Delhi,7624,2098.7,727,260.5,0,0,722,51.7,11,0.4,1892,367.7,8230,2206.3,19206,4985.3
City,40,Hyderabad,2516,276.3,0,0,0,0,0,0,0,0,0,0,0,0,2516,276.3
City,41,Indore,895,106.7,0,0,0,0,0,0,0,0,555,42.6,803,129.1,2253,278.4
City,42,Jaipur,1760,119.8,0,0,0,0,0,0,0,0,617,75.7,869,213.2,3246,408.7
City,43,Kanpur,486,107.2,703,67.9,0,0,0,0,0,0,0,0,98,1.4,1287,176.6
City,44,Kochi,57,9.7,0,0,2,1.9,0,0,0,0,26,5,187,77.2,272,93.8
City,45,Lucknow,82,1.2,419,82.1,0,0,0,0,0,0,0,0,925,157.9,1426,241.2
City,46,Ludhiana,25,43.8,0,0,0,0,0,0,0,0,11,9.8,214,132.8,250,186.4
City,47,Madras,1438,174.7,0,0,0,0,0,0,0,0,181,207.1,1113,160.1,2732,541.9
City,48,Madurai,321,44.3,32,22.6,16,0.3,0,0,0,0,117,21.4,554,46.7,1040,135.3
City,49,Nagpur,378,5.4,0,0,0,0,0,0,0,0,259,32,1982,213.2,2619,250.6
City,50,Patna,1227,182.3,32,1,0,0,0,0,0,0,0,0,79,4,1338,187.3
City,51,Pune,305,35.1,0,0,0,0,0,0,3,0,144,25.9,1736,326.5,2188,387.6
City,52,Surat,356,53.6,0,0,0,0,4,0.1,2,0.1,99,26.1,996,203.4,1457,283.4
City,53,Vadodara,874,124.8,3,0.9,0,0,0,0,0,0,34,6,531,68.1,1442,199.8
City,54,Varanasi,526,59.9,0,0,0,0,0,0,0,0,0,0,0,0,526,59.9
City,55,Vishakhapatnam,198,10.1,0,0,0,0,0,0,2,0.1,66,2.9,540,31.1,806,44.1
