SI.No.,State/UT,Incidence of Total Cognizable Crimes,Percentage Contribution to All-India Total,Estimated Mid- Year Population(In Lakhs),Rate of Total Cognizable Crimes,Rank *
1,Andhra Pradesh,109759,6.4,728.8,150.6,19
2,Arunachal Pradesh,1927,0.1,9.9,194.6,16
3,Assam,36490,2.1,251.1,145.3,21
4,Bihar,117017,6.8,968.7,120.8,24
5,Goa,2798,0.2,13,215.2,13
6,Gujarat,117821,6.9,453.8,259.6,7
7,Haryana,33516,2,184.3,181.9,18
8,Himachal Pradesh,10776,0.6,57.2,188.4,17
9,Jammu & Kashmir,17478,1,86.9,201.1,15
10,Karnataka,114475,6.7,487.3,234.9,10
11,Kerala,86141,5,313.2,275,4
12,Madhya Pradesh,196779,11.5,734.9,267.8,6
13,Maharashtra,187471,11,875.5,214.1,14
14,Manipur,2573,0.2,20.8,123.7,23
15,Meghalaya,1863,0.1,20.1,92.7,30
16,Mizoram,2241,0.1,8.1,276.7,3
17,Nagaland,1378,0.1,14.3,96.4,28
18,Orissa,50619,3,348.7,145.2,22
19,Punjab,13922,0.8,219.2,63.5,32
20,Rajasthan,161621,9.5,491.4,328.9,2
21,Sikkim,710,0,4.8,147.9,20
22,Tamil Nadu,131497,7.7,588.3,223.5,12
23,Tripura,3630,0.2,31.2,116.3,25
24,Uttar Pradesh,172480,10.1,1526.2,113,26
25,West Bengal,69118,4,744.3,92.9,29
Total States,Total States,1644100,96.2,9182,179.1,NA
26,A & N Islands,376,0,3.4,110.6,27
27,Chandigarh,2048,0.1,8.1,252.8,9
28,D & N Haveli,410,0,1.6,256.3,8
29,Daman & DIU,258,0,1.1,234.5,11
30,Delhi,59871,3.5,113.6,527,1
31,Lakshadweep,44,0,0.6,73.3,31
32,Pondicherry,2469,0.1,9,274.3,5
Total (UTs),Total (UTs),65476,3.8,137.4,476.5,NA
Total (All -India),Total (All -India),1709576,100,9319.4,183.4,NA
