SL. No.,State/UT,Total No. of Persons Under Trial Including those from Previous year,No. of Persons whose - Cases Compounded or Withdrawn,No. of Persons whose - Trial Completed,No. of Persons whose - Trial Remained Pending,No. of Persons Convicted,Pendency Percentage,Percentage of Pendency to All-India Total
1,Andhra Pradesh,83119,1936,743962,85291,730126,10.3,2.1
2,Arunachal Pradesh,418,0,28,390,17,93.3,0
3,Assam,15174,268,2654,12252,902,80.7,0.3
4,Bihar,64990,595,13555,50840,4018,78.2,1.3
5,Goa,10024,71,1811,8142,1087,81.2,0.2
6,Gujarat,1067165,4687,151391,911087,52312,85.4,22.7
7,Haryana,107736,0,22951,84785,13962,78.7,2.1
8,Himachal Pradesh,26575,128,3607,22840,560,85.9,0.6
9,Jammu & Kashmir,13841,0,1220,12621,562,91.2,0.3
10,Karnataka,1123608,3499,857849,262260,819372,23.3,6.5
11,Kerala,39277,558,11109,27610,7538,70.3,0.7
12,Madhya Pradesh,600642,24044,228848,347750,210137,57.9,8.7
13,Maharashtra,1583114,54997,396010,1132107,222226,71.5,28.2
14,Manipur,2973,433,861,1679,857,56.5,0
15,Meghalaya,1300,48,321,931,274,71.6,0
16,Mizoram,1054,30,507,517,491,49.1,0
17,Nagaland,2178,34,568,1576,411,72.4,0
18,Orissa,32950,46,6901,26003,2199,78.9,0.6
19,Punjab,45785,178,18096,27511,11681,60.1,0.7
20,Rajasthan,110572,1419,20953,88200,14271,79.8,2.2
21,Sikkim,742,116,441,185,378,24.9,0
22,Tamil Nadu,751417,30832,550676,169909,505067,22.6,4.2
23,Tripura,285,23,84,178,25,62.9,0
24,Uttar Pradesh,950222,1743,303312,645167,232249,67.9,16.1
25,West Bengal,806557,361582,411474,33501,406018,4.2,0.8
Total (States),Total (States),8189788,487267,3749189,3953332,3236740,48.3,98.5
26,A & N Islands,3767,0,1670,2097,1606,55.7,0.1
27,Chandigarh,402,7,166,229,111,57,0
28,D & N Haveli,109,0,45,64,15,58.7,0
29,Daman & Diu,19,0,1,18,0,94.7,0
30,Delhi,71833,0,15282,56551,9538,78.7,1.4
31,Lakshadweep,2,0,2,0,1,0,0
32,Pondicherry,2012,0,1763,249,1653,12.4,0
Total (UTs),Total (UTs),78144,7,18929,59208,12925,75.8,1.5
Total (All -India),Total (All -India),8267932,487274,3768118,4012540,3249665,48.5,100
