SL. No.,Year,Incidence of - Juvenile Crimes,Incidence of - Total Cognizable Crimes,Percentage of Juvenile Crimes to Total Crimes,Estimated Mid-Year Population* (in Lakh),Rate (Incidence of Crime Per Lakh of Population)
1,1986,55887,1405835,4,7661,7.3
2,1987,52610,1406992,3.7,7814,6.7
3,1988**,24827,1440356,1.7,7966,3.1
4,1989,18457,1529844,1.2,8118,2.3
5,1990,15230,1604449,0.9,8270,1.8
6,1991,12588,1678375,0.8,8496,1.5
7,1992,11100,1689341,0.7,8677,1.3
8,1993,9465,1629936,0.6,8838,1.1
9,1994,8561,1635251,0.5,8999,1
10,1995,9766,1695696,0.6,9160,1.1
11,1996,10024,1709576,0.6,9319,1.1
