SL.No.,Event,No. of Occasions of Police Firing,Civilians - Killed,Civilians - Injured,Policemen - Killed,Policemen - Injured
1,Riot Control,204,53,166,1,335
2,Anti-Dacoity Operations,130,54,42,4,53
3,Against Extremists and Terrorists,292,170,26,71,107
4,Against Others,139,75,52,6,85
Total,Total,765,352,286,82,580
