SL.No.,Place of Occurrence,Dacoity - Number,Dacoity - Value,Robbery - Number,Robbery - Value,Burglary - Number,Burglary - Value,Theft - Number,Theft - Value
1,Residental Premises,4185,1752.5,5289,1223.1,82130,11088.7,96511,12964.7
2,High-way,1130,799.4,5307,1886.4,235,16.1,10851,1658.9
3,River & Sea,10,17.7,13,6.2,27,5.3,184,13.5
4,Railways,245,56.2,438,79.5,55,87.2,13767,1047.9
5,Banks,48,69.4,84,85.1,553,194.2,1361,70.3
6,Commercial Establishments,433,395.2,1038,595.5,10087,1933.7,17084,2842.8
7,Other Places,1984,1334.3,10536,2684.1,22010,3441.8,145227,24652.3
8,Total,8035,4424.7,22705,6559.9,115097,16766.9,284985,43250.5
