Category,SI.No.,State/UT/City,Murder - 1995,Murder - 1996,Murder - Percentage Variation,Attempt to Commit Murder - 1995,Attempt to Commit Murder - 1996,Attempt to Commit Murder - Percentage Variation,C.H.Not Amounting to Murder - 1995,C.H.Not Amounting to Murder - 1996,C.H.Not Amounting to Murder - Percentage Variation,Rape - 1995,Rape - 1996,Rape - PercentageVariation,Kidnaping & Abduction - Total - 1995,Kidnaping & Abduction - Total - 1996,Kidnaping & Abduction - Total - Percentage Variation,Kidnaping & Abduction - of Women & Girls - 1995,Kidnaping & Abduction - of Women & Girls - 1996,Kidnaping & Abduction - of Women & Girls - Percentage Variation,Kidnaping & Abduction - of Others - 1995,Kidnaping & Abduction - of Others - 1996,Kidnaping & Abduction - of Others - Percentage Variation,Dacoity - 1995,Dacoity - 1996,Dacoity - Percentage Variation,Preperation & Assembly for Dacoity - 1995,Preperation & Assembly for Dacoity - 1996,Preperation & Assembly for Dacoity - Percentage Variation,Robbery - 1995,Robbery - 1996,Robbery - Percentage Variation,Burglary - 1995,Burglary - 1996,Burglary - Percentage Variation,Theft - 1995,Theft - 1996,Theft - Percentage Variation,Riots - 1995,Riots - 1996,Riots - Percentage Variation,Criminal Breach of Trust - 1995,Criminal Breach of Trust - 1996,Criminal Breach of Trust - Percentage Variation,Cheating - 1995,Cheating - 1996,Cheating - Percentage Variation,Counterfeiting - 1995,Counterfeiting - 1996,Counterfeiting - Percentage Variation,Arson - 1995,Arson - 1996,Arson - Percentage Variation,Hurt - 1995,Hurt - 1996,Hurt - Percentage Variation,Dowry Deaths - 1995,Dowry Deaths - 1996,Dowry Deaths - Percentage Variation,Molestation - 1995,Molestation - 1996,Molestation - Percentage Variation,Sexual Harassment - 1995,Sexual Harassment - 1996,Sexual Harassment - Percentage Variation,Cruelty By Husband and Relatives - 1995,Cruelty By Husband and Relatives - 1996,Cruelty By Husband and Relatives - Percentage Variation,Other IPC Crimes - 1995,Other IPC Crimes - 1996,Other IPC Crimes - Percentage Variation,Total Cognizable Crimes Under IPC - 1995,Total Cognizable Crimes Under IPC - 1996,Total Cognizable Crimes Under IPC - Percentage Variation
State,1,Andhra Pradesh,2472,2609,5.5,1316,1318,0.2,94,122,29.8,856,812,-5.1,1064,1028,-3.4,676,682,0.9,388,346,-10.8,555,448,-19.3,10,3,-70,854,775,-9.3,6454,6177,-4.3,15055,14413,-4.3,4690,4058,-13.5,571,585,2.5,2330,2671,14.6,136,113,-16.9,1450,1000,-31,21139,24119,14.1,362,411,13.5,2677,2559,-4.4,769,994,29.3,2829,3478,22.9,39333,42066,6.9,105016,109759,4.5
State,2,Arunachal Pradesh,72,76,5.6,27,33,22.2,2,4,100,25,37,48,47,52,10.6,31,35,12.9,16,17,6.3,37,25,-32.4,0,1,0,50,68,36,131,186,42,313,368,17.6,21,17,-19,26,31,19.2,22,25,13.6,2,6,200,7,12,71.4,101,286,183.2,0,0,0,11,29,163.6,0,1,0,1,4,300,1012,666,-34.2,1907,1927,1
State,3,Assam,1273,1435,12.7,324,409,26.2,28,33,17.9,588,580,-1.4,1293,1190,-8,1119,984,-12.1,174,206,18.4,774,843,8.9,16,24,50,1076,1063,-1.2,3474,3516,1.2,7358,7521,2.2,4122,3534,-14.3,436,444,1.8,536,541,0.9,30,52,73.3,508,730,43.7,3796,4341,14.4,44,28,-36.4,572,569,-0.5,15,8,-46.7,485,553,14,9746,9076,-6.9,36494,36490,0
State,4,Bihar,5050,5264,4.2,4597,4637,0.9,622,590,-5.1,1312,1453,10.7,2070,2378,14.9,832,1003,20.6,1238,1375,11.1,2566,2450,-4.5,203,228,12.3,2678,2955,10.3,6728,6563,-2.5,17244,16782,-2.7,12368,12449,0.7,1440,1693,17.6,1572,1846,17.4,54,32,-40.7,NA,441,0,NA,4805,0,NA,478,0,NA,533,0,NA,107,0,NA,675,0,57094,50658,-11.3,115598,117017,1.2
State,5,Goa,36,30,-16.7,4,11,175,3,9,200,19,10,-47.4,21,13,-38.1,14,9,-35.7,7,4,-42.9,4,4,0,0,0,0,23,71,208.7,615,532,-13.5,1119,737,-34.1,224,184,-17.9,40,31,-22.5,55,54,-1.8,12,5,-58.3,48,19,-60.4,257,222,-13.6,2,1,-50,27,17,-37,6,7,16.7,13,13,0,1017,828,-18.6,3545,2798,-21.1
State,6,Gujarat,1432,1338,-6.6,767,621,-19,19,11,-42.1,309,306,-1,1120,1055,-5.8,974,864,-11.3,146,191,30.8,309,371,20.1,4,3,-25,1112,1130,1.6,3437,5717,-11.2,19942,17608,-11.7,2266,2289,1,2541,2028,-20.2,3114,3197,2.7,166,138,-16.9,NA,541,0,NA,15831,0,NA,105,0,NA,1077,0,NA,81,0,NA,2666,0,83976,61708,-26.5,123514,117821,-4.6
State,7,Haryana,716,606,-15.4,394,374,-5.1,133,83,-37.6,311,336,8,433,452,4.4,297,307,3.4,136,145,6.6,71,55,-22.5,21,27,28.6,266,255,-4.1,3069,3287,7.1,4708,4997,6.1,635,739,16.4,305,356,16.7,718,844,17.5,54,28,-48.1,229,221,-3.5,6464,6103,-5.6,218,223,2.3,483,529,9.5,296,434,46.6,426,490,15,13873,13077,-5.7,33823,33516,-0.9
State,8,Himachal Pradesh,127,123,-3.1,83,80,-3.6,7,7,0,116,132,13.8,162,157,-3.1,125,125,0,37,32,-13.5,2,3,50,0,0,0,20,24,20,1047,987,-5.7,916,771,-15.8,568,539,-5.1,115,97,-15.7,151,149,-1.3,6,16,166.7,160,128,-20,1431,1481,3.5,6,6,0,296,295,-0.3,14,16,14.3,219,227,3.7,5701,5538,-2.9,11147,10776,-3.3
State,9,Jammu & Kashmir,796,1044,31.2,601,797,32.6,22,15,-31.8,109,157,44,354,523,47.7,287,474,65.2,67,49,-26.9,47,65,38.3,0,0,0,160,283,76.9,1753,1931,10.2,2229,2357,5.7,612,710,16,87,71,-18.4,153,150,-2,1,3,200,772,709,-8.2,353,385,9.1,5,0,-100,235,376,60,140,166,18.6,35,33,-5.7,6554,7703,17.5,15018,17478,16.4
State,10,Karnataka,1747,1604,-8.2,1245,1220,-2,47,55,17,263,222,-15.6,595,532,-10.6,301,193,-35.9,294,339,15.3,304,250,-17.8,7,6,-14.3,1081,994,-8,10235,9210,-10,19053,16832,-11.7,9595,8113,-15.4,621,612,-1.4,1973,1984,0.6,76,1208,1489.5,520,696,33.8,21974,24926,13.4,202,182,-9.9,1356,1310,-3.4,192,166,-13.5,1488,1382,-7.1,47760,42971,-10,120334,114475,-4.9
State,11,Kerala,490,417,-14.9,484,444,-8.3,33,94,184.8,266,389,46.2,159,230,44.7,110,149,35.5,49,81,35.3,97,98,1,16,13,-18.8,239,296,23.8,4414,5066,14.8,3275,3727,13.8,6747,6028,-10.7,303,330,8.9,1724,2101,21.9,83,58,-30.1,551,370,-32.8,17268,15653,-9.4,21,25,19,810,1166,44,14,40,185.7,787,1079,37.1,49481,48517,-1.9,87262,86141,-1.3
State,12,Madhya Pradesh,3416,3302,-3.3,3289,3252,-1.1,287,196,-31.7,3119,3265,4.7,1142,1084,-5.1,1028,960,-6.6,114,124,8.8,160,198,23.8,90,112,24.4,1894,1826,-3.6,18073,17853,-1.2,30607,37160,-11.3,3918,3877,-1,731,773,5.7,1543,1632,5.8,89,101,13.5,1324,1267,-4.3,30637,28432,-7.2,417,577,38.4,7355,6838,-7,765,705,-7.8,2640,2493,-5.6,85949,91836,6.8,197445,196779,-0.3
State,13,Maharashtra,2900,2777,-4.2,1336,1238,-7.3,125,119,-4.8,1362,1444,6,1163,1069,-8.1,782,732,-6.4,381,337,-11.5,698,668,-4.3,101,92,-8.9,3130,2865,-8.5,16304,16713,2.5,49323,47769,-3.2,6183,5643,-8.7,1928,1789,-7.2,3282,3411,3.9,162,161,-0.6,1314,1474,12.2,33930,31357,-7.6,471,443,-5.9,3475,3227,-7.1,808,870,7.7,8760,9156,4.5,57408,55186,-3.9,194163,187471,-3.4
State,14,Manipur,257,194,-24.5,125,136,8.8,6,4,-33.3,12,14,16.7,108,79,-26.9,64,59,-7.8,44,20,-54.5,26,18,-30.8,0,0,0,30,36,20,111,97,-12.6,321,269,-16.2,46,73,58.7,29,12,-58.6,49,38,-22.4,11,4,-63.6,68,120,76.5,251,255,1.6,0,0,0,24,19,-20.8,0,0,0,0,2,0,1122,1203,7.2,2596,2573,-0.9
State,15,Meghalaya,128,139,8.6,16,19,18.8,4,4,0,17,33,94.1,22,24,9.1,8,13,62.5,14,11,-21.4,84,34,11.9,3,0,-100,79,105,32.9,157,190,21,451,432,-4.2,55,44,-20,17,18,5.9,29,33,13.8,8,2,-75,NA,25,0,NA,153,0,NA,1,0,NA,24,0,NA,1,0,NA,0,0,703,522,-25.7,1773,1863,5.1
State,16,Mizoram,37,43,16.2,32,18,-43.8,5,8,60,41,49,19.5,9,7,-22.2,0,0,0,9,7,-22.2,9,6,-33.3,2,0,-100,18,22,22.2,324,347,7.1,864,967,11.9,0,0,0,29,51,75.9,76,72,-5.3,12,10,-16.7,34,32,-5.9,88,114,29.5,0,0,0,59,54,-8.5,0,0,0,0,0,0,757,441,-41.7,2396,2241,-6.5
State,17,Nagaland,155,203,31,43,48,11.6,9,8,-11.1,16,9,-43.8,35,49,40,11,27,145.5,24,22,-8.3,37,28,-24.3,0,0,0,102,96,-5.9,243,180,-25.9,278,211,-24.1,6,11,83.3,24,23,-4.2,24,45,87.5,3,1,-66.7,0,6,0,27,43,59.3,0,0,0,0,4,0,0,1,0,0,2,0,393,410,4.3,1395,1378,-1.2
State,18,Orissa,917,1008,9.9,1212,1253,3.4,99,107,8.1,553,617,11.6,463,489,5.6,463,451,-2.6,0,38,NA,284,305,7.4,0,9,0,965,990,2.6,4477,4419,-1.3,8100,7638,-5.7,1947,1892,-2.8,344,391,13.7,461,500,8.5,20,138,590,593,530,-10.6,3350,5107,52.4,196,178,-9.2,1446,1690,16.9,109,175,60.6,554,861,55.4,24905,22322,-10.4,50995,50619,-0.7
State,19,Punjab,679,706,4,322,329,2.2,75,94,25.3,96,178,85.4,233,274,17.6,140,166,18.6,93,108,16.1,12,28,133.3,14,11,-21.4,47,54,14.9,1017,1167,14.7,1374,1664,21.1,6,6,0,155,208,34.2,570,805,41.2,9,32,255.6,41,57,39,2114,2613,23.6,130,180,38.5,73,129,76.7,8,1,-87.5,133,225,69.2,4037,5161,27.8,11145,13922,24.9
State,20,Rajasthan,1386,1622,17,1988,2248,13.1,97,87,-10.3,1036,1162,12.2,2822,2857,1.2,2579,2485,-3.6,243,372,53.1,88,97,10.2,6,2,-66.7,1150,1183,2.9,8340,8806,5.6,16139,17222,6.7,20386,21413,5,889,953,7.2,4972,5853,17.7,411,270,-34.3,1117,1173,5,12872,14203,10.3,369,349,-5.4,2121,2583,21.8,65,44,-32.3,3202,3920,22.4,68810,75574,9.8,148226,161621,9
State,21,Sikkim,12,5,-58.3,9,5,-44.4,1,2,100,3,9,200,14,11,-21.4,4,8,100,10,3,-70,3,1,-66.7,0,0,0,5,9,80,89,70,21.3,125,134,7.2,26,42,61.5,9,9,0,25,51,104,1,1,0,4,0,-100,95,125,31.6,0,0,0,37,47,27,0,0,0,0,0,0,175,189,8,633,710,12.2
State,22,Tamil Nadu,1959,1883,-3.9,1599,1668,4.3,17,16,-5.9,268,327,22,815,976,19.8,661,858,29.8,154,118,-23.4,134,171,27.6,1,1,0,529,600,13.4,5998,6362,6.1,18906,18666,-1.3,7423,7195,-3.1,504,474,-6,1204,1338,11.1,534,236,-55.8,1327,1355,2.1,19559,20689,5.8,34,112,19.1,1212,1253,3.4,1078,1514,40.4,345,353,2.3,63255,66308,4.8,126761,131497,3.7
State,23,Tripura,251,228,-9.2,62,34,-45.2,0,1,0,75,90,20,194,183,-5.7,40,43,7.5,154,140,-9.1,183,115,-37.2,5,4,-20,144,120,-16.7,375,301,-19.7,576,488,-15.3,246,266,8.1,14,27,92.9,23,30,30.4,3,5,66.7,111,106,-4.5,614,566,-7.8,7,19,171.4,80,94,17.5,1,1,0,57,66,15.8,710,886,24.8,3731,3630,-2.7
State,24,Uttar Pradesh,8784,8500,-3.2,8523,8261,-3.1,1383,1332,-3.7,1808,1854,2.5,3842,3931,2.3,2337,2501,7,1505,1430,-5,1327,1146,-13.6,190,113,-40.5,5348,5395,0.9,13383,11819,-11.7,36209,33522,-7.4,7918,6980,-11.8,3142,3204,2,3167,3433,8.4,193,61,-68.4,1643,1157,-29.6,20100,14212,-29.3,1850,1983,7.2,2631,2526,-4,154,118,-23.4,3165,3989,26,53232,58944,10.7,177992,172480,-3.1
State,25,West Bengal,1788,1927,7.8,535,580,8.4,620,631,1.8,787,855,8.6,934,906,-3,811,786,-3.1,123,120,-2.4,481,510,6,250,218,-12.8,861,869,0.9,826,752,-9,21099,20695,-1.9,6111,6285,2.8,484,447,-7.6,1161,1081,-6.9,58,46,-20.7,105,139,32.4,4396,5012,14,89,77,-13.5,1314,1254,-4.6,26,22,-15.4,3319,3437,3.6,24169,23375,-3.3,69413,69118,-0.4
State,Total States,Total States,36880,37083,0.6,28933,29033,0.3,3738,3632,-2.8,13367,14340,7.3,19114,19549,2.3,13694,13914,1.6,5420,5635,4,8292,7997,-3.6,939,867,-7.7,21861,22084,1,114074,112248,-1.6,275584,262950,-4.6,96119,92387,-3.9,14784,14657,-0.9,28934,31884,10.2,2134,2727,27.8,11926,12308,3.2,200816,221033,10.1,4483,5378,20,26294,28202,7.3,4460,5472,22.7,28458,35104,23.4,701172,685165,-2.3,1642322,1644100,0.1
UT,26,A & N Islands,14,11,-21.4,8,8,0,0,1,0,5,7,40,4,2,-50,4,2,-50,0,0,NA,0,0,0,0,0,0,2,0,-100,57,42,-26.3,55,38,-30.9,19,8,-57.9,6,3,-50,6,6,0,0,0,0,4,4,0,78,69,-11.5,0,0,0,13,9,-30.8,1,2,100,2,5,150,190,161,-15.3,464,376,-19
UT,27,Chandigarh,14,20,42.9,34,21,-38.2,9,5,-44.4,5,9,80,39,32,-17.9,26,26,0,13,6,-53.8,1,0,-100,0,0,0,10,5,-50,189,172,-9,816,876,7.4,62,48,-22.6,50,45,-10,90,91,1.1,2,0,-100,4,4,0,98,84,-14.3,1,2,100,10,13,30,2,4,100,18,13,-27.8,578,604,4.5,2032,2048,0.8
UT,28,D & N Haveli,10,8,-20,4,6,50,0,2,0,1,3,200,5,4,-20,5,3,-40,0,1,NA,1,3,200,0,0,0,5,0,-100,29,59,103.4,56,63,12.5,29,40,37.9,7,2,-71.4,2,1,-50,0,0,0,2,3,50,57,53,-7,1,0,-100,5,7,40,0,0,0,5,8,60,217,148,-31.8,436,410,-6
UT,29,Daman & DIU,5,4,-20,3,2,-33.3,0,0,0,2,1,-50,3,4,33.3,0,2,0,3,2,-33.3,4,1,-75,0,0,0,5,3,-40,30,42,40,58,37,-36.2,37,26,-29.7,5,7,40,11,3,-72.7,0,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,120,127,5.8,283,258,-8.8
UT,30,Delhi,520,518,-0.4,577,512,-11.3,80,82,2.5,372,484,30.1,1252,1250,-0.2,330,925,180.3,922,325,-64.8,36,32,-11.1,22,21,-4.5,555,609,9.7,2039,2425,18.9,17267,20541,19,210,236,12.4,644,641,-0.5,1624,1813,11.6,63,66,4.8,79,87,10.1,2421,2375,-1.9,160,132,-17.5,520,694,33.5,223,189,-15.2,95,114,20,18927,27050,42.9,47686,59871,25.6
UT,31,Lakshadweep,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,0,0,0,0,0,0,0,0,3,13,333.3,12,7,-41.7,1,1,0,3,0,-100,0,0,0,0,0,0,0,7,0,5,9,80,0,0,0,0,0,0,0,0,0,0,0,0,7,7,0,31,44,41.9
UT,32,Pondicherry,21,27,28.6,12,15,25,3,6,100,2,2,0,9,7,-22.2,4,5,25,5,2,-60,1,2,100,0,0,0,5,4,-20,86,96,11.6,458,473,3.3,43,85,97.7,4,13,225,11,25,127.3,43,2,-50,13,12,-7.7,337,354,5,3,1,-66.7,14,14,0,3,4,33.3,1,2,100,1372,1325,-3.4,2402,2469,2.8
UT,Total (UTs),Total (UTs),584,588,0.7,638,564,-11.6,92,96,4.3,387,506,30.7,1312,1299,-1,369,963,161,943,336,-64.4,43,38,-11.6,22,21,-4.5,582,621,6.7,2433,2849,17.1,18722,22035,17.7,401,444,10.7,719,711,-1.1,1744,1939,11.2,69,69,0,102,117,14.7,2996,2944,-1.7,165,135,18.2,562,737,31.1,229,199,-13.1,121,142,17.4,21411,29422,37.4,53334,65476,22.8
