SI.No.,States,District,Murder,Attempt to Commit Murder,C.H. Not Amounting to Murder,Rape,Kidnapping & Abduction Total,Kidnapping & Abduction of Women & Girls,Kidnapping & Abduction Of Others,Dacoity,Preparation and Assembly for Dacoity,Robbery,Burglary,Theft Total,Riots,Criminal Breach of Trust,Cheating,Counterfeiting,Arson,Hurt,Dowry Deaths,Molestation,Sexual Harassment,Cruelity by Husband and Relatives,Others IPC Crimes,Total Cog. Under IPC
1,Andhra Pradesh,Adilabad,132,67,8,29,32,20,12,32,0,48,154,224,131,15,63,1,63,781,5,120,4,107,1525,3541
2,Andhra Pradesh,Anantpur,159,0,0,28,54,26,28,40,0,30,177,497,417,16,34,4,0,798,7,71,0,41,1577,3950
3,Andhra Pradesh,Chittoor,103,49,5,27,75,45,30,16,0,20,256,729,298,22,165,22,38,881,16,50,13,50,2606,5441
4,Andhra Pradesh,Cuddapah,111,66,16,7,30,28,2,8,0,14,112,162,192,7,18,9,48,1046,3,48,14,27,751,2689
5,Andhra Pradesh,Godavari East,90,112,2,42,39,7,32,7,0,14,220,751,106,68,163,1,23,1252,9,83,96,99,2011,5188
6,Andhra Pradesh,Godavari West,76,47,0,50,35,27,8,15,0,19,205,655,110,36,93,6,28,927,15,167,84,275,1850,4693
7,Andhra Pradesh,Guntur,152,87,4,61,69,56,13,21,0,31,273,651,167,26,136,1,116,2050,18,166,77,316,1551,5973
8,Andhra Pradesh,Hyderabad,111,93,6,33,80,57,23,12,0,49,1026,2516,205,73,620,13,0,582,32,48,0,447,3208,9154
9,Andhra Pradesh,Karimnagar,172,97,5,59,81,58,23,38,0,91,329,432,416,24,193,2,65,1213,54,233,53,374,2223,6154
10,Andhra Pradesh,Khammam,78,43,0,34,27,9,18,13,0,14,139,394,141,15,42,0,45,696,9,129,0,73,1352,3244
11,Andhra Pradesh,Krishna,86,80,0,59,68,46,22,10,0,30,301,1498,85,43,322,11,103,2372,15,205,131,268,1467,7154
12,Andhra Pradesh,Kurnool,171,55,2,22,41,28,13,14,1,16,138,243,145,10,34,8,36,802,9,104,33,44,1227,3155
13,Andhra Pradesh,Mahaboob Nagar,174,58,18,46,59,36,23,32,0,44,289,324,166,11,28,1,80,980,35,162,0,101,2197,4805
14,Andhra Pradesh,Medak,135,61,12,29,37,29,8,45,0,76,454,708,254,11,67,3,108,1610,26,90,16,157,933,4832
15,Andhra Pradesh,Nalgonda,98,54,3,33,37,29,8,23,0,38,182,352,203,15,65,1,25,1150,28,149,44,85,2083,4668
16,Andhra Pradesh,Nellore,70,42,3,46,49,46,3,13,0,35,283,600,141,23,73,4,16,1004,5,166,0,78,1582,4233
17,Andhra Pradesh,Nizambad,160,65,5,28,43,29,14,51,0,89,229,317,226,16,85,3,59,1215,20,70,14,210,1055,3960
18,Andhra Pradesh,Prakasham,82,28,6,21,22,18,4,11,2,10,114,204,110,12,35,12,10,745,9,102,7,49,3877,5468
19,Andhra Pradesh,Ranga Reddy,125,74,10,22,38,35,3,16,0,36,560,782,73,40,117,0,53,677,38,85,0,169,2291,5206
20,Andhra Pradesh,Srikakulam,58,23,3,23,29,9,20,1,0,7,105,272,72,17,34,0,35,780,7,60,5,59,2042,3629
21,Andhra Pradesh,Visakha Rural,70,29,1,69,37,24,13,13,0,17,342,958,71,59,201,7,49,1171,7,97,375,170,1681,5424
22,Andhra Pradesh,Vizianagaram,29,8,1,15,10,7,3,3,0,11,78,184,34,11,22,2,0,578,6,60,28,139,1342,2561
23,Andhra Pradesh,Warangal,157,79,11,27,35,12,23,12,0,30,209,315,283,11,50,1,0,775,38,89,0,143,1483,3748
24,Andhra Pradesh,Guntakal Rly.,2,0,0,1,0,0,0,0,0,1,0,118,1,0,1,0,0,3,0,0,0,0,103,230
25,Andhra Pradesh,Secunderabad Rly.,8,0,0,0,0,0,0,1,0,4,2,323,11,3,5,1,0,15,0,2,0,0,31,406
26,Andhra Pradesh,Vijyawada Rly.,0,1,1,1,1,1,0,1,0,1,0,204,0,1,5,0,0,16,0,3,0,0,18,253
Andhra Pradesh,Andhra Pradesh,Total,2609,1318,122,812,1028,682,346,448,3,775,6177,14413,4058,585,2671,113,1000,24119,411,2559,994,3478,42066,109759
1,Arunachal Pradesh,Changlang,8,2,1,3,2,2,0,5,0,3,15,34,0,3,0,0,0,0,0,0,0,0,70,146
2,Arunachal Pradesh,Dibang Valley,2,3,0,0,1,1,0,1,0,8,15,17,1,3,4,0,1,34,0,0,0,0,37,127
3,Arunachal Pradesh,Kameng East,6,1,0,0,1,1,0,1,0,0,19,10,2,1,1,0,0,21,0,1,1,1,21,87
4,Arunachal Pradesh,Kameng West,6,4,0,2,2,1,1,3,0,2,9,15,0,3,0,0,0,21,0,1,0,0,55,123
