SI. No.,Crime Head,Total No. of Cases for Investigation including pending Cases,No. of Cases in which - Investigation was Refused,No. of Cases in which - Investigation was Completed - Charge Found False/Mistake of Fact or Law Etc.,No. of Cases in which- Investigation was Completed - Final Report True submitted,No. of Cases in which - Investigation was Completed - Chargesheets were Laid,No. of Cases in which - Investigation was Completed - Total [Col. 5+6+7],No. of Cases Pending Investigation
1,Arms Act,79442,9,188,2203,63120,65511,13922
2,Narcotic Drugs & Psychotropic Substances Act,31730,152,87,765,18779,19631,11947
3,Gambling Act,130800,1,24,218,12012,128254,2545
4,Excise Act,167454,861,325,951,12086,124362,42231
5,Prohibition Act,707249,4789,6602,3220,584780,594602,107858
6,Explosive & Explosive Substances Act,9032,11,124,899,4489,5512,3509
7,Immoral Traffic (P) Act,8189,2,7,4,7428,7439,748
8,Indian Railways Act,38249,35,126,116,36213,37455,759
9,Registration of Foregners Act,1679,2,16,25,1395,1436,241
10,Protection Of Civil Rights Act,2493,31,236,121,1481,1838,624
11,Indian Passport Act,627,37,35,17,379,431,159
12,Essential Commodities Act,8757,7,208,371,4018,4597,4153
13,Terrorist & Disruptive Actvites Act,3689,0,22,656,340,1018,2671
14,Antiquity & Art Treasure Act,82,0,3,13,23,39,43
15,Dowry Prohibition Act,3863,32,124,244,2247,2615,1216
16,Child Marriage Restraint Act,98,1,6,1,82,89,8
17,Indecent Representation of Women (P)Act,113,0,1,2,87,90,23
18,Copy Rights Act,810,10,5,30,487,522,278
19,Sati Prevention Act,0,0,0,0,0,0,0
20,SC/ST (Prevention of Atrocities ) Act,17815,35,3094,700,11582,15376,2404
21,Forest Act,5171,103,97,254,4331,4682,386
22,Other SLL Crimes,3617102,17739,17685,40835,3121759,3180279,419084
23,Total Cognizable Crimes Under SLL,4834444,23857,29015,52645,4114118,4195778,614809
