Category,SL. No.,State/UT/City,Murder,Attempt to Commit Murder,C.H. not Amounting to Murder,Rape,Kidnapping & Abduction - Total,Kidnapping & Abduction - of Women & Girls,Kidnapping & Abduction - of Others,Dacoity,Preparation & Assembly for Dacoity,Robbery,Burglary,Theft,Riots,Criminal Breach of Trust,Cheating,Counterfeiting,Arson,Hurt/ Grievous Hurt,Dowry Death,Molestation,Sexual Harassment,Cruelty by Husband or Relatives,Other IPC Crimes,Total Cognizable Crimes Under IPC
State,1,Andhra Pradesh,9,2,0,9,0,0,0,0,0,1,109,230,5,0,1,0,0,65,2,4,1,6,217,661
State,2,Arunachal Pradesh,0,0,0,0,0,0,0,0,0,1,2,4,0,0,0,0,0,0,0,0,0,0,0,7
State,3,Assam,7,0,0,0,0,0,0,1,0,2,43,70,15,0,1,0,1,17,0,5,0,0,21,183
State,4,Bihar,55,62,11,20,93,10,83,32,0,33,95,228,456,0,1,0,0,0,0,0,0,0,498,1584
State,5,Goa,0,1,0,0,0,0,0,0,0,1,7,7,3,0,0,0,0,2,0,1,0,0,1,23
State,6,Gujarat,12,9,0,7,10,8,2,3,0,6,99,168,40,5,8,0,1,178,3,3,0,19,213,784
State,7,Haryana,6,6,1,17,3,3,0,1,0,0,37,47,25,8,4,0,1,134,17,14,8,19,90,438
State,8,Himachal Pradesh,1,1,0,2,0,0,0,0,0,0,11,5,5,0,1,0,0,8,0,0,0,0,11,45
State,9,Jammu & Kashmir,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
State,10,Karnataka,12,3,1,1,0,0,0,0,0,4,56,96,40,0,5,0,0,63,0,1,0,6,49,337
State,11,Kerala,0,1,0,2,1,1,0,0,0,0,24,14,9,0,0,0,0,8,0,0,0,0,10,69
State,12,Madhya Pradesh,82,68,3,57,1,1,0,0,0,22,273,322,66,0,3,0,18,401,5,36,1,16,998,2372
State,13,Maharashtra,33,15,2,14,6,5,1,3,0,6,281,560,84,3,9,0,5,400,5,32,2,74,290,1824
State,14,Manipur,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
State,15,Meghalaya,1,0,0,3,0,0,0,0,0,1,4,13,0,0,0,0,0,0,0,0,0,0,5,27
State,16,Mizoram,0,0,0,1,0,0,0,0,0,0,40,61,0,0,0,0,0,20,0,0,0,0,15,137
State,17,Nagaland,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
State,18,Orissa,3,0,0,0,3,3,0,1,0,0,39,66,5,1,0,0,0,6,0,0,0,0,12,136
State,19,Punjab,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1
State,20,Rajasthan,16,19,1,10,14,12,2,2,0,1,79,75,94,0,1,0,5,73,7,14,0,12,200,623
State,21,Sikkim,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
State,22,Tamil Nadu,12,4,0,0,0,0,0,0,0,1,43,214,5,0,0,0,1,7,0,0,1,0,24,312
State,23,Tripura,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
State,24,Uttar Pradesh,5,0,0,1,0,0,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,13,1,24
State,25,West Bengal,2,1,0,1,0,0,0,0,0,2,1,6,0,0,0,0,0,0,0,0,0,0,0,13
State,Total (States),Total (States),257,192,19,145,131,43,88,43,0,81,1245,2188,852,17,34,0,33,1382,39,110,13,165,2655,9601
UT,26,A & N Islands,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,1,3
UT,27,Chandigarh,0,1,0,0,0,0,0,0,0,0,11,18,0,0,0,0,0,1,0,0,0,0,9,40
UT,28,D & N Haveli,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,3
UT,29,Daman & Diu,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,NA,NA,NA,NA,NA,NA,0,2
UT,30,Delhi,13,7,2,12,1,0,1,1,0,6,52,148,4,1,26,0,0,12,3,6,0,1,74,369
UT,31,Lakshadweep,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
UT,32,Pondicherry,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,1,0,0,0,6
UT,Total (UTs),Total (UTs),13,10,2,12,1,0,1,1,0,6,70,168,4,1,26,0,0,13,3,7,0,1,85,423
Total (All-India),Total (All -India),Total (All -India),270,202,21,157,132,43,89,44,0,87,1315,2356,856,18,60,0,33,1395,42,117,13,166,2740,10024
City,33,Ahmedabad,1,0,0,0,2,1,1,0,0,1,9,26,2,0,0,0,0,12,0,0,0,2,21,76
City,34,Bangalore,0,0,0,0,0,0,0,0,0,4,23,56,0,0,5,0,0,6,0,0,0,1,3,98
City,35,Bhopal,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
City,36,Bombay,2,1,0,2,4,3,1,0,0,0,13,129,0,0,4,0,0,66,0,9,0,0,43,273
City,37,Calcutta,0,0,0,1,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,3
City,38,Coimbatore,0,0,0,0,0,0,0,0,0,0,0,14,0,0,0,0,0,0,0,0,0,0,2,16
City,39,Delhi,13,7,2,12,1,0,1,1,0,6,52,148,4,1,26,0,0,12,3,6,0,1,74,369
City,40,Hyderabad,0,0,0,0,0,0,0,0,0,0,35,42,0,0,0,0,0,0,0,0,0,0,2,79
City,41,Indore,1,2,0,0,0,0,0,0,0,0,2,8,0,0,0,0,0,8,0,0,0,0,50,71
City,42,Jaipur,2,1,0,0,1,1,0,0,0,0,10,16,23,0,1,0,1,0,0,2,0,0,15,72
City,43,Kanpur,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,1,0,3
City,44,Kochi,0,0,0,1,0,0,0,0,0,0,3,1,0,0,0,0,0,0,0,0,0,0,1,6
City,45,Lucknow,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
City,46,Ludhiana,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
City,47,Madras,0,0,0,0,0,0,0,0,0,0,3,20,0,0,0,0,0,0,0,0,0,0,0,23
City,48,Madurai,1,0,0,0,0,0,0,0,0,0,2,39,0,0,0,0,0,0,0,0,0,0,3,45
City,49,Nagpur,0,0,0,0,0,0,0,0,0,0,14,7,0,0,0,0,0,0,0,0,0,0,0,21
City,50,Patna,0,0,0,0,0,0,0,0,0,0,0,4,2,0,0,0,0,3,0,0,0,1,1,11
City,51,Pune,2,0,0,3,0,0,0,1,0,0,21,35,4,0,1,0,1,15,0,2,1,2,7,95
City,52,Surat,1,0,0,0,0,0,0,0,0,1,6,12,6,0,3,0,0,11,0,0,0,1,1,42
City,53,Vadodara,0,1,0,0,1,0,1,0,0,0,8,12,5,3,1,0,0,7,0,0,0,2,26,66
City,54,Varanasi,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
City,55,Vishakhapatnam,0,0,0,1,0,0,0,0,0,0,2,43,0,0,0,0,0,3,0,0,0,0,1,50
