SL.No.,State,City,Murder,Attempt to Commit Murder,C.H. Not Amounting to Murder,Rape,Kidnapping and Abduction Total,Kidnapping and Abduction of Women & Girls,Kidnapping and Abduction of Others,Dacoity,Preaparation and Assembly for Dacoity,Robbery,Burglary,Theft,Riots,Criminal Breach of Trust,Cheating,Counterfeiting,Arson,Hurt,Dowry Deaths,Molestation,Sexual Harassment,Cruelity by Husband and Relatives,Others IPC Crimes,Total Cog. Under IPC
1,Andhra Pradesh,Hyderabad,111,93,6,33,80,57,23,12,0,49,1026,2516,205,73,620,13,0,582,32,48,0,447,3208,9154
2,Andhra Pradesh,Vijayawada,26,33,0,18,46,24,22,3,0,21,200,1091,27,31,264,10,14,963,5,57,46,169,635,3659
3,Andhra Pradesh,Vishakhapatnam,20,18,1,38,25,21,4,4,0,12,259,806,23,45,172,1,12,236,4,44,327,117,673,2837
1,Assam,Guwahati,65,17,6,21,104,99,5,66,3,138,505,1382,103,62,71,26,7,233,2,19,1,21,2017,4869
1,Bihar,Patna,228,344,20,18,95,23,72,54,16,223,306,1338,126,201,90,1,14,465,29,50,1,45,1307,4971
2,Bihar,Ranchi,92,73,13,15,29,21,8,13,5,127,201,490,59,23,97,2,1,93,6,37,0,26,608,2010
1,Gujarat,Ahmedabad,95,58,2,13,122,89,33,24,0,225,705,3851,185,136,305,11,11,1663,12,35,27,323,7441,15244
2,Gujarat,Baroda,44,23,0,8,49,34,15,20,0,31,423,1442,250,143,317,8,10,427,6,40,4,130,3549,6924
3,Gujarat,Bhavnagar,20,9,0,2,28,21,7,5,0,5,59,256,49,14,12,7,6,28,0,11,2,29,774,1316
4,Gujarat,Rajkot,32,19,0,3,25,19,6,4,0,27,270,608,67,30,45,7,10,293,5,20,9,107,1977,3558
5,Gujarat,Surat,100,28,0,17,49,27,22,29,0,67,475,1457,107,58,342,2,7,617,36,18,4,174,1312,4899
1,Karnataka,Bangalore,201,283,0,34,105,63,42,42,2,513,2650,8089,357,229,1069,1176,184,3417,56,150,40,143,10135,28875
2,Karnataka,Belgaum,16,7,4,0,9,0,9,2,0,10,159,188,50,13,37,0,6,196,0,8,0,14,120,839
3,Karnataka,Bijapur,5,3,1,3,10,5,5,4,0,7,82,67,64,5,12,0,0,111,0,8,0,17,31,430
4,Karnataka,Davanagere,3,2,1,0,3,2,1,0,0,2,91,165,48,3,20,0,2,152,2,7,0,20,279,800
5,Karnataka,Gulbarga,7,16,0,2,16,0,16,5,0,35,120,193,80,6,19,0,15,158,0,7,0,29,298,1006
6,Karnataka,Hubli Dharwad,16,18,3,4,8,2,6,2,0,18,189,333,140,9,74,6,4,189,4,7,1,15,1017,2057
7,Karnataka,Mysore,21,37,0,16,21,3,18,2,0,52,364,707,54,48,127,4,0,514,8,19,3,80,1098,3175
8,Karnataka,Raichur,7,5,0,2,2,0,2,1,0,1,25,40,55,2,3,0,0,65,0,6,0,3,105,322
1,Kerala,Kochi,11,18,8,11,6,4,2,5,0,14,320,272,152,18,131,0,2,426,1,31,1,16,2833,4276
