Category,SL. No.,State/UT/City,By Education - Illiterate,by Education - Primary,By Education - Above Primary but Below Matric/ H. Sec.,By Education - Matric/ H. Sec. & above,By Education - Total,By Family Background - Living with Parents,By Family Background - Living with Guardians,By Family Background - Homeless,By Family Background - Total,By Economic Setup - Lower Income upto Rs. 500 PM,By Economic Setup - Low/ Mid Income (from Rs. 501 to 1000 PM),By Economic Setup - Middle Income (Rs. 1001 to 2000 PM),By Economic Setup - Upp/ Mid Income (from Rs. 2001 to 3000 PM),By Economic Setup - Upper Income (Above Rs. 3000 PM),By Economic Setup - Total,Recidivism - New Delinquents,Recidivism - Old Delinquents,Recidivism - Total
State,1,Andhra Pradesh,552,466,156,42,1216,1024,113,79,1216,856,243,87,24,6,1216,1156,60,1216
State,2,Arunachal Pradesh,16,1,0,0,17,12,5,0,17,7,10,0,0,0,17,17,0,17
State,3,Assam,100,99,72,15,286,143,89,54,286,96,78,48,40,24,286,253,33,286
State,4,Bihar,796,388,169,579,2032,907,395,730,2032,908,321,211,592,0,2032,1213,819,2032
State,5,Goa,12,11,11,1,35,20,1,14,35,24,6,3,1,1,35,35,0,35
State,6,Gujarat,614,974,287,83,1958,1475,364,119,1958,772,649,362,126,49,1958,1654,304,1958
State,7,Haryana,92,135,39,20,286,183,41,62,286,111,94,49,21,11,286,280,6,286
State,8,Himachal Pradesh,3,11,61,4,79,72,7,0,79,18,31,18,9,3,79,78,1,79
State,9,Jammu & Kashmir,0,2,0,0,2,2,0,0,2,0,2,0,0,0,2,2,0,2
State,10,Karnataka,242,170,72,55,539,412,92,35,539,228,212,54,43,2,539,523,16,539
State,11,Kerala,19,65,53,2,139,112,7,20,139,82,30,26,1,76,139,138,1,139
State,12,Madhya Pradesh,2498,1008,605,226,4337,3395,510,432,4337,2796,939,489,97,31,4337,4212,125,4337
State,13,Maharashtra,829,1457,453,127,2866,2247,429,190,2866,1236,1170,354,75,0,2866,2641,225,2866
State,14,Manipur,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
State,15,Meghalaya,13,10,5,0,34,26,8,0,34,24,6,3,1,0,34,34,0,34
State,16,Mizoram,0,101,35,1,137,136,1,0,137,1,135,0,1,0,137,1,136,137
State,17,Nagaland,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
State,18,Orissa,48,79,39,3,169,121,40,8,169,136,19,10,4,0,169,169,0,169
State,19,Punjab,3,2,0,0,5,3,0,2,5,3,2,0,0,0,5,5,0,5
State,20,Rajasthan,227,364,166,65,8222,606,211,5,822,371,218,159,53,21,822,808,14,822
State,21,Sikkim,0,1,2,1,4,2,2,0,4,0,3,0,1,0,4,4,0,4
State,22,Tamil Nadu,1839,1547,74,30,3490,2865,553,72,3490,1378,1979,133,0,0,3490,294,550,3490
State,23,Tripura,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
State,24,Uttar Pradesh,27,4,7,0,38,38,0,0,38,18,18,1,1,0,38,38,0,38
State,25,West Bengal,3,8,3,0,14,4,10,0,14,8,4,2,0,0,14,14,0,14
State,Total (States),Total (States),7939,6903,2409,1254,18505,13805,2878,1822,18505,9013,6169,2009,1090,224,18505,16215,2290,18505
UT,26,A & N Islands,0,1,3,0,4,4,0,0,4,0,0,4,0,0,4,4,0,4
UT,27,Chandigarh,19,9,13,0,41,28,10,3,41,18,9,7,7,0,41,36,5,41
UT,28,D & N Haveli,2,0,0,1,3,3,0,0,3,0,2,1,0,0,3,3,0,3
UT,29,Daman & Diu,0,2,0,0,2,2,0,0,2,0,2,0,0,0,2,2,0,2
UT,30,Delhi,232,160,117,24,533,442,34,57,533,267,109,110,21,26,533,447,86,533
UT,31,Lakshadweep,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
UT,32,Pondicherry,3,5,2,0,10,9,0,1,10,8,1,1,0,0,10,10,0,10
UT,Total (UTs),Total (UTs),256,177,135,25,593,488,44,61,593,293,123,123,28,26,593,502,91,593
Total (All -India),Total (All -India),Total (All -India),8195,7080,2544,1279,19098,14293,2922,1883,19093,9306,6292,2132,1118,250,19098,16717,2381,19098
City,33,Ahmedabad,58,45,19,3,125,120,5,0,125,89,25,10,1,0,125,119,6,125
City,34,Bangalore,60,48,22,2,132,112,8,12,132,72,49,8,3,0,132,127,5,132
City,35,Bhopal,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
City,36,Bombay,63,411,33,1,508,425,56,27,508,250,208,34,6,10,508,504,4,508
City,37,Calcutta,1,3,0,0,4,4,0,0,4,4,0,0,0,0,4,4,0,4
City,38,Coimbatore,82,37,4,0,123,119,3,1,123,114,6,30,0,0,123,119,4,123
City,39,Delhi,232,160,117,24,533,442,34,57,533,267,109,110,21,26,533,447,86,533
City,40,Hyderabad,80,11,9,5,105,97,0,8,105,0,59,39,6,1,105,97,8,105
City,41,Indore,40,20,11,0,71,71,0,0,71,65,6,0,0,0,71,65,6,71
City,42,Jaipur,48,45,0,0,93,66,27,0,93,77,16,0,0,0,93,93,0,93
City,43,Kanpur,2,0,1,0,3,3,0,0,3,1,1,0,1,0,3,3,0,3
City,44,Kochi,0,10,1,0,11,10,0,1,11,10,0,1,0,0,11,11,0,11
City,45,Lucknow,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
City,46,Ludhiana,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
City,47,Madras,27,13,3,0,43,21,7,15,43,36,4,3,0,0,43,41,2,43
City,48,Madurai,98,224,32,0,354,262,80,12,354,354,0,0,0,0,354,347,7,354
City,49,Nagpur,0,34,21,0,55,55,0,0,55,32,23,0,0,0,55,55,0,55
City,50,Patna,17,9,0,0,26,12,5,9,26,22,4,0,0,0,26,24,2,26
City,51,Pune,29,85,12,0,126,110,16,0,126,71,34,21,0,0,126,126,0,126
City,52,Surat,196,167,68,52,483,235,164,84,483,197,142,68,34,42,483,231,252,483
City,53,Vadodara,68,89,13,0,170,170,0,0,170,0,74,56,40,0,170,170,0,170
City,54,Varanasi,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
City,55,Vishakhapatnam,50,31,21,0,102,90,11,1,102,55,38,9,0,0,102,72,30,102
