Category,SL.No.,State/UT/City,Killed - in Dacoity Operation or Other Raids,Killed - by Riotous Mobs,Killed - by Other Criminals,Killed - on Border Duties,Killed - in Accidents,Killed - Total,Injured - in Dacoity Operation or Other Raids,Injured - by Riotous Mobs,Injured - by Other Criminals,Injured - on Border Duties,Injured - in Accidents,Injured - Total
State,1,Andhra Pradesh,18,1,18,0,5,42,12,92,22,3,31,160
State,2,Arunachal Pradesh,0,0,1,0,1,2,0,0,1,0,0,1
State,3,Assam,0,0,51,0,3,54,0,15,20,21,1,57
State,4,Bihar,10,5,19,0,16,50,22,32,31,0,23,108
State,5,Goa,0,0,0,0,1,1,0,0,1,0,1,2
State,6,Gujarat,0,0,1,0,32,33,2,80,32,0,29,143
State,7,Haryana,0,0,4,0,13,17,8,0,20,0,11,39
State,8,Himachal Pradesh,0,0,0,0,3,3,0,0,10,0,0,10
State,9,Jammu & Kashmir,0,0,3,0,2,5,0,0,3,0,1,4
State,10,Karnataka,0,0,3,0,11,14,5,268,32,0,24,329
State,11,Kerala,0,0,3,0,3,6,0,293,83,1,69,446
State,12,Madhya Pradesh,0,0,9,0,13,24,4,114,50,0,15,183
State,13,Maharashtra,2,0,3,11,60,74,9,156,97,45,113,417
State,14,Manipur,0,0,9,0,0,9,0,0,8,0,0,8
State,15,Meghalaya,0,0,0,0,2,6,2,0,0,0,0,2
State,16,Mizoram,4,0,0,0,2,2,0,0,0,0,0,0
State,17,Nagaland,0,0,0,0,0,0,0,0,0,0,0,0
State,18,Orissa,0,0,4,1,3,8,0,117,13,1,5,136
State,19,Punjab,0,0,6,0,92,98,0,0,1,0,38,39
State,20,Rajasthan,0,0,7,0,20,27,10,51,34,0,20,115
State,21,Sikkim,0,0,0,0,0,0,0,0,0,0,0,0
State,22,Tamil Nadu,1,0,1,0,27,29,13,107,18,0,142,280
State,23,Tripura,8,0,4,0,1,13,3,0,4,0,1,8
State,24,Uttar Pradesh,9,0,17,19,32,77,15,23,15,1,32,86
State,25,West Bengal,0,0,1,0,11,12,27,128,13,0,157,325
State,Total (States),Total (States),52,6,164,31,353,606,132,1473,508,72,713,2898
UT,26,A & N Islands,0,0,0,0,1,1,0,0,0,0,0,0
UT,27,Chandigarh,0,0,1,0,1,2,0,22,0,0,14,36
UT,28,D & N Haveli,0,0,1,0,0,1,0,0,0,0,0,0
UT,29,Daman & Diu,0,0,0,0,2,2,0,0,0,0,0,0
UT,30,Delhi,1,0,0,0,12,13,0,102,39,0,60,201
UT,31,Lakshadweep,0,0,0,0,0,0,0,0,0,0,0,0
UT,32,Pondicherry,0,0,0,0,1,1,0,12,4,0,0,16
UT,Total (UTs),Total (UTs),1,0,2,0,17,20,0,136,43,0,74,253
Total (All-India),Total (All-India),Total (All-India),53,6,166,31,370,626,132,1609,551,72,787,3151
City,33,Ahmedabad,0,0,1,0,1,2,0,1,1,0,0,2
City,34,Bangalore,0,0,1,0,1,2,0,47,2,0,0,49
City,35,Bhopal,0,0,0,0,0,0,0,0,44,0,0,44
City,36,Bombay,0,0,2,0,0,2,3,16,12,0,16,47
City,37,Calcutta,0,0,0,0,5,5,0,20,0,0,141,161
City,38,Coimbatore,0,0,0,0,0,0,0,0,0,0,11,11
City,39,Delhi,1,0,0,0,12,13,0,102,39,0,60,201
City,40,Hyderabad,0,0,0,0,0,0,0,0,0,0,0,0
City,41,Indore,0,0,3,0,0,3,0,0,0,0,0,0
City,42,Jaipur,0,0,2,0,3,5,0,13,9,0,7,29
City,43,Kanpur,0,0,0,0,2,2,5,0,1,0,1,7
City,44,Kochi,0,0,0,0,0,0,0,7,6,0,26,39
City,45,Lucknow,0,0,0,0,0,0,0,0,0,0,1,1
City,46,Ludhiana,0,0,0,0,8,8,0,0,1,0,0,1
City,47,Madras,0,0,0,0,2,2,0,0,0,0,41,41
City,48,Madurai,0,0,1,0,0,1,4,0,1,0,0,5
City,49,Nagpur,0,0,0,0,2,2,0,25,0,0,0,25
City,50,Patna,0,0,0,0,1,1,0,0,0,0,1,1
City,51,Pune,0,0,0,0,2,2,0,0,10,0,4,14
City,52,Surat,0,0,0,0,0,0,0,0,0,0,11,11
City,53,Vadodara,0,0,0,0,1,1,1,2,0,0,1,4
City,54,Varanasi,0,0,0,0,0,0,0,0,0,0,0,0
City,55,Vishakhapatnam,0,0,0,0,0,0,0,0,0,0,0,0
