Category,SL.No.,State/UT/City,Recidential Premises - Number,Recidential Premises - Value,Highways - Number,Highways - Value,River & Sea - Number,River & Sea - Value,Railways - Number,Railways - Value,Banks - Number,Banks - Value,Commercial Establishments - Number,Commercial Establishments - Value,Other Places - Number,Other Places - Value,Total - Number,Total - Value
State,1,Andhra Pradesh,394,96.6,179,39.8,0,0,6,1.4,0,0,8,3.7,188,21,775,162.4
State,2,Arunachal Pradesh,21,9.1,5,1.2,0,0,0,0,0,0,15,2.7,27,3.1,68,16.2
State,3,Assam,437,57,77,19.3,0,0,1,0,1,1,90,16.6,457,110.2,1063,204
State,4,Bihar,634,81.8,1070,283.4,2,0.3,89,9.3,13,8.2,228,153.7,919,74.6,2955,611.4
State,5,Goa,17,3.9,8,1.6,0,0,0,0,0,0,2,0.2,44,6.5,71,12.2
State,6,Gujarat,240,51.9,96,40.6,0,0,8,1.2,1,0.1,66,13.5,719,158,1130,265.3
State,7,Haryana,62,32.2,27,24.4,0,0,2,0.7,1,40,5,7.4,158,104,255,208.7
State,8,Himachal Pradesh,1,0,4,4.1,0,0,1,0,0,0,3,0.3,15,2.3,24,6.8
State,9,Jammu & Kashmir,48,17.9,7,5.1,0,0,0,0,0,0,0,0,228,138.4,283,161.5
State,10,Karnataka,362,115,50,19.5,0,0,24,8.3,24,7.1,21,2.8,513,84.8,994,237.5
State,11,Kerala,66,13.6,42,10.2,1,0,2,3.5,0,0,8,2.2,177,63,296,92.5
State,12,Madhya Pradesh,186,19.1,381,90.3,2,0.1,19,0.5,3,0.6,41,6.3,1194,130.7,1826,247.6
State,13,Maharashtra,542,195.6,253,165.3,0,0,77,7.4,2,3,206,210.8,1785,666.6,2865,1248.7
State,14,Manipur,3,1.1,19,6.2,0,0,0,0,0,0,0,0,14,4.1,36,11.4
State,15,Meghalaya,19,5.4,31,3.2,0,0,0,0,27,1.7,28,1,0,0,105,11.2
State,16,Mizoram,0,0,6,5.2,0,0,0,0,0,0,0,0,16,10.1,22,15.4
State,17,Nagaland,25,7.4,13,2.3,0,0,0,0,0,0,21,0.6,37,13.9,96,24.3
State,18,Orissa,354,63,157,14.6,0,0,0,0,0,0,92,11.4,387,57,990,143
State,19,Punjab,26,6,3,1.1,0,0,1,0.1,0,0,2,0.2,22,12.4,54,19.8
State,20,Rajasthan,65,18.3,43,23.9,0,0,13,0.1,0,0,9,1.4,1053,169.5,1183,213.2
State,21,Sikkim,3,0,2,0.5,0,0,0,0,0,0,1,0,3,0.2,9,0.7
State,22,Tamil Nadu,195,51.2,86,30.5,3,2.6,12,1.8,0,0,29,4.4,275,51.7,600,142.1
State,23,Tripura,63,2,12,0.2,0,0,0,0,0,0,9,0.5,36,2,120,4.7
State,24,Uttar Pradesh,1096,217.9,2498,793,3,0.2,107,37.8,10,21.5,33,8.6,1648,385.3,5395,1464.4
State,25,West Bengal,136,26,205,47.4,0,0,52,4,2,2,77,44.5,397,57.4,869,181.2
