SL. No.,State/UT,Total No. Persons Under Arrested* Including those from Previous Year,Number of - Persons Released before Trial,Number of - Persons Chargesheeted,Number of - Persons Under Investigation at the End of the Year,Pendency Percentage,Percentage of Pendency to All-India Total
1,Andhra Pradesh,242686,6549,178402,57735,23.8,10.3
2,Arunachal Pradesh,2783,924,1393,466,16.7,0.1
3,Assam,89449,16628,29779,43042,48.1,7.7
4,Bihar,336134,35645,198407,102082,30.4,18.3
5,Goa,4465,595,2937,933,20.9,0.2
6,Gujarat,180122,553,163433,16136,9,2.9
7,Haryana,54157,69,48886,5202,9.6,0.9
8,Himachal Pradesh,19852,410,16823,2619,13.2,0.5
9,Jammu & Kashmir,17246,281,16585,380,2.2,0.1
10,Karnataka,198527,11490,160929,26108,13.2,4.7
11,Kerala,169723,5306,131145,33272,19.6,6
12,Madhya Pradesh,301605,674,291915,9016,3,1.6
13,Maharashtra,296965,6074,252920,37971,12.8,6.8
14,Manipur,3161,1720,184,1257,39.8,0.2
15,Meghalaya,3742,635,1568,1539,41.1,0.3
16,Mizoram,2664,0,1530,1134,42.6,0.2
17,Nagaland,2356,69,1103,1184,50.3,0.2
18,Orissa,85862,575,50023,35264,41.1,6.3
19,Punjab,28940,857,19032,9051,31.3,1.6
20,Rajasthan,229618,78,227486,2054,0.9,0.4
21,Sikkim,990,177,575,238,24,0
22,Tamil Nadu,274322,16421,191429,66472,24.2,11.9
23,Tripura,8532,2386,2403,3743,43.9,0.7
24,Uttar Pradesh,312433,19870,258137,34426,11,6.2
25,West Bengal,166193,30270,76263,59660,35.9,10.7
Total (All -India),Total (All -India),3032527,158256,2323287,550984,18.2,98.6
26,A & N Islands,761,0,289,472,62,0.1
27,Chandigarh,3539,540,2261,738,20.9,0.1
28,D & N Haveli,721,2,623,96,13.3,0
29,Daman & Diu,463,0,206,257,55.5,0
30,Delhi,60721,1136,53383,6202,10.2,1.1
31,Lakshadweep,14,0,6,8,57.1,0
32,Pondicherry,4379,21,4189,169,3.9,0
Total (UTs),Total (UTs),70598,1699,60957,7942,11.2,1.4
Total (All -India),Total (All -India),3103125,159955,2384244,558926,18,100
