SL.No.,Rank,Killed - in Dacoity Operation or Other Raids,Killed by Riotous Mobs,Killed - by Other Criminals,Killed - on Border Duties,Killed - in Accidents,Killed - Total,Injured - in Dacoity Operation or Other Raids,Injured by - Riotous Mobs,Injured -by Other Criminals,Injured - on Border Duties,Injured - in Accidents,Injured - Total
1,Constables,36,4,114,16,233,403,83,1071,368,47,561,2130
2,Head Constables,7,1,21,7,68,104,13,199,74,16,92,394
3,Asstt. Sub-Inspector,2,0,5,3,16,26,13,83,39,0,31,166
4,Sub-Inspector,4,1,17,4,33,59,17,136,49,4,83,289
5,Inspector,2,0,4,0,4,10,4,55,14,1,13,87
6,Others (Gazetted Officers),2,0,5,1,16,24,2,65,7,4,7,85
Total,Total,53,6,166,31,370,626,132,1609,551,72,787,3151
