Category,SL.No.,State/UT/City,DG/IG/DIG/SP - Sanctioned,DG/IG/DIG/SP - Actual,ASP & DSP - Sanctioned,ASP & DSP - Actual,"Inspector, SI & A.S.I. - Sanctioned","Inspector, SI & A.S.I. - Actual",Officers Below A.S.I. - Sanctioned,Officers Below A.S.I. - Actual,Grand Total - Sanctioned,Grand Total - Actual
State,1,Andhra Pradesh,25,21,41,39,869,642,10708,9964,11643,10666
State,2,Arunachal Pradesh,2,2,14,10,48,46,1452,1308,1516,1366
State,3,Assam,50,48,130,124,887,697,22422,19140,23489,20009
State,4,Bihar,22,22,66,63,1317,1166,16647,16395,18052,17646
State,5,Goa,0,0,3,1,35,34,569,593,607,628
State,6,Gujarat,11,11,41,41,480,480,11623,29899,12155,30431
State,7,Haryana,7,6,16,12,297,290,4386,4267,4706,4575
State,8,Himachal Pradesh,6,6,26,26,217,199,4048,3478,4297,3709
State,9,Jammu & Kashmir,38,32,11,76,744,638,13657,13378,14549,14124
State,10,Karnataka,11,10,35,35,398,351,9058,7863,9502,8259
State,11,Kerala,18,16,41,23,340,292,6652,4807,7051,5138
State,12,Madhya Pradesh,60,35,107,76,2569,1993,24144,20160,26880,22264
State,13,Maharashtra,19,14,61,36,1008,837,13969,12027,15057,12914
State,14,Manipur,29,18,61,22,285,223,7888,6119,8263,6382
State,15,Meghalaya,2,2,19,19,75,64,2011,1716,2107,1801
State,16,Mizoram,5,5,29,29,165,165,3360,3360,3559,3559
State,17,Nagaland,22,22,80,66,331,324,8963,8943,9396,9355
State,18,Orissa,7,6,73,54,514,328,6958,6828,7552,7216
State,19,Punjab,86,31,138,154,970,942,16767,16776,17961,17903
State,20,Rajasthan,21,15,76,39,393,282,10843,10342,11333,10678
State,21,Sikkim,3,3,4,4,20,20,810,810,837,837
State,22,Tamil Nadu,17,17,48,36,440,425,9613,9117,10118,9595
State,23,Tripura,10,7,42,11,251,102,5968,5900,6271,6020
State,24,Uttar Pradesh,47,43,136,78,1246,1113,33742,32059,35171,33293
State,25,West Bengal,44,29,105,93,860,794,20925,20696,21934,21612
State,Total (States),Total (States),562,421,1502,1167,14759,12447,267183,265945,284006,279980
UT,26,A & N Islands,1,1,1,1,17,17,490,490,509,509
UT,27,Chandigarh,0,0,2,2,46,46,1469,1469,1517,1517
UT,28,D & N Haveli,0,0,0,0,0,0,0,0,0,0
UT,29,Daman & Diu,0,0,0,0,0,0,0,0,0,0
UT,30,Delhi,13,19,54,33,589,528,10334,9936,10990,10516
UT,31,Lakshadweep,0,0,0,0,0,0,0,0,0,0
UT,32,Pondicherry,0,0,2,2,37,37,842,842,881,881
UT,Total (UTs),Total (UTs),14,20,59,38,689,628,13135,12797,13897,13423
Total (All-India),Total (All-India),Total (All-India),576,441,1561,1205,15448,13075,280318,278682,297903,293403
City,33,Ahmedabad,1,1,3,2,43,38,2744,2352,2791,2393
City,34,Bangalore,4,4,14,14,238,226,3570,3188,3826,3432
City,35,Bhopal,0,0,0,0,0,0,0,0,0,0
City,36,Bombay,0,0,0,0,381,357,7535,7274,7916,7631
City,37,Calcutta,9,8,34,32,322,288,7461,7358,7826,7686
City,38,Coimbatore,0,0,0,0,0,0,0,0,0,0
City,39,Delhi,13,19,54,33,589,528,10334,9936,10990,10516
City,40,Hyderabad,2,2,4,4,131,112,2218,2126,2355,2244
City,41,Indore,0,0,0,0,0,0,0,0,0,0
City,42,Jaipur,0,0,0,0,0,0,0,0,0,0
City,43,Kanpur,0,0,0,0,30,30,1359,1331,1389,1361
City,44,Kochi,0,0,5,5,29,32,760,750,794,787
City,45,Lucknow,0,0,0,0,57,34,2448,2090,2505,2124
City,46,Ludhiana,0,2,0,0,0,0,0,0,0,2
City,47,Madras,2,2,12,12,224,188,3283,3283,3521,3485
City,48,Madurai,0,0,0,0,0,0,0,0,0,0
City,49,Nagpur,0,0,0,0,0,0,0,0,0,0
City,50,Patna,0,0,0,0,86,68,1656,1383,1742,1451
City,51,Pune,0,0,0,0,80,72,1535,1654,1615,1726
City,52,Surat,0,0,1,1,27,25,891,668,919,694
City,53,Vadodara,0,0,0,0,14,14,619,589,633,603
City,54,Varanasi,0,0,0,0,21,19,1008,1008,1029,1027
City,55,Vishakhapatnam,0,0,0,0,0,0,0,0,0,0
