Category,SI.No.,State/UT/City,Arms Act - Male,Arms Act - Female,Arms Act - Total,Narcotic Drugs & Psy. Substances Act - Male,Narcotic Drugs & Psy. Substances Act - Female,Narcotic Drugs & Psy. Substances Act - Total,Gambling Act - Male,Gambling Act - Female,Gambling Act - Total,Excise Act - Male,Excise Act - Female,Excise Act - Total,Prohibition Act - Male,Prohibition Act - Female,Prohibition Act - Total,Explosive & Explosive Subs.Act - Male,Explosive & Explosive Subs.Act - Female,Explosive & Explosive Subs.Act - Total,Immoral Trafic (prevention) Act - Male,Immoral Trafic (prevention) Act - Female,Immoral Trafic (prevention) Act - Total,Indian Raiways Act - Male,Indian Raiways Act - Female,Indian Raiways Act - Total,Registration of Foreigners Act - Male,Registration of Foreigners Act - Female,Registration of Foreigners Act - Total,Protection of Civil Rights Act - Male,Protection of Civil Rights Act - Female,Protection of Civil Rights Act - Total,Indian Passport Act - Male,Indian Passport Act - Female,Indian Passport Act - Total,Essential Commodities Act - Male,Essential Commodities Act - Female,Essential Commodities Act - Total,Terrorist & Disruptive Activites Act - Male,Terrorist & Disruptive Activites Act - Female,Terrorist & Disruptive Activites Act - Total,Antiquity & Art Treasures Act - Male,Antiquity & Art Treasures Act - Female,Antiquity & Art Treasures Act - Total,Dowry Prohibtion Act - Male,Dowry Prohibtion Act - Female,Dowry Prohibtion Act - Total,Child Marriage Restraint Act - Male,Child Marriage Restraint Act - Female,Child Marriage Restraint Act - Total,Indecent Representation of Women (p) Act - Male,Indecent Representation of Women (p) Act - Female,Indecent Representation of Women (p) Act - Total,Copy right Act - Male,Copy right Act - Female,Copy right Act - Total,Sati Prevention Act - Male,Sati Prevention Act - Female,Sati Prevention Act - Total,SC/ST(Prev. of Atrocities Act - Male,SC/ST(Prev. of Atrocities Act - Female,SC/ST(Prev. of Atrocities Act - Total,Forest Act - Male,Forest Act - Female,Forest Act - Total,Other SLL Crimes - Male,Other SLL Crimes - Female,Other SLL Crimes - Total,Total Cognizable Crimes Under SLL - Male,Total Cognizable Crimes Under SLL - Female,Total Cognizable Crimes Under SLL - Total
State,1,Andhra Pradesh,830,0,830,898,30,928,56969,1,56970,28857,1576,30433,25975,2469,28444,772,0,772,243,871,1114,12,0,12,11,1,12,653,16,669,5,0,5,17,0,17,7,0,7,12,0,12,79,11,90,0,0,0,14,4,18,73,0,73,0,0,0,1346,32,1378,78,0,78,683648,5669,689317,800499,10680,811179
State,2,Arunachal Pradesh,11,0,11,7,2,9,0,0,0,0,0,0,0,0,0,13,0,13,0,0,0,0,0,0,12,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,76,0,76,119,2,121
State,3,Assam,688,0,688,116,23,139,451,0,451,177,9,186,60,2,62,61,0,61,34,19,53,18,0,18,7,0,7,0,0,0,64,20,84,50,0,50,58,0,58,0,0,0,80,8,88,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,43,0,43,738,4,742,2646,85,2731
State,4,Bihar,4613,13,4626,338,9,347,2138,3,2141,2801,100,2901,15,0,15,572,25,597,68,9,77,116,4,120,4,0,4,259,0,259,4,0,4,656,2,658,0,0,0,1,0,1,3004,556,3560,0,0,0,0,0,0,6,0,6,0,0,0,729,0,729,65,0,65,3037,42,3079,18426,763,19189
State,5,Goa,9,0,9,46,3,49,440,0,440,0,0,0,0,0,0,12,0,12,0,73,73,79,0,79,21,8,29,1,0,1,2,0,2,4,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,2,0,0,0,0,0,0,0,0,0,401,60,461,1017,144,1161
State,6,Gujarat,544,4,548,325,12,337,25556,42,25598,3,0,3,114400,56284,170684,101,1,102,6,4,10,1659,5,1684,43,1,44,280,17,297,786,0,786,204,1,205,0,0,0,1,0,1,9,4,13,170,80,250,3,0,3,91,0,91,0,0,0,1354,108,1462,28,5,33,54381,4062,58443,199944,60630,260574
State,7,Haryana,1211,0,1211,1291,74,1365,5080,0,5080,35059,258,35317,0,0,0,25,2,27,9,12,21,2128,2,2130,2,0,2,4,1,5,1,0,1,214,1,215,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22,0,22,0,0,0,9,0,9,0,0,0,2862,50,2912,47917,400,48317
State,8,Himachal Pradesh,33,0,33,103,4,107,344,0,344,3794,963,4757,0,0,0,6,0,6,0,0,0,2,0,2,10,0,10,11,0,11,0,0,0,15,1,16,0,0,0,0,0,0,0,0,0,12,9,21,0,0,0,10,0,10,0,0,0,46,7,53,607,5,612,153,8,161,5146,997,6143
State,9,Jammu & Kashmir,873,1,874,101,0,101,140,0,140,30,1,31,0,0,0,154,0,154,0,0,0,0,0,0,5,0,5,1,0,1,61,0,61,1015,0,1051,244,0,244,0,0,0,3,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,59,0,59,368,27,395,3090,29,3119
State,10,Karnataka,145,0,145,204,10,214,14378,17,14395,2792,103,2895,28,0,28,94,1,95,235,2186,2421,9,0,9,28,2,30,545,31,576,51,0,51,194,3,197,15,0,15,12,0,12,399,152,551,0,0,0,0,0,0,40,0,40,0,0,0,3595,156,3751,520,4,524,916228,528,916756,939512,3193,942705
