Category,SI.No.,State/UT/City,Murder - Male,Murder - Female,Murder - Total,Attempt to Commit Murder - Male,Attempt to Commit Murder - Female,Attempt to Commit Murder - Total,C. H. Not Amounting to Murder - Male,C. H. Not Amounting to Murder - Female,C. H. Amounting to Murder - Total,Rape - Male,Rape - Female,Rape - Total,Kidnapping & Abuduction - Total - Male,Kidnapping & Abuduction - Total - Female,Kidnapping & Abuduction - Total - Total,Kidnapping & Abuduction - of Women & Girls - Male,Kidnapping & Abuduction - of Women & Girls - Female,Kidnapping & Abuduction - of Women & Girls - Total,Kidnapping & Abuduction - of Others - Male,Kidnapping & Abuduction - of Others - Female,Kidnapping & Abuduction - of Others - Total,Dacoity - Male,Dacoity - Female,Dacoity - Total,Preparation & Assembly For Dacoity - Male,Preparation & Assembly For Dacoity - Female,Preparation & Assembly For Dacoity - Total,Robbery - Male,Robbery - Female,Robbery - Total,Burglary - Male,Burglary - Female,Burglary - Total,Theft - Male,Theft - Female,Theft - Total,Riots - Male,Riots - Female,Riots - Total,Criminal Breach of Trust - Male,Criminal Breach of Trust - Female,Criminal Breach of Trust - Total,Cheating - Male,Cheating - Female,Cheating - Total,Counterfeiting - Male,Counterfeiting - Female,Counterfeiting - Total,Arson - Male,Arson - Female,Arson - Total,Hurt - Male,Hurt - Female,Hurt - Total,Dowry Deaths - Male,Dowry Deaths - Female,Dowry Deaths - Total,Molestation - Male,Molestation - Female,Molestation - Total,Sexual Harassment - Male,Sexual Harassment - Female,Sexual Harassment - Total,Cruelty By Husband And Relatives - Male,Cruelty By Husband And Relatives - Female,Cruelty By Husband And Relatives - Total,Other IPC Crimes - Male,Other IPC Crimes - Female,Other IPC Crimes - Total,Total Cognizable Crimes Under IPC - Male,Total cognizable crimes under IPC - Female,Total cognizable crimes under IPC - Total
State,1,Andhra Pradesh,6953,248,7201,3050,47,3097,250,10,260,1068,11,1079,1603,155,1758,1105,125,1230,498,30,528,1693,5,1698,30,0,30,1443,8,1451,5914,68,5982,10286,312,10598,31041,1083,32124,629,13,642,2662,47,2709,75,0,75,1369,26,1395,44834,2521,47355,667,233,900,3089,40,3129,1179,8,1187,4509,1249,5758,56375,4080,60455,178719,10164,188883
State,2,Arunachal Pradesh,148,4,152,47,2,49,12,0,12,40,0,40,29,10,39,20,9,29,9,1,10,64,0,64,5,0,5,104,0,104,121,2,123,322,1,323,86,0,86,20,0,20,18,0,18,4,0,4,5,0,5,296,18,314,0,0,0,37,0,37,0,0,0,5,0,5,829,18,847,2192,55,2247
State,3,Assam,2243,32,2275,448,1,449,34,0,34,670,1,671,1124,2,1126,865,2,867,259,0,259,1766,3,1769,135,1,136,1355,0,1355,3348,14,3362,6329,33,6362,10702,409,11111,485,0,485,557,4,561,65,0,65,854,2,856,5389,203,5592,51,4,55,689,7,696,1,0,1,663,46,709,9544,222,9766,46452,984,47436
State,4,Bihar,11837,262,12099,12159,170,12329,882,100,982,2099,8,2107,2660,1647,4307,0,1647,1647,2660,0,2660,5871,0,5871,873,24,897,4584,29,4613,5930,13,5943,17787,324,18111,56319,1270,57589,2994,19,3013,2814,65,2879,55,0,55,780,0,780,9675,0,9675,1378,0,1378,772,0,772,125,0,125,1541,0,1541,88725,2175,90900,229860,6106,235966
State,5,Goa,49,5,54,37,3,40,16,0,16,13,1,14,16,2,18,9,2,11,7,0,7,28,4,32,0,0,0,61,4,65,285,5,290,355,19,374,830,104,934,39,3,42,61,3,64,3,0,3,20,1,21,304,32,336,2,0,2,19,1,20,10,0,10,26,18,44,1012,95,1107,3186,300,3486
State,6,Gujarat,2622,251,2873,2232,149,2381,23,0,23,418,18,436,1338,92,1430,881,74,955,457,18,475,1248,14,1262,22,0,22,1096,30,1126,3977,146,4123,9789,344,10133,12993,991,13984,2287,108,2395,3263,154,3417,20,3,23,767,17,784,30857,2544,33401,135,172,307,1435,33,1468,113,0,113,5063,1876,6939,70228,4906,75134,149926,11848,161774
State,7,Haryana,1341,64,1405,1371,20,1391,140,8,148,469,11,480,568,17,585,319,10,329,249,7,256,172,0,172,130,0,130,390,2,392,2183,5,2188,3325,31,3356,3791,103,3894,361,3,364,976,17,993,9,0,9,290,2,292,12724,417,13141,483,195,678,600,0,600,545,70,615,1193,333,1526,16251,300,16551,47312,1598,48910
State,8,Himachal Pradesh,214,38,252,169,26,195,8,3,11,192,7,199,150,15,165,1178,12,129,33,3,36,5,0,5,0,0,0,37,0,37,450,26,476,519,13,532,2342,524,2866,93,0,93,120,3,123,5,0,5,163,12,175,2098,390,2488,21,14,35,376,26,402,15,4,19,294,108,402,7315,972,8287,14586,2181,16767
State,9,Jammu & Kashmir,318,10,328,742,8,750,6,0,6,157,0,157,330,5,335,322,5,327,8,0,8,37,0,37,0,0,0,104,0,104,560,1,561,2623,12,2635,2087,213,2300,106,0,106,164,0,164,1,0,1,119,1,120,760,22,782,0,0,0,487,52,539,210,0,210,7,0,7,7206,457,7663,16024,781,16805
State,10,Karnataka,2946,250,3196,3040,73,3113,121,7,128,274,3,277,681,36,717,273,25,298,408,11,419,1209,3,1212,19,0,19,979,1,980,3788,33,3821,7184,211,7395,45305,2803,48108,432,11,443,1261,59,1320,63,0,63,782,7,789,43199,2640,45839,329,107,436,1916,72,1988,196,0,196,2220,608,2828,46588,2679,79267,162532,9603,172135
State,11,Kerala,861,58,919,2057,28,2085,151,1,152,545,3,548,329,27,356,186,26,212,143,1,144,403,1,404,46,0,46,469,2,471,2727,33,2760,2977,81,3058,39731,924,40655,350,28,378,1624,90,1714,38,8,38,330,4,334,28224,1302,29526,37,12,49,1409,7,1416,73,0,73,1380,270,1650,51522,1389,52911,135283,4260,139543
