Category,SL.No.,State/UT/City,DG/IG/DIG/SP - Sanctioned,DG/IG/DIG/SP - Actual,ASP & DSP - Sanctioned,ASP & DSP - Actual,"Inspector, SI & A.S.I. - Sanctioned","Inspector, SI & A.S.I. - Actual",Officers Below A.S.I. - Sanctioned,Officers Below A.S.I. - Actual,Grand Total - Sanctioned,Grand Total - Actual
State,1,Andhra Pradesh,177,158,304,290,5650,5205,59061,56392,65192,62045
State,2,Arunachal Pradesh,24,19,37,19,449,441,2402,2287,2912,2766
State,3,Assam,157,157,161,161,5006,4849,24696,23482,30020,28649
State,4,Bihar,237,220,407,407,12693,12544,49726,49308,63063,62479
State,5,Goa,9,7,18,11,267,212,2007,1787,2301,2017
State,6,Gujarat,114,114,175,175,3168,3168,49091,30815,52548,34272
State,7,Haryana,67,70,120,106,2957,2694,24115,22901,27259,25771
State,8,Himachal Pradesh,83,83,93,93,1202,1164,7269,6861,8647,8201
State,9,Jammu & Kashmir,101,95,187,188,2903,2695,19881,18912,23072,21890
State,10,Karnataka,141,140,251,230,5402,5272,46087,45282,51881,50924
State,11,Kerala,78,66,184,175,2681,2492,34554,33706,37497,36439
State,12,Madhya Pradesh,278,185,571,448,8076,4601,54847,47535,63772,52769
State,13,Maharashtra,187,184,464,383,14603,12910,112782,107432,128036,120909
State,14,Manipur,44,38,50,33,1108,908,4175,3384,5377,4363
State,15,Meghalaya,32,24,36,22,1077,943,5211,4804,6356,5793
State,16,Mizoram,24,24,39,39,622,616,1817,1739,2502,2418
State,17,Nagaland,44,43,41,41,712,710,6851,6848,7648,7642
State,18,Orissa,149,143,173,144,5407,4930,22859,21228,28588,26445
State,19,Punjab,143,151,282,283,6104,5952,45899,43956,52428,50372
State,20,Rajasthan,194,173,295,219,6139,5002,44069,42206,50697,47600
State,21,Sikkim,33,33,20,20,240,240,2161,2161,2454,2454
State,22,Tamil Nadu,232,209,477,466,7189,5872,66583,58486,74481,65033
State,23,Tripura,41,31,73,36,1396,1081,6790,5632,8300,6780
State,24,Uttar Pradesh,419,389,758,633,13056,11119,113826,111800,128059,123941
State,25,West Bengal,181,171,308,265,12588,11681,48174,45419,61251,57536
State,Total (States),Total (States),3189,2927,5524,4887,120695,107301,854933,794393,984341,909508
UT,26,A & N Islands,3,3,12,11,349,307,1774,1682,2138,2003
UT,27,Chandigarh,4,4,9,9,416,394,2187,2096,2616,2503
UT,28,D & N Haveli,1,1,1,1,12,9,219,213,233,224
UT,29,Daman & Diu,1,1,2,2,21,21,227,227,251,251
UT,30,Delhi,57,65,243,229,8577,7799,32920,32604,41797,40697
UT,31,Lakshadweep,1,1,1,1,53,50,294,281,349,333
UT,32,Pondicherry,3,3,15,15,112,112,971,971,1101,1101
UT,Total (UTs),Total (UTs),70,78,283,268,9540,8692,38592,38074,48485,47112
Total (All-India),Total (All-India),Total (All-India),3259,3005,5807,5155,130235,115993,893525,832467,1032826,956620
City,33,Ahmedabad,15,14,16,15,671,344,6404,5707,7106,6080
City,34,Bangalore,17,17,32,32,1179,1125,7596,7596,8824,8770
City,35,Bhopal,3,3,17,17,329,311,2659,2603,3008,2934
City,36,Bombay,41,41,100,96,5441,4595,24897,21687,30479,26419
City,37,Calcutta,25,24,98,83,3519,3201,11878,11096,15520,14404
City,38,Coimbatore,5,5,11,11,159,105,1961,1715,2136,1836
City,39,Delhi,57,65,243,229,8577,7799,32920,32604,41797,40697
City,40,Hyderabad,26,25,42,42,664,663,5606,5411,6338,6141
City,41,Indore,4,4,9,9,323,280,2630,2573,2966,2866
City,42,Jaipur,9,8,23,17,650,406,6093,4894,6775,5325
City,43,Kanpur,4,4,16,16,450,380,3733,3491,4203,3891
City,44,Kochi,1,1,12,12,171,127,1361,1155,154,1295
City,45,Lucknow,5,5,13,13,560,339,3372,3177,3950,3534
City,46,Ludhiana,4,4,9,9,260,260,2893,2863,3166,3136
City,47,Madras,18,18,46,46,701,417,7100,5153,7865,5634
City,48,Madurai,5,4,11,11,184,140,2555,2119,2755,2274
City,49,Nagpur,8,7,11,7,590,544,4720,4638,5329,5196
City,50,Patna,0,0,0,0,522,457,4249,4167,4771,4624
City,51,Pune,8,8,14,12,501,468,3568,3445,4091,3933
City,52,Surat,8,8,9,9,226,173,2318,2280,2561,2470
City,53,Vadodara,5,5,7,7,216,141,1993,1943,2221,2096
City,54,Varanasi,3,3,6,6,254,145,2958,1864,3221,2018
City,55,Vishakhapatnam,2,2,5,5,109,104,1614,1518,1730,1629
