Category,SL. No.,State/UT/City,Murder,Attempt to commit Murder,C.H. not Amounting to Murder,Rape,Kidnapping & Abduction - Total,Kidnapping & Abduction - of Women & Girls,Kidnapping & Abduction - of Others,Dacoity,Preparation & Assembly for Dacoity,Robbery,Burglary,Theft,Riots,Criminal Breach of Trust,Cheating,Counterfeiting,Arson,Hurt/ Grievous Hurt,Dowry Death,Molestation,Sexual Harassment,Cruelty by Husband or Relatives,Other IPC Crimes,Total Cognizable Crimes Under IPC
State,1,Andhra Pradesh,14,2,0,11,0,0,0,0,0,3,150,299,7,0,2,0,0,90,2,4,1,8,242,835
State,2,Arunachal Pradesh,0,0,0,0,0,0,0,0,0,1,7,9,0,0,0,0,0,0,0,0,0,0,0,17
State,3,Assam,7,0,0,0,0,0,0,1,0,2,51,79,44,0,1,0,1,27,0,8,0,0,41,262
State,4,Bihar,62,67,13,24,95,11,84,35,0,40,132,470,472,0,2,0,0,0,0,0,0,0,533,1945
State,5,Goa,0,2,0,0,0,0,2,0,0,1,11,12,3,0,0,0,0,2,0,1,0,25,2,34
State,6,Gujarat,12,13,0,7,12,10,5,3,0,8,157,256,67,4,9,0,1,225,3,6,0,8,276,1084
State,7,Haryana,2,2,1,1,5,0,0,1,0,0,18,17,14,1,2,0,0,72,14,0,9,0,60,227
State,8,Himachal Pradesh,1,2,0,2,0,0,0,0,0,0,12,6,12,0,2,0,0,11,0,0,0,0,31,79
State,9,Jammu & Kashmir,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,2
State,10,Karnataka,19,7,2,1,0,0,0,0,0,5,71,118,87,0,5,0,0,69,0,1,0,0,60,451
State,11,Kerala,0,1,0,1,1,1,0,0,0,0,37,36,39,0,0,0,0,12,0,0,0,31,10,137
State,12,Madhya Pradesh,102,82,3,70,2,2,0,0,0,38,332,434,78,0,3,0,19,667,17,60,1,150,1449,3388
State,13,Maharashtra,48,15,2,17,5,5,0,8,0,8,414,695,160,2,6,0,8,435,6,22,2,0,381,2384
State,14,Manipur,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
State,15,Meghalaya,2,0,0,3,0,0,0,0,0,1,4,13,0,0,0,0,0,0,0,0,0,0,5,28
State,16,Mizoram,0,0,0,1,0,0,0,0,0,0,40,61,0,0,0,0,0,20,0,0,0,0,15,137
State,17,Nagaland,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
