Category,SL. No.,State/UT/City,7-12 Years - Boys,7-12 Years - Girls,12-16 Years - Boys,12-16 Years - Girls,16-18 Years - Girls Only,Overall Age Group - Boys,Overall Age Group - Girls,Total (Boys + Girls)
State,1,Andhra Pradesh,89,2,609,12,123,698,137,835
State,2,Arunachal Pradesh,9,0,7,1,0,16,1,17
State,3,Assam,8,0,251,3,0,259,3,262
State,4,Bihar,527,23,860,41,494,1387,558,1945
State,5,Goa,9,0,19,2,4,28,6,34
State,6,Gujarat,156,19,644,64,201,800,284,1084
State,7,Haryana,5,1,144,9,68,149,78,227
State,8,Himachal Pradesh,3,0,46,7,23,49,30,79
State,9,Jammu & Kashmir,2,0,0,0,0,2,0,2
State,10,Karnataka,62,3,208,15,163,270,181,451
State,11,Kerala,10,6,114,7,0,124,13,137
State,12,Madhya Pradesh,187,20,2283,145,753,2470,918,3388
State,13,Maharashtra,332,34,1438,148,432,1770,614,2384
State,14,Manipur,0,0,0,0,0,0,0,0
State,15,Meghalaya,0,0,27,1,0,27,1,28
State,16,Mizoram,0,0,129,0,8,129,8,137
State,17,Nagaland,0,0,0,0,0,0,0,0
State,18,Orissa,4,16,130,3,16,134,35,169
State,19,Punjab,0,0,2,0,0,2,0,2
State,20,Rajasthan,58,0,507,28,173,565,201,766
State,21,Sikkim,0,0,0,0,4,0,4,4
State,22,Tamil Nadu,51,8,287,23,25,338,56,394
State,23,Tripura,0,0,0,0,0,0,0,0
State,24,Uttar Pradesh,0,0,19,0,19,19,19,38
State,25,West Bengal,1,0,13,0,0,14,0,14
State,Total (States),Total (States),1513,132,7737,509,2506,9250,3147,12397
UT,26,A & N Islands,1,0,3,0,0,4,0,4
UT,27,Chandigarh,0,0,38,2,0,38,2,40
UT,28,D & N Haveli,1,0,1,0,1,2,1,3
UT,29,Daman & Diu,0,0,2,0,0,2,0,2
UT,30,Delhi,59,7,381,15,35,440,57,497
UT,31,Lakshadweep,0,0,0,0,0,0,0,0
UT,32,Pondicherry,0,0,10,0,0,10,0,10
UT,Total (UTs),Total (UTs),61,7,435,17,36,496,60,556
Total (All -India),Total (All -India),Total (All -India),1574,139,8172,526,2542,9746,3207,12953
City,33,Ahmedabad,9,2,48,9,23,57,34,91
City,34,Bangalore,1,1,105,11,5,106,17,123
City,35,Bhopal,0,0,0,0,0,0,0,0
City,36,Bombay,23,7,175,20,35,198,62,260
City,37,Calcutta,1,0,3,0,0,4,0,4
City,38,Coimbatore,6,1,9,7,0,15,8,23
City,39,Delhi,59,7,381,15,35,440,57,497
City,40,Hyderabad,12,0,93,0,0,105,0,105
City,41,Indore,0,0,67,4,0,67,4,71
City,42,Jaipur,2,0,81,3,6,83,9,92
City,43,Kanpur,0,0,2,0,1,2,1,3
City,44,Kochi,0,0,11,0,0,11,0,11
City,45,Lucknow,0,0,0,0,0,0,0,0
City,46,Ludhiana,0,0,0,0,0,0,0,0
City,47,Madras,2,0,30,0,0,32,0,32
City,48,Madurai,12,2,34,2,3,46,7,53
City,49,Nagpur,0,0,21,0,0,21,0,21
City,50,Patna,0,0,15,0,0,15,0,15
City,51,Pune,14,0,89,2,19,103,21,124
City,52,Surat,14,0,58,0,0,72,0,72
City,53,Vadodara,9,0,58,4,37,67,41,108
City,54,Varanasi,0,0,0,0,0,0,0,0
City,55,Vishakhapatnam,11,0,44,6,2,55,8,63
