SL. No.,State/UT,Murder - Incidence (I),Murder - Rate (R),Murder - Percentage Contribution to All-India (P),Hurt - Incidence (I),Hurt - Rate (R),Hurt - Percentage Contribution to All-India (P),Rape - Incidence (I),Rape - Rate (R),Rape - Percentage Contribution to All-India (P),Kidnapping & Abduction - Incidence (I),Kidnapping & Abduction - Rate (R),Kidnapping & Abduction - Percentage Contribution to All-India (P),Dacoity - Incidence (I),Dacoity - Rate (R),Dacoity - Percentage Contribution to All-India (P),Robbery - Incidence (I),Robbery - Rate (R),Robbery - Percentage Contribution to All-India (P),Arson - Incidence (I),Arson - Rate (R),Arson - Percentage Contribution to All-India (P),Protection of Civil Rights Act - Incidence (I),Protection of Civil Rights Act - Rate (R),Protection of Civil Rights Act - Percentage Contribution to All-India (P),SC & ST (Prev. of Atrocities) Act - Incidence (I),SC & ST (Prev. of Atrocities) Act - Rate (R),SC & ST (Prev. of Atrocities) Act - Percentage Contribution to All-India (P),Other Offences - Incidence (I),Other Offences - Rate (R),Other Offences - Percentage Contribution to All-India (P),Total - Incidence (I),Total - Rate (R),Total - Percentage Contribution to All-India (P)
1,Andhra Pradesh,5,0,5.3,51,0.1,7.3,13,0,4.1,1,0,2,0,0,0,0,0,0,1,0,2,5,0,6.9,76,0.1,10.1,100,0.1,3.5,252,0.3,5.1
2,Arunachal Pradesh,2,0.2,2.1,0,0,0,0,0,0,2,0.2,4,0,0,0,1,0.1,4.8,0,0,0,0,0,0,0,0,0,0,0,0,5,0.5,0.1
3,Assam,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,Bihar,12,0,12.8,21,0,3,12,0,3.8,17,0,34,25,0,78.1,7,0,33.3,6,0,11.8,0,0,0,36,0,4.8,54,0.1,1.9,190,0.2,3.8
5,Goa,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6,Gujarat,12,0,12.8,59,0.1,8.5,15,0,4.8,1,0,2,4,0,12.5,2,0,9.5,1,0,2,1,0,1.4,44,0.1,5.8,230,0.5,8,369,0.8,7.4
7,Haryana,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1.4,0,0,0,0,0,0,1,0,0
8,Himachal Pradesh,0,0,0,0,0,0,1,0,0.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0.1,3,0.1,0.1
9,Jammu & Kashmir,0,0,0,2,0,0.3,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,0,0,0,0,0,0,3,0,0.1,6,0.1,0.1
10,Karnataka,6,0,6.4,89,0.2,12.8,4,0,1.3,2,0,4,0,0,0,0,0,0,3,0,5.9,17,0,23.6,30,0.1,4,29,0.1,1,180,0.4,3.6
11,Kerala,3,0,3.2,25,0.1,3.6,11,0,3.5,0,0,0,0,0,0,0,0,0,1,0,2,1,0,1.4,74,0.2,9.8,7,0,0.2,122,0.4,2.5
12,Madhya Pradesh,20,0,21.3,169,0.2,24.4,166,0.2,52.9,15,0,30,1,0,3.1,4,0,19,10,0,19.6,8,0,11.1,103,0.1,13.7,970,1.3,33.6,1466,2,29.5
