SL. No.,Year,Total Value of Property - Stolen,Total Value of Property - Recovered,Percentage Recovery
1,1986,21925,7615,34.7
2,1987,34444,8100,23.5
3,1988,33084,9057,27.4
4,1989,33487,11287,33.7
5,1990,41817,11855,28.3
6,1991,59537,17012,28.6
7,1992,67210,17759,26.4
8,1993,136775,21334,15.6
9,1994,86505,20963,24.2
10,1995,106306,25717,24.2
11,1996,99670,28142,28.2
12,Percentage Change in 1996 Over 1986,354.6,269.6,18.7
