SI.No.,Crime Head,1992,Note of 1992,1993,Note of 1993,1994,Note of 1994,1995,1996
1,Murder,2.2,NA,2.3,NA,2.2,NA,2.2,2.1
2,Attempt to Commit Murder,2.5,NA,2.5,NA,2.5,NA,2.6,2.5
3,C.H. Not Amounting To Murder,2,NA,2.3,NA,2.1,NA,2.1,2.2
4,Rape,1.4,NA,1.3,NA,1.4,NA,1.4,1.3
5,Kidnapping & Abduction,1.4,NA,1.4,NA,1.4,NA,1.3,1.3
5,I)of Women & Girls,1.3,NA,1.3,NA,1.2,NA,1.2,1.2
5,II)of Others,1.7,NA,1.6,NA,1.6,NA,1.5,1.6
6,Dacoity,3.2,NA,3.3,NA,3.2,NA,3.1,3.1
7,Preparation & Assembly for Dacoity,5,NA,5.4,NA,5,NA,5.4,4.9
8,Robbery,1.2,NA,1.2,NA,1.3,NA,1.3,1.3
9,Burglary,0.7,NA,0.7,NA,0.7,NA,0.7,0.7
10,Theft,0.7,NA,0.7,NA,0.7,NA,0.6,0.6
11,Riots,5.1,NA,5.6,NA,5.4,NA,5.3,5.2
12,Criminal Breach of Trust,0.9,NA,0.9,NA,0.9,NA,1,1
13,Cheating,0.9,NA,0.9,NA,0.9,NA,0.9,0.9
14,Counterfeiting,0.2,NA,0.3,NA,0.4,NA,0.4,0.3
15,Arson,NA,*,NA,*,NA,*,1.2,1.2
16,Hurt/ Grievous Hurt,NA,*,NA,*,NA,*,1.8,1.9
17,Dowry Death,NA,*,NA,*,NA,*,2.8,2.7
18,Molestation,NA,*,NA,*,NA,*,1.2,1.3
19,Sexual Harassment,NA,*,NA,*,NA,*,1.3,1.2
20,Cruelty by Husband and Relatives,NA,*,NA,*,NA,*,2.2,2.3
21,Other IPC Crimes,1.5,NA,1.5,NA,1.5,NA,1.4,1.3
Total Cognizable Crimes Under IPC,Total Cognizable Crimes Under IPC,1.5,NA,1.5,NA,1.5,NA,1.5,1.5
1,Arms Act,1.1,NA,1,NA,1,NA,1,1
2,Narcotic Drugs & Psychotropic Substances Act,1.1,NA,1.1,NA,1.2,NA,1.1,1.1
3,Gambling Act,2.1,NA,2,NA,2,NA,2.1,2.2
4,Excise Act,1.1,NA,1.1,NA,1,NA,1.1,1.1
5,Prohibition Act,1,NA,1,NA,1,NA,1,1
6,Explosive & Explosive Substances Act,0.8,NA,1.2,NA,1.2,NA,1.1,1.1
7,Immoral Traffic (P) Act,1.1,NA,1.2,NA,1.4,NA,1.4,1.3
8,Indian Railways Act,1.1,NA,1.1,NA,1.2,NA,1.1,1.1
9,Registration of Foreigners Act,1.7,NA,1.9,NA,1.9,NA,1.6,1.6
10,Protection Of Civil Rights Act,1.9,NA,2.1,NA,2.1,NA,2.4,1.8
11,Indian Passport Act,1.5,NA,1.7,NA,1.4,NA,1.6,3
12,Essential Commodities Act,1.3,NA,1.3,NA,1.4,NA,1.4,1.2
13,Terrorist & Disruptive Actvites Act,0.6,NA,1,NA,0.9,NA,1,5.8
14,Antiquity & Art Treasure Act,1.4,NA,2.3,NA,1,NA,1.2,1.7
15,Dowry Prohibition Act,2.3,NA,2.3,NA,2.4,NA,2.6,2.7
16,Child Marriage Restraint Act,NA,*,NA,*,NA,*,3.5,3.7
17,Indecent Representation of Women (P)Act,NA,*,NA,*,NA,*,1.1,2.6
18,Copy Right Act,NA,*,NA,*,NA,*,1.4,1.4
19,Sati Prevention Act,NA,*,NA,*,NA,*,0,0
20,SC/ST (Prevention of Atrocities ) Act,NA,*,NA,*,NA,*,1.9,2
21,Forest Act,NA,*,NA,*,NA,*,2.1,2.1
22,Other SLL Crimes,1.2,NA,1.2,NA,1.2,NA,1,1
Total Cognizable Crimes Under SLL,Total Cognizable Crimes Under SLL,1.2,NA,1.2,NA,1.2,NA,1.1,1
