Category,SI.No.,State/UT/City,Arms Act - Incidence (I),Arms Act - Rate (R),Narcotic Drugs and Psychotropic Substances Act - Incidence (I),Narcotic Drugs and Psychotropic Substances Act - Rate (R),Gambling Act - Incidence (I),Gambling Act - Rate (R),Excise Act - Incidence (I),Excise Act - Rate (R),Prohibition Act - Incidence (I),Prohibition Act - Rate (R),Explosives and Explosive Substances Act - Incidence (I),Explosives and Explosive Substances Act - Rate (R),Immoral Traffic (Prevention) Act - Incidence (I),Immoral Traffic (Prevention) Act - Rate (R),Indian Railways Act - Incidence (I),Indian Railways Act - Rate (R),Registration of Foreigners Act - Incidence (I),Registration of Foreigners Act - Rate (R),Protection of Civil Rights Act - Incidence (I),Protection of Civil Rights Act - Rate (R),Indian Passport Act - Incidence (I),Indian Passport Act - Rate (R),Essential Commodities Act - Incidence (I),Essential Commodities Act - Rate (R),Terrorist & Disruptive Activites Act - Incidence (I),Terrorist & Disruptive Activites Act - Rate (R),Antiquity & Art Treasure Act - Incidence (I),Antiquity & Art Treasure Act - Rate (R),Dowry Prohibition Act - Incidence (I),Dowry Prohibition Act - Rate (R),Child Marriage Restraint Act - Incidence (I),Child Marriage Restraint Act - Rate (R),Incidence Representation of Women (P) Act - Incidence (I),Incidence Representation of Women (P) Act - Rate (R),Copy Right Act - Incidence (I),Copy Right Act - Rate (R),Sati Prevention Act - Incidence (I),Sati Prevention Act - Rate (R),SC/ST (Prev. Of Atrocities ) Act - Incidence (I),SC/ST (Prev. Of Atrocities ) Act - Rate (R),Forest Act - Incidence (I),Forest Act - Rate (R),Other SLL Crimes - Incidence (I),Other SLL Crimes - Rate (R),Total Cognizable Crimes Under SLL - Incidence (I),Total Cognizable Crimes Under SLL - Rate (R)
State,1,Andhra Pradesh,581,0.8,598,0.8,50886,69.8,23954,32.9,26515,36.4,521,0.7,559,0.8,27,0,15,0,472,0.6,5,0,11,0,36,0,6,0,71,0.1,1,0,8,0,63,0.1,0,0,747,1,60,0.1,673554,924.2,778690,1068.5
State,2,Arunachal Pradesh,12,1.2,5,0.5,0,0,0,0,0,0,2,0.2,0,0,0,0,6,0.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28,2.8,53,5.4
State,3,Assam,437,1.7,114,0.5,259,1,137,0.5,47,0.2,44,0.2,23,0.1,13,0.1,3,0,0,0,63,0.3,46,0.2,17,0.1,0,0,48,0.2,1,0,0,0,5,0,0,0,0,0,9,0,726,2.9,1992,7.9
State,4,Bihar,3173,3.3,184,0.2,522,0.5,1821,1.9,81,0.1,361,0.4,19,0,128,0.1,2,0,62,0.1,3,0,311,0.3,0,0,2,0,1071,1.1,0,0,0,0,5,0,0,0,493,0.5,44,0,2148,2.2,10430,10.8
State,5,Goa,6,0.5,40,3.1,207,15.9,0,0,0,0,4,0.3,25,1.9,79,6.1,26,2,1,0.1,1,0.1,3,0.2,0,0,0,0,0,0,0,0,0,0,2,0.2,0,0,0,0,0,0,341,26.2,735,56.5
State,6,Gujarat,389,0.9,226,0.5,8056,17.8,2,0,160576,353.8,79,0.2,4,0,1638,3.6,8,0,150,0.3,25,0.1,139,0.3,0,0,1,0,4,0,60,0.1,3,0,30,0.1,0,0,821,1.8,8,0,41670,91.8,213889,471.3
State,7,Haryana,1211,6.6,1265,6.9,2434,13.2,32739,177.6,0,0,29,0.2,5,0,1758,9.5,1,0,4,0,1,0,168,0.9,0,0,1,0,0,0,0,0,0,0,8,0,0,0,5,0,0,0,1672,9.1,41301,224.1
State,8,Himachal Pradesh,25,0.4,89,1.6,220,3.8,4581,80.1,0,0,5,0.1,0,0,0,0,7,0.1,6,0.1,0,0,11,0.2,0,0,0,0,2,0,4,0.1,0,0,2,0,0,0,33,0.6,304,5.3,97,1.7,5386,94.2
State,9,Jammu & Kashmir,2263,26,63,0.7,30,0.3,19,0.2,0,0,839,9.7,0,0,0,0,2,0,1,0,40,0.5,1126,13,0,0,0,0,4,0,0,0,0,0,0,0,0,0,27,0.3,55,0.6,537,6.2,5006,57.6
State,10,Karnataka,71,0.1,120,0.2,3753,7.7,2437,5,10,0,94,0.2,1660,3.4,14,0,22,0,222,0.5,7,0,193,0.4,1,0,6,0,244,0.5,0,0,0,0,27,0.1,0,0,1236,2.5,350,0.7,1267649,2601.4,1278116,2622.9
State,11,Kerala,180,0.6,423,1.4,1660,5.3,589,1.9,5193,16.6,336,1.1,36,0.1,7,0,15,0,11,0,34,0.1,100,0.3,0,0,0,0,3,0,4,0,29,0.1,16,0.1,0,0,299,1,76,0.2,5664,18.1,14675,46.9
