Category,SL.No.,State/UT/City,Recidential Premises - Number,Recidential Premises - Value,Highways - Number,Highways - Value,River & Sea - Number,River & Sea - Value,Railways - Number,Railways - Value,Banks - Number,Banks - Value,Commercial Establishments - Number,Commercial Establishments - Value,Other Places - Number,Other Places - Value,Total - Number,Total - Value
State,1,Andhra Pradesh,280,182.4,107,44.8,0,0,3,0.4,0,0,3,5.3,55,32.8,448,265.8
State,2,Arunachal Pradesh,14,4.8,1,1.1,0,0,0,0,0,0,6,10.6,4,3.1,25,19.6
State,3,Assam,441,99.4,61,23.2,3,2.1,1,0.1,0,0,72,31,265,59.6,843,215.4
State,4,Bihar,1543,370.6,331,104.2,0,0,113,25.4,16,14.6,113,29.2,334,46.4,2450,590.4
State,5,Goa,2,1.2,1,0.1,0,0,0,0,0,0,0,0,1,0.6,4,1.9
State,6,Gujarat,122,276.9,72,128.7,3,2.2,8,3.5,1,13,33,23.7,132,74.8,371,522.8
State,7,Haryana,19,31.5,9,4.3,0,0,0,0,0,0,2,0.3,25,46.4,55,82.6
State,8,Himachal Pradesh,1,0.8,0,0,0,0,0,0,0,0,0,0,2,0.1,3,0.9
State,9,Jammu & Kashmir,27,17.2,4,1.6,0,0,0,0,1,1.1,0,0,33,17.7,65,37.6
State,10,Karnataka,102,68.3,13,24.1,0,0,0,0,5,2,10,11.7,120,91.2,250,197.2
State,11,Kerala,20,7,8,2.6,1,0,0,0,1,0.3,0,0,68,83.8,98,93.7
State,12,Madhya Pradesh,98,63.6,31,27.5,0,0,4,0.2,0,0,5,0.6,60,42.4,198,134.3
State,13,Maharashtra,232,126.6,110,136.5,0,0,12,3,1,4.1,56,148.6,257,410,668,828.8
State,14,Manipur,1,0,8,8.6,0,0,0,0,0,0,7,2.9,2,0.4,18,11.9
State,15,Meghalaya,34,11.8,24,5.7,0,0,0,0,11,1.8,25,9.6,0,0,94,28.9
State,16,Mizoram,0,0,0,0,0,0,0,0,0,0,5,6.1,1,0,6,6.1
State,17,Nagaland,4,32.2,2,0.4,0,0,0,0,1,0.5,6,2.3,15,1.6,28,8
State,18,Orissa,194,57.1,20,4.8,0,0,2,0.6,4,20.7,4,1.2,81,3.6,305,87.9
State,19,Punjab,14,45.3,2,8.5,0,0,0,0,0,0,2,0.9,10,0.1,28,54.7
State,20,Rajasthan,19,11.3,10,3,0,0,0,0,0,0,3,0.6,65,71,97,86
State,21,Sikkim,1,0.4,0,0,0,0,0,0,0,0,0,0,0,0,1,0.4
State,22,Tamil Nadu,90,66.5,21,11.4,2,13.4,5,0.6,0,0,17,11.7,36,80.8,171,184.5
State,23,Tripura,56,3,21,0.8,0,0,0,0,1,1.7,8,0.6,29,2.2,115,8.3
State,24,Uttar Pradesh,681,235.7,202,206.6,0,0,33,8.6,5,8,11,10.2,214,91.7,1146,560.8
State,25,West Bengal,170,50.7,71,50.5,1,0,57,12.9,1,1.6,44,87.6,166,65.9,510,269.2
State,Total (States),Total (States),4165,1735.4,1129,799,10,17.7,238,55.1,48,69.4,432,394.8,1975,1226.2,7997,4297.6
UT,26,A & N Islands,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
UT,27,Chandigarh,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
UT,28,D & N Haveli,2,0.4,0,0,0,0,0,0,0,0,0,0,1,4.7,3,5.1
UT,29,Daman & Diu,1,0.6,0,0,0,0,0,0,0,0,0,0,0,0,1,0.6
UT,30,Delhi,17,16.2,1,0.4,0,0,7,1,0,0,1,0.4,6,101.7,32,119.8
UT,31,Lakshadweep,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
UT,32,Pondicherry,0,0,0,0,0,0,0,0,0,0,0,0,2,1.7,2,1.7
UT,Total (UTs),Total (UTs),20,17.1,1,0.4,0,0,7,1,0,0,1,0.4,9,108.1,38,127.1
Total (All-India),Total (All-India),Total (All-India),4185,1752.5,1130,799.4,10,17.7,245,56.2,48,69.4,433,395.2,1984,1334.3,8035,4424.7
City,33,Ahmedabad,8,0.5,3,5,0,0,0,0,1,13,4,1.6,8,5,24,25.1
City,34,Bangalore,24,16.6,2,6.8,0,0,0,0,0,0,4,2,12,0.6,42,26
City,35,Bhopal,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
City,36,Bombay,18,29.1,0,0,0,0,0,0,0,0,35,109.8,30,263,83,401.9
City,37,Calcutta,4,15.1,10,21.3,0,0,0,0,0,0,16,77.8,5,13.2,35,127.5
City,38,Coimbatore,1,0.2,0,0,0,0,0,0,0,0,0,0,0,0,1,0.2
City,39,Delhi,13,13.4,1,0.4,0,0,7,1,0,0,1,0.4,2,84.6,24,99.8
City,40,Hyderabad,12,26.1,0,0,0,0,0,0,0,0,0,0,0,0,12,26.1
City,41,Indore,0,0,0,0,0,0,0,0,0,0,1,0.3,1,0.5,2,0.8
City,42,Jaipur,1,4,0,0,0,0,0,0,0,0,1,0.1,2,0,4,4.1
City,43,Kanpur,27,7,6,4.6,0,0,0,0,0,0,2,0.8,2,1,37,13.4
City,44,Kochi,1,0,1,0,0,0,0,0,0,0,0,0,3,0.3,5,0.9
City,45,Lucknow,2,0,2,7.3,0,0,0,0,1,3.5,1,0,1,0.5,7,11.3
City,46,Ludhiana,2,1.3,0,0,0,0,0,0,0,0,1,0.9,0,0,3,2.2
City,47,Madras,1,2,0,0,0,0,0,0,0,0,1,0.1,1,58.8,3,60.9
City,48,Madurai,0,0,2,0.1,0,0,0,0,0,0,1,0,5,0.6,8,0.7
City,49,Nagpur,4,0.1,0,0,0,0,0,0,0,0,5,0.2,7,0.4,16,0.8
City,50,Patna,32,3.9,5,1.1,0,0,0,0,0,0,8,1.2,9,1.3,54,7.5
City,51,Pune,5,1.9,1,1.4,0,0,0,0,0,0,1,0.3,3,0.9,10,4.5
City,52,Surat,14,5.7,0,0,0,0,0,0,0,0,7,7.4,8,1.9,29,15
City,53,Vadodara,8,2.8,6,63.3,0,0,0,0,0,0,5,7.1,1,0.1,20,73.3
City,54,Varanasi,2,0.4,0,0,0,0,0,0,0,0,0,0,0,0,2,0.4
City,55,Vishakhapatnam,3,1.4,0,0,0,0,0,0,0,0,0,0,1,0.1,4,1.6
