SL. No.,State/UT,Total No. of Persons Under Trial Including those from Previous year,No. of Persons whose - Cases Compounded or Withdrawn,No. of Persons whose - Trial Completed,No. of Persons whose - Trial Remained Pending,No. of Persons Convicted,Pendency Percentage,Percentage of Pendency to All-India Total
1,Andhra Pradesh,444667,22294,145091,277282,43485,62.4,3.2
2,Arunachal Pradesh,11196,169,607,10420,322,93.1,0.1
3,Assam,156190,6321,30024,119845,5149,76.7,1.4
4,Bihar,1293321,23199,636064,634058,78585,49,7.3
5,Goa,30473,788,3375,26310,693,86.3,0.3
6,Gujarat,769446,15995,76426,677025,23160,88,7.8
7,Haryana,192413,910,47346,144157,12686,74.9,1.7
8,Himachal Pradesh,63800,3138,6425,54237,1454,85,0.6
9,Jammu & Kashmir,130271,19077,9021,102173,3275,78.4,1.2
10,Karnataka,596462,52526,135950,407986,14946,68.4,4.7
11,Kerala,421941,24757,89668,307516,18520,72.4,3.5
12,Madhya Pradesh,1584072,101784,165629,1316659,73194,83.1,15.1
13,Maharashtra,1804267,62251,167759,1574257,26164,87.3,18
14,Manipur,5660,132,20,5508,2,97.3,0.1
15,Meghalaya,9707,336,1374,7997,834,82.4,0.1
16,Mizoram,2224,117,610,1497,500,67.3,0
17,Nagaland,4315,198,590,3527,415,81.7,0
18,Orissa,455008,518,60214,394276,9117,86.7,4.5
19,Punjab,47075,686,14749,31640,6200,67.2,0.4
20,Rajasthan,1093978,66306,159859,867813,80762,79.3,9.9
21,Sikkim,1457,282,743,432,617,29.6,0
22,Tamil Nadu,475546,10770,162374,302402,86100,63.6,3.5
23,Tripura,10203,658,2714,6831,491,67,0.1
24,Uttar Pradesh,1076310,39072,187152,850086,98278,79,9.7
25,West Bengal,443501,802,31852,410847,3933,92.6,4.7
Total (States),Total (States),11123503,453086,2135636,8534781,588882,76.7,97.8
26,A & N Islands,3436,2,277,3157,64,91.9,0
27,Chandigarh,7799,27,1669,6103,779,78.3,0.1
28,D & N Haveli,1874,0,397,1477,80,78.8,0
29,Daman & Diu,483,0,52,431,20,89.2,0
30,Delhi,204911,0,31139,173772,13400,84.8,2
31,Lakshadweep,26,0,5,21,4,80.8,0
32,Pondicherry,8076,547,3951,3578,2940,44.2,0
Total (UTs),Total (UTs),226605,576,37490,188539,17287,83.2,2.2
Total (All -India),Total (All -India),11350108,453662,2173126,8723320,606169,76.9,100
