SL.No.,Nature of Property,Number of Cases in which Property was - Stolen,Number of Cases in which Property was -Recovered,Percentage of Cases of Recovery,value of Property (Rs. In Lakh) - Stolen,value of Property (Rs. In Lakh) - Recovered,Percentage Recovery
1,Communication and Electric Wire,14536,4283,29.5,2285.4,337.5,14.8
2,Cattle,10769,5177,48,667.7,345.6,51.8
3,Cycle,20130,10659,53,258.3,149,57.7
4,"Motor cars including lorries, buses etc.",14358,5551,38.7,14516.4,7450.5,51.3
5,"Motorcycle, Scooters etc.",29908,9787,32.7,5709.7,2163.9,37.9
6,Fire arms,467,143,30.6,89.6,31.7,35.4
7,Explosives,60,26,43.3,11.2,8.4,75
8,Electronic Equipments,11459,3734,32.6,1263.5,258.4,20.5
9,Cultural property including antiques,2870,856,29.8,648.9,133.3,20.5
10,Other kinds of property stolen,343454,104163,30.3,74218.8,17263.6,23.3
11,Total,448011,144379,32.2,99669.5,28141.9,28.2
