SL. No.,State/UT,Estimated Mid year Population (In Lakhs),Rape - Incidence (I),Rape - Rate (R),Rape - Percentage Contribution to All-India (P),Kidnapping & Abduction - Incidence (I),Kidnapping & Abduction - Rate (R),Kidnapping & Abduction - Percentage Contribution to All-India (P),Dowry Deaths* - Incidence (I),Dowry Deaths* - Rate (R),Dowry Deaths* - Percentage Contribution to All-India (P),Torture (Cruelty by Husband & His Relatives)* - Incidence (I),Torture (Cruelty by Husband & His Relatives)* - Rate (R),Torture (Cruelty by Husband & His Relatives)* - Percentage Contribution to All-India (P),Molestation* - Incidence (I),Molestation* - Rate (R),Molestation* - Percentage Contribution to All-India (P),Sexual Harresment*- Incidence (I),Sexual Harresment* - Rate (R),Sexual Harresment* - Percentage Contribution to All-India (P),Importing of Girls* - Incidence (I),Importing of Girls* - Rate (R),Importing of Girls* - Percentage Contribution to All-India (P),Sati-Prevention Act* - Incidence (I),Sati-Prevention Act* - Rate (R),Sati-Prevention Act* - Percentage Contribution to All-India (P),Immoral Traffic (Prevention) Act - Incidence (I),Immoral Traffic (Prevention) Act - Rate (R),Immoral Traffic (Prevention) Act - Percentage Contribution to All-India (P),Indecent Representation of Women (Prohibition) Act* - Incidence (I),Indecent Representation of Women (Prohibition) Act* - Rate (R),Indecent Representation of Women (Prohibition) Act* - Percentage Contribution to All-India (P),Dowry Prohibition Act* - Incidence (I),Dowry Prohibition Act* - Rate (R),Dowry Prohibition Act* - Percentage Contribution to All-India (P),Total - Incidence (I),Total - Rate (R),Total - Percentage Contribution to All-India (P)
1,Andhra Pradesh,717.1,856,1.2,6.2,676,0.9,4.8,362,0.5,7.1,2829,3.9,9.1,2677,3.7,9.4,769,1.1,16.2,64,0.1,33.5,0,0,0,507,0.7,6,357,0.5,66.2,65,0.1,2.3,9162,12.8,8.4
2,Arunachal Pradesh,9.6,25,2.6,0.2,31,3.2,0.2,0,0,0,1,0.1,0,11,1.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,68,7.1,0.1
3,Assam,246.1,588,2.4,4.3,1119,4.5,8,44,0.2,0.9,485,2,1.6,572,2.3,2,15,0.1,0.3,2,0,1,0,0,0,6,0,0.1,0,0,0,86,0.3,3.1,2917,11.9,2.7
4,Bihar,949.1,1312,1.4,9.5,832,0.9,5.9,383,0.4,7.5,622,0.7,2,563,0.6,2,22,0,0.5,7,0,3.7,0,0,0,21,0,0.2,28,0,5.2,982,1,34.9,4772,5,4.4
5,Goa,12.7,19,1.54,0.1,14,1.1,1,2,0.2,0,13,1,0,27,2.1,0.1,6,0.5,0.1,0,0,0,0,0,0,62,4.9,0.7,0,0,0,0,0,0,143,11.3,0.1
6,Gujarat,446.1,309,0.7,2.2,974,2.2,6.9,61,0.1,1.2,1926,4.3,6.2,1042,2.3,3.7,45,0.1,0.9,21,0,11,1,0,100,5,0,0.1,8,0,1.5,1,0,0,4393,9.8,4
7,Haryana,180.7,311,1.7,2.3,297,1.6,2.1,218,1.2,4.3,426,2.4,1.4,483,2.7,1.7,296,1.6,6.2,10,0.1,5.2,0,0,0,1,0,0,0,0,0,0,0,0,2042,11.3,1.9
8,Himachal Pradesh,56.1,116,2.1,0.8,125,2.2,0.9,6,0.1,0.1,219,3.9,0.7,296,5.3,1,14,0.2,0.3,0,0,0,0,0,0,5,0.1,0.1,0,0,0,5,0.1,0.2,786,14,0.7
9,Jammu & Kashmir,85.1,109,1.3,0.8,287,3.4,2,5,0.1,0.1,35,0.4,0.1,235,2.8,0.8,140,1.6,2.9,1,0,0.5,0,0,0,0,0,0,0,0,0,3,0,0.1,815,9.6,0.7
10,Karnataka,480.5,263,0.5,1.9,301,0.6,2.1,202,0.4,4,1488,3.1,4.8,1356,2.8,4.8,192,0.4,4,6,0,3.1,0,0,0,1851,3.9,21.9,0,0,0,337,0.7,12,5996,12.5,5.5
11,Kerala,309.1,266,0.9,1.9,110,0.4,0.8,21,0.1,0.4,787,2.5,2.5,810,2.6,2.8,14,0,0.3,0,0,0,0,0,0,39,0.1,0.5,16,0.1,3,9,0,0.3,2072,6.7,1.9
12,Madhya Pradesh,721.4,3119,4.3,22.7,1028,1.4,7.3,417,0.6,8.2,2640,3.7,8.5,7355,10.2,25.8,765,1.1,16.1,17,0,8.9,0,0,0,16,0,0.2,1,0,0.2,78,0.1,2.8,15436,21.4,14.1
13,Maharashtra,859.1,1362,1.6,9.9,782,0.9,5.6,471,0.5,9.2,8760,10.2,28.1,3475,4,12.2,808,0.9,17,13,0,6.8,0,0,0,560,0.7,6.6,109,0.1,20.2,11,0,0.4,16351,19,15
14,Manipur,20.3,12,0.6,0.1,64,3.2,0.5,0,0,0,0,0,0,24,1.2,0.1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,101,5,0.1
