SL. No.,State/UT,Incidence of Total COG. Crimes,Percentage Contribution to All India Total,Estimated Mid-Year Population(In Lakhs),Rate of Total COG. Crimes,Rank of* Criminality (On Rate),Rank* on Percentage Contribution
1,Andhra Pradesh,1629,5.2,728.8,2.2,7,6
2,Arunachal Pradesh,0,0,9.9,0,32,32
3,Assam,0,0,251.1,0,32,32
4,Bihar,810,2.6,968.7,0.8,14,9
5,Goa,1,0,13,0.1,18,19
6,Gujarat,1764,5.6,453.8,3.9,4,5
7,Haryana,63,0.2,184.3,0.3,15,13
8,Himachal Pradesh,66,0.2,57.2,1.2,13,12
9,Jammu & Kashmir,17,0.1,86.9,0.2,16,14
10,Karnataka,1089,3.5,487.3,2.2,8,8
11,Kerala,640,2,313.2,2,9,10
12,Madhya Pradesh,4075,13,734.9,5.5,3,3
13,Maharashtra,1352,4.3,875.5,1.5,10,7
14,Manipur,0,0,20.8,0,32,32
15,Meghalaya,0,0,20.1,0,32,32
16,Mizoram,0,0,8.1,0,32,32
17,Nagaland,0,0,14.3,0,32,32
18,Orissa,486,1.5,348.7,1.4,12,11
19,Punjab,12,0,219.2,0.1,19,17
20,Rajasthan,6623,21.1,491.4,13.5,1,2
21,Sikkim,14,0,4.8,2.9,6,15
22,Tamil Nadu,1812,5.8,588.3,3.1,5,4
23,Tripura,0,0,31.2,0,32,32
24,Uttar Pradesh,10963,34.9,1526.2,7.2,2,1
25,West Bengal,0,0,744.3,0,32,32
Total (States),Total (States),31416,99.9,9182,3.4,NA,NA
26,A & N Islands,0,0,3.4,0,32,32
27,Chandigarh,0,0,8.1,0,32,32
28,D & N Haveli,0,0,1.6,0,32,32
29,Daman & Diu,0,0,1.1,0,32,32
30,Delhi,11,0,113.6,0.1,17,18
31,Lakshadweep,0,0,0.6,0,32,32
32,Pondicherry,13,0,9,1.4,11,16
Total (UTs),Total (UTs),24,0.1,137.4,0.2,NA,NA
Total (All-India),Total (All-India),31440,100,9319.4,3.4,NA,NA
