Category,SL. No.,State/UT/City,Gain - Murder,Gain - Culpable Homicide Not Amounting to Murder (C.H.),Property Dispute - Murder,Property Dispute - Culpable Homicide Not Amounting to Murder (C.H.),Personal Vendetta or Enmity - Murder,Personal Vendetta or Enmity - Culpable Homicide Not Amounting to Murder (C.H.),Love Affairs/ Sexual Causes - Murder,Love Affairs/ Sexual Causes - Culpable Homicide Not Amounting to Murder (C.H.),Dowry - Murder,Dowry - Culpable Homicide Not Amounting to Murder (C.H.),Lunacy - Murder,Lunacy - Culpable Homicide Not Amounting to Murder (C.H.),Communalism - Murder,Communalism - Culpable Homicide Not Amounting to Murder (C.H.),Casteism - Murder,Casteism - Culpable Homicide Not Amounting to Murder (C.H.),Class Conflict - Murder,Class Conflict - Culpable Homicide Not Amounting to Murder (C.H.),Other Motives - Murder,Other Motives - Culpable Homicide Not Amounting to Murder (C.H.),Total - Muder,Total - Culpable Homicide Not Amounting to Murder (C.H.)
State,1,Andhra Pradesh,108,2,260,9,324,5,403,0,106,2,6,0,2,0,2,0,2,0,1396,104,2609,122
State,2,Arunachal Pradesh,2,0,2,0,11,0,2,0,0,0,1,0,0,0,0,0,0,0,58,4,76,4
State,3,Assam,100,6,198,3,201,1,31,0,29,1,7,0,51,0,0,0,3,0,815,22,1435,33
State,4,Bihar,941,103,1258,134,794,55,270,26,268,46,9,1,23,0,105,0,58,1,1538,224,5264,590
State,5,Goa,2,0,2,0,9,1,3,0,0,0,1,0,0,0,0,0,0,0,13,8,30,9
State,6,Gujarat,65,1,153,0,133,0,129,0,47,0,18,0,1,0,1,0,0,0,791,10,1338,11
State,7,Haryana,11,0,102,8,97,8,35,2,17,1,4,0,21,0,8,0,12,8,299,56,606,83
State,8,Himachal Pradesh,6,0,18,0,19,0,16,1,0,0,0,0,0,0,0,0,0,0,64,6,123,7
State,9,Jammu & Kashmir,1,0,3,0,3,0,0,0,1,0,1,0,0,0,0,0,0,0,1035,15,1044,15
State,10,Karnataka,48,0,140,0,120,0,152,0,99,0,1,0,0,0,1,0,1,0,1042,55,1604,55
State,11,Kerala,32,1,18,0,186,2,9,0,2,0,4,0,2,0,2,0,6,0,156,91,417,94
State,12,Madhya Pradesh,132,1,388,2,573,1,234,1,51,71,71,19,6,0,3,0,33,0,1811,101,3302,196
State,13,Maharashtra,97,6,131,0,232,1,328,0,118,54,3,1,0,0,5,0,13,0,1850,57,2777,119
State,14,Manipur,7,0,0,0,23,0,1,0,0,0,0,0,2,0,0,0,10,0,151,4,194,4
State,15,Meghalaya,15,0,12,1,13,0,2,0,1,0,0,0,3,0,0,0,0,0,93,3,139,4
