SI.No.,State/UT,Total No of Cases for Investigation Including Pending Cases,No. of Cases - Compounded or Withdrawn,No. of Cases in which - Trials were Completed - Convicted,No. of Cases in which - Trials were Completed - Acquitted or Discharged,No. of Cases in which - Trials were Completed - Total [Col. 5+6],No. of Cases - Pending Trial,Pendency Percentage,Percentage of Pendency to All-India Total,Conviction Rate [(Col. 5/Col. 7)*100]
1,Andhra Pradesh,248157,11186,25986,51377,77363,159608,64.3,3.8,33.6
2,Arunachal Pradesh,9054,67,292,268,560,8427,93.1,0.2,52.1
3,Assam,82858,3384,3704,12825,16529,62945,76,1.5,22.4
4,Bihar,380146,11242,17289,43234,60523,308381,81.1,7.3,28.6
5,Goa,13833,370,347,1298,1645,11818,85.4,0.3,21.1
6,Gujarat,420412,7541,16378,29217,45595,367276,87.4,8.6,35.9
7,Haryana,100753,380,10497,13520,24017,76356,75.8,1.8,43.7
8,Himachal Pradesh,30067,1345,1142,2324,3466,25256,84,0.6,32.9
9,Jammu & Kashmir,51926,6137,1952,3050,5002,40787,78.5,1,39
10,Karnataka,288501,20727,12509,53165,65674,202100,70.1,4.8,19
11,Kerala,220072,12475,14211,37027,51238,156359,71,3.7,27.7
12,Madhya Pradesh,764078,37146,46376,44650,91026,635906,83.2,15,50.9
13,Maharashtra,863980,32184,16254,70352,86606,745190,86.3,17.5,18.8
14,Manipur,3632,1,2,11,13,3618,99.6,0.1,15.4
15,Meghalaya,6342,148,371,213,584,5610,88.5,0.1,63.5
16,Mizoram,3653,7,352,58,410,3236,88.6,0.1,85.9
17,Nagaland,3566,55,247,72,319,3192,89.5,0.1,77.4
18,Orissa,205458,264,3880,22945,26825,178369,86.8,4.2,14.5
19,Punjab,32090,560,3240,4120,7360,24170,75.3,0.6,44
20,Rajasthan,485524,37090,32069,33479,65548,382886,78.9,9,48.9
21,Sikkim,1185,63,578,217,795,327,27.6,0,72.7
22,Tamil Nadu,252683,4725,59009,33704,92713,155245,61.4,3.7,63.6
23,Tripura,6230,216,330,1469,1799,4215,67.7,0.1,18.3
24,Uttar Pradesh,452746,13287,40124,38947,79071,360388,79.6,8.5,50.7
25,West Bengal,213170,339,2240,12455,14695,198136,92.9,4.7,15.2
Total States,Total States,5140116,200939,309379,509997,819376,4119801,80.1,96.9,37.8
26,A & N Islands,2364,2,60,168,228,2134,90.3,0.1,26.3
27,Chandigarh,4100,0,592,521,1113,3987,72.9,0.1,53.2
28,D & N Haveli,985,0,55,159,214,771,78.3,0,25.7
29,Daman & DIU,263,0,5,30,35,228,86.7,0,14.3
30,Delhi,145384,0,6484,13492,19976,125408,86.3,2.9,32.5
31,Lakshadweep,34,0,3,3,6,28,82.4,0,50
32,Pondicherry,4416,215,2387,253,2640,1561,35.3,0,90.4
Total (UTs),Total (UTs),157546,217,9586,14626,24212,133117,84.5,3.1,39.6
Total (All -India),Total (All -India),5297662,201156,318965,524623,843588,4252918,80.3,100,37.8
