Sr. No. (Col.1),Crime Head (Col. 2),Total No. Persons Under Arrest Including those from Previous Year,Persons Released before Trial - No.,Persons Released before Trial - Percentage to Total,Persons Charge Sheeted - No.,Persons Charge Sheeted - Percentage to Total,Persons Under Investigation at the end of the Year - No.,Persons under Investigation at the end of the Year - Percentage to Total
1,Infanticide (Sec.315 IPC),64,8,12.5,37,57.8,19,29.7
2,Murder (Sec.302 IPC),2485,109,4.4,1777,71.5,599,24.1
3,Rape (Sec. 376 IPC),7908,216,2.7,6026,76.2,1666,21.1
4,"Kidnapping & Abduction (Sec.363-369,371-373 IPC)",10517,859,8.2,6975,66.3,2683,25.5
5,"Foeticide (Sec. 315, 316 IPC)",86,12,14,49,57,25,29.1
6,Abetment to Suicide ( Sec.305 IPC),73,0,0,60,82.2,13,17.8
7,Exposure and Abandonment ( Sec. 317 IPC),180,14,7.8,114,63.3,52,28.9
8,Procuration Minor Girls ( Sec. 366A IPC),490,45,9.2,225,45.9,220,44.9
9,Buying of Girls for Prost. ( Sec.373 IPC),60,1,1.7,50,83.3,9,15
10,Selling of Girls for Prost.( Sec.372 IPC),131,2,1.5,43,32.8,86,65.6
11,"Child Marriage Restraint Act, 1978",51,2,3.9,23,45.1,26,51
12,Other Crimes,10461,349,3.3,8568,81.9,1544,14.8
13,Total,32506,1617,5,23947,73.7,6942,21.4
