Sr. No.,Category,States/ UTs,DG/ Addl.DG / IG / DIG - Sanctioned,DG/ Addl.DG / IG / DIG - Actual,SSP/SP/Addl.SP/ASP/ Dy.SP - Sanctioned,SSP/SP/Addl.SP/ASP/ Dy.SP - Actual,"Inspector, SI & A.S.I. - Sanctioned","Inspector, SI & A.S.I. - Actual",Personnel Below A.S.I. Rank - Sanctioned,Personnel Below A.S.I. Rank - Actual,Grand Total - Sanctioned,Grand Total - Actual
1,State,Andhra Pradesh,74,62,836,744,13364,7677,96966,84517,111240,93000
2,State,Arunachal Pradesh,6,5,71,54,570,512,2857,2852,3504,3423
3,State,Assam,41,39,295,269,5008,4876,24696,22716,30040,27900
4,State,Bihar,50,50,464,417,14599,9209,52653,37297,67766,46973
5,State,Chhattisgarh,38,25,339,225,3023,2509,22316,21842,25716,24601
6,State,Goa,3,3,35,38,405,373,3720,3649,4163,4063
7,State,Gujarat,73,56,303,245,10893,9139,50958,38745,62227,48185
8,State,Haryana,44,36,264,176,6598,4741,42249,30825,49155,35778
9,State,Himachal Pradesh,16,39,90,137,1690,1649,8892,7956,10688,9781
10,State,Jammu & Kashmir,43,36,683,597,7001,5850,64514,56668,72241,63151
11,State,Jharkhand,29,36,311,326,5075,4157,34378,25669,39793,30188
12,State,Karnataka,86,80,561,481,7885,6765,66852,58301,75384,65627
13,State,Kerala,22,21,339,328,3816,3672,35225,32877,39402,36898
14,State,Madhya Pradesh,50,50,730,730,7075,7075,47648,47648,55503,55503
15,State,Maharashtra,113,104,593,790,30632,24252,155642,141465,186980,166611
16,State,Manipur,22,12,126,79,2410,1445,12406,7005,14964,8541
17,State,Meghalaya,20,15,56,54,975,922,5419,4894,6470,5885
18,State,Mizoram,10,6,84,44,1124,748,3264,2770,4482,3568
19,State,Nagaland,22,22,78,72,519,456,5394,5087,6013,5637
20,State,Orissa,37,28,536,461,8018,6485,24380,22111,32971,29085
21,State,Punjab,45,44,402,329,6130,5561,45628,43097,52205,49031
22,State,Rajasthan,36,41,524,497,9601,7489,55086,51653,65247,59680
23,State,Sikkim,8,18,84,60,360,340,1729,1567,2181,1985
24,State,Tamil Nadu,76,64,897,800,10376,9007,77794,65373,89143,75244
25,State,Tripura,20,15,201,154,1462,1197,9803,8282,11486,9648
26,State,Uttar Pradesh,126,126,1159,937,18639,8485,303346,104885,323270,114433
27,State,Uttarakhand,16,14,128,101,979,733,12909,10605,14032,11453
28,State,West Bengal,97,88,464,398,21307,15482,50828,45748,72696,61716
State,State,Total (States),1223,1135,10653,9543,199534,150806,1317552,986104,1528962,1147588
29,Union Territory,A & N Islands,3,3,16,14,507,430,2598,2480,3124,2927
30,Union Territory,Chandigarh,1,2,18,17,626,480,5148,3622,5793,4121
31,Union Territory,D & N Haveli,0,0,3,3,16,14,218,205,237,222
32,Union Territory,Daman & Diu,1,1,4,3,22,15,218,201,245,220
33,Union Territory,Delhi,27,34,368,311,12719,11159,58912,46718,72026,58222
34,Union Territory,Lakshadweep,0,0,2,2,85,18,469,234,556,254
35,Union Territory,Puducherry,2,2,20,20,293,206,1477,1268,1792,1496
Union Territory,Union Territory,Total (UTs),34,42,431,370,14268,12322,69040,54728,83773,67462
Total (All-India),Total (All-India),Total (All-India),1257,1177,11084,9913,213802,163128,1386592,1040832,1612735,1215050
