Sr. No.,Category,States/ UTs,Estimated Mid-Year Population (In Lakhs)#,Rape (Sec. 376 IPC) - (I),Rape (Sec. 376 IPC) - (R),Rape (Sec. 376 IPC) - (P),"Kidnapping & Abduction (Sec. 363-369, 371-373 IPC) - (I)","Kidnapping & Abduction (Sec. 363-369, 371-373 IPC) - (R)","Kidnapping & Abduction (Sec. 363-369, 371-373 IPC) - (P)",Dowry Deaths (Sec.304B IPC) - (I),Dowry Deaths (Sec.304B IPC) - ( R),Dowry Deaths (Sec.304B IPC) - (P),Cruelty by Husband and Relatives (Sec.498A IPC) - (I),Cruelty by Husband and Relatives (Sec.498A IPC) - (R),Cruelty by Husband and Relatives (Sec.498A IPC) - (P),Molestation (Sec.354 IPC) - (I),Molestation (Sec.354 IPC) - (R),Molestation (Sec.354 IPC) - (P),Sexual Harassment(Eve-Teasing)(Sec.509 IPC) - (I),Sexual Harassment(Eve-Teasing)(Sec.509 IPC) - (R),Sexual Harassment(Eve-Teasing)(Sec.509 IPC) - (P),Importation of Girls (Sec.366B IPC) - (I),Importation of Girls (Sec.366B IPC) - (R),Importation of Girls (Sec.366B IPC) - (P),"Sati Prevention Act, 1987 - (I)","Sati Prevention Act, 1987 - (R)","Sati Prevention Act, 1987 - (P)","Immoral Traffic - (P) Act, 1956 - (I)","Immoral Traffic - (P) Act, 1956 - (R)","Immoral Traffic - (P) Act, 1956 - (P)","Indecent Representation of Women - (P) Act, 1986 - (I)","Indecent Representation of Women - (P) Act, 1986 - (R)","Indecent Representation of Women - (P) Act, 1986 - (P)","Dowry Prohibition Act, 1961 - (I)","Dowry Prohibition Act, 1961 - ( R)","Dowry Prohibition Act, 1961 - (P)",Total - (I),Total - (R),Total - (P)
1,State,Andhra Pradesh,832.99,1188,1.4,5.6,1526,1.8,5.9,546,0.7,6.5,11297,13.6,12.6,5147,6.2,13.3,3520,4.2,32,0,0,0,0,0,0,279,0.3,11.3,704,0.8,83.3,1362,1.6,24.1,25569,30.7,12.5
2,State,Arunachal Pradesh,12.2,59,4.8,0.3,28,2.3,0.1,0,0,0,13,1.1,0,58,4.8,0.1,6,0.5,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,164,13.4,0.1
3,State,Assam,305.28,1631,5.3,7.6,2092,6.9,8.1,170,0.6,2,4398,14.4,4.9,1342,4.4,3.5,10,0,0.1,1,0,2.1,0,0,0,37,0.1,1.5,0,0,0,40,0.1,0.7,9721,31.8,4.8
4,State,Bihar,957.5,929,1,4.3,1986,2.1,7.7,1295,1.4,15.4,2532,2.6,2.8,726,0.8,1.9,12,0,0.1,31,0,64.6,0,0,0,40,0,1.6,0,0,0,1252,1.3,22.2,8803,9.2,4.3
5,State,Chhattisgarh,241.6,976,4,4.6,229,0.9,0.9,128,0.5,1.5,893,3.7,1,1598,6.6,4.1,152,0.6,1.4,0,0,0,0,0,0,9,0,0.4,1,0,0.1,16,0.1,0.3,4002,16.6,2
6,State,Goa,16.91,47,2.8,0.2,22,1.3,0.1,3,0.2,0,21,1.2,0,37,2.2,0.1,10,0.6,0.1,0,0,0,0,0,0,23,1.4,0.9,1,0.1,0.1,0,0,0,164,9.7,0.1
7,State,Gujarat,574.37,433,0.8,2,1162,2,4.5,24,0,0.3,5506,9.6,6.1,727,1.3,1.9,114,0.2,1,0,0,0,0,0,0,41,0.1,1.7,0,0,0,2,0,0,8009,13.9,3.9
8,State,Haryana,242.43,603,2.5,2.8,659,2.7,2.6,281,1.2,3.4,2617,10.8,2.9,451,1.9,1.2,605,2.5,5.5,0,0,0,0,0,0,90,0.4,3.6,0,0,0,6,0,0.1,5312,21.9,2.6
9,State,Himachal Pradesh,66.29,183,2.8,0.9,122,1.8,0.5,1,0,0,284,4.3,0.3,318,4.8,0.8,37,0.6,0.3,0,0,0,0,0,0,5,0.1,0.2,0,0,0,4,0.1,0.1,954,14.4,0.5
10,State,Jammu & Kashmir,129.09,237,1.8,1.1,825,6.4,3.2,12,0.1,0.1,196,1.5,0.2,972,7.5,2.5,371,2.9,3.4,0,0,0,0,0,0,6,0,0.2,2,0,0.2,3,0,0.1,2624,20.3,1.3
11,State,Jharkhand,305.44,719,2.4,3.4,517,1.7,2,295,1,3.5,710,2.3,0.8,276,0.9,0.7,83,0.3,0.8,6,0,12.5,0,0,0,1,0,0,0,0,0,414,1.4,7.3,3021,9.9,1.5
12,State,Karnataka,582.04,509,0.9,2.4,408,0.7,1.6,264,0.5,3.1,3185,5.5,3.6,2186,3.8,5.6,64,0.1,0.6,2,0,4.2,0,0,0,329,0.6,13.3,1,0,0.1,904,1.6,16,7852,13.5,3.9
13,State,Kerala,346.62,568,1.6,2.7,173,0.5,0.7,20,0.1,0.2,4007,11.6,4.5,2540,7.3,6.6,395,1.1,3.6,0,0,0,0,0,0,314,0.9,12.7,24,0.1,2.8,8,0,0.1,8049,23.2,3.9
14,State,Madhya Pradesh,708.98,2998,4.2,14,841,1.2,3.3,858,1.2,10.2,3983,5.6,4.4,6307,8.9,16.3,728,1,6.6,1,0,2.1,0,0,0,19,0,0.8,1,0,0.1,91,0.1,1.6,15827,22.3,7.8
15,State,Maharashtra,1087.01,1483,1.4,6.9,926,0.9,3.6,341,0.3,4.1,7681,7.1,8.6,3196,2.9,8.3,1099,1,10,0,0,0,0,0,0,271,0.2,11,1,0,0.1,50,0,0.9,15048,13.8,7.4
16,State,Manipur,26.71,31,1.2,0.1,97,3.6,0.4,0,0,0,25,0.9,0,39,1.5,0.1,2,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,194,7.3,0.1
17,State,Meghalaya,25.77,112,4.3,0.5,26,1,0.1,0,0,0,24,0.9,0,72,2.8,0.2,1,0,0,1,0,2.1,0,0,0,1,0,0,0,0,0,0,0,0,237,9.2,0.1
18,State,Mizoram,9.96,83,8.3,0.4,0,0,0,0,0,0,4,0.4,0,61,6.1,0.2,1,0.1,0,0,0,0,0,0,0,1,0.1,0,0,0,0,0,0,0,150,15.1,0.1
19,State,Nagaland,22.23,22,1,0.1,10,0.4,0,0,0,0,0,0,0,11,0.5,0,0,0,0,0,0,0,0,0,0,3,0.1,0.1,0,0,0,0,0,0,46,2.1,0
20,State,Odisha,404.33,1023,2.5,4.8,799,2,3.1,384,0.9,4.6,2047,5.1,2.3,2697,6.7,7,210,0.5,1.9,1,0,2.1,0,0,0,14,0,0.6,0,0,0,945,2.3,16.7,8120,20.1,4
21,State,Punjab,269.81,511,1.9,2.4,513,1.9,2,126,0.5,1.5,1061,3.9,1.2,319,1.2,0.8,33,0.1,0.3,0,0,0,0,0,0,59,0.2,2.4,0,0,0,9,0,0.2,2631,9.8,1.3
22,State,Rajasthan,660.56,1519,2.3,7.1,2310,3.5,9,436,0.7,5.2,10371,15.7,11.6,2485,3.8,6.4,24,0,0.2,0,0,0,0,0,0,62,0.1,2.5,106,0.2,12.5,3,0,0.1,17316,26.2,8.5
23,State,Sikkim,6.04,18,3,0.1,6,1,0,0,0,0,6,1,0,10,1.7,0,0,0,0,0,0,0,0,0,0,1,0.2,0,0,0,0,0,0,0,41,6.8,0
24,State,Tamil Nadu,671.06,596,0.9,2.8,1133,1.7,4.4,194,0.3,2.3,1460,2.2,1.6,1242,1.9,3.2,501,0.7,4.6,0,0,0,0,0,0,716,1.1,28.9,2,0,0.2,207,0.3,3.7,6051,9,3
25,State,Tripura,35.67,190,5.3,0.9,92,2.6,0.4,29,0.8,0.3,815,22.8,0.9,384,10.8,1,5,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0.1,0,1517,42.5,0.7
26,State,Uttar Pradesh,1955.22,1759,0.9,8.2,5078,2.6,19.7,2232,1.1,26.6,8566,4.4,9.6,2782,1.4,7.2,2524,1.3,22.9,0,0,0,0,0,0,39,0,1.6,0,0,0,274,0.1,4.8,23254,11.9,11.4
27,State,Uttarakhand,96.81,111,1.1,0.5,247,2.6,1,94,1,1.1,361,3.7,0.4,119,1.2,0.3,249,2.6,2.3,0,0,0,0,0,0,6,0.1,0.2,0,0,0,1,0,0,1188,12.3,0.6
28,State,West Bengal,892.13,2336,2.6,10.9,2187,2.5,8.5,506,0.6,6,16112,18.1,18,1942,2.2,5,108,0.1,1,5,0,10.4,0,0,0,63,0.1,2.5,2,0,0.2,46,0.1,0.8,23307,26.1,11.4
State,State,Total (States),11485.05,20874,1.8,97.6,24014,1.9,93.4,8239,0.7,97.9,88175,7,98.5,38044,3.3,98.3,10864,0.9,98.7,48,0,100,0,0,0,2429,0.2,98.2,845,0.1,100,5639,0.5,99.8,199171,17.3,97.7
29,Union Territory,Andaman & Nicobar Islands,4.23,18,4.3,0.1,14,3.3,0.1,1,0.2,0,21,5,0,30,7.1,0.1,7,1.7,0.1,0,0,0,0,0,0,1,0.2,0,0,0,0,0,0,0,92,21.7,0
30,Union Territory,Chandigarh,10.97,29,2.6,0.1,36,3.3,0.1,2,0.2,0,51,4.6,0.1,26,2.4,0.1,2,0.2,0,0,0,0,0,0,0,4,0.4,0.2,0,0,0,0,0,0,150,13.7,0.1
31,Union Territory,Dadra Nagar Haveli,2.75,4,1.5,0,9,3.3,0,0,0,0,3,1.1,0,2,0.7,0,1,0.4,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.4,0,20,7.3,0
32,Union Territory,Daman & Diu,1.94,1,0.5,0,0,0,0,0,0,0,3,1.5,0,4,2.1,0,1,0.5,0,0,0,0,0,0,0,4,2.1,0.2,0,0,0,0,0,0,13,6.7,0
33,Union Territory,Delhi,177.82,469,2.6,2.2,1655,9.3,6.4,141,0.8,1.7,1283,7.2,1.4,552,3.1,1.4,118,0.7,1.1,0,0,0,0,0,0,27,0.2,1.1,0,0,0,6,0,0.1,4251,23.9,2.1
34,Union Territory,Lakshadweep,0.71,1,1.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1.4,0
35,Union Territory,Pondicherry,10.97,1,0.1,0,13,1.2,0.1,0,0,0,10,0.9,0,53,4.8,0.1,16,1.5,0.1,0,0,0,0,0,0,9,0.8,0.4,0,0,0,4,0.4,0.1,106,9.7,0.1
Union Territory,Union Territory,Total (UTs),209.39,523,2.5,2.4,1727,8.2,6.7,144,0.7,1.7,1371,6.5,1.5,667,3.2,1.7,145,0.7,1.3,0,0,0,0,0,0,45,0.2,1.8,0,0.2,0,11,0.1,0.2,4633,22.1,2.3
Total (All-India),Total (All-India),Total (All-India),11694.44,21397,1.8,100,25741,2.2,100,8383,0.7,100,89546,7.7,100,38711,3.3,100,11009,0.9,100,48,0,100,0,0,0,2474,0.2,100,845,0.1,100,5650,0.5,100,203804,17.4,100
36,City,Agra,13.21,16,1.2,0.9,127,9.6,3.6,37,2.8,5.4,294,22.3,2.6,48,3.6,1.4,68,5.1,4.1,0,0,0,0,0,0,7,0.5,0.9,0,0,0,0,0,0,597,45.2,2.5
37,City,Ahmedabad,45.19,63,1.4,3.7,132,2.9,3.7,5,0.1,0.7,1169,25.9,10.2,74,1.6,2.1,18,0.4,1.1,0,0,0,0,0,0,13,0.3,1.7,0,0,0,0,0,0,1474,32.6,6.1
38,City,Allahabad,10.5,6,0.6,0.4,41,3.9,1.2,10,1,1.5,142,13.5,1.2,12,1.1,0.3,30,2.9,1.8,0,0,0,0,0,0,4,0.4,0.5,0,0,0,2,0.2,0.3,247,23.5,1
39,City,Amritsar,10.11,15,1.5,0.9,37,3.7,1,7,0.7,1,85,8.4,0.7,15,1.5,0.4,6,0.6,0.4,0,0,0,0,0,0,5,0.5,0.6,0,0,0,0,0,0,170,16.8,0.7
40,City,Asansol,10.91,13,1.2,0.8,17,1.6,0.5,17,1.6,2.5,211,19.3,1.8,14,1.3,0.4,0,0,0,0,0,0,0,0,0,1,0.1,0.1,0,0,0,5,0.5,0.7,278,25.5,1.2
41,City,Bengaluru,56.87,65,1.1,3.8,2,0,0.1,50,0.9,7.3,367,6.5,3.2,251,4.4,7.2,35,0.6,2.1,0,0,0,0,0,0,134,2.4,17.3,0,0,0,567,10,83.3,1471,25.9,6.1
42,City,Bhopal,14.55,117,8,6.9,52,3.6,1.5,42,2.9,6.1,201,13.8,1.8,187,12.9,5.4,20,1.4,1.2,0,0,0,0,0,0,2,0.1,0.3,0,0,0,0,0,0,621,42.7,2.6
43,City,Chennai,64.25,39,0.6,2.3,37,0.6,1,19,0.3,2.8,154,2.4,1.3,42,0.7,1.2,10,0.2,0.6,0,0,0,0,0,0,123,1.9,15.9,0,0,0,13,0.2,1.9,437,6.8,1.8
44,City,Coimbatore,14.46,9,0.6,0.5,9,0.6,0.3,4,0.3,0.6,48,3.3,0.4,21,1.5,0.6,3,0.2,0.2,0,0,0,0,0,0,13,0.9,1.7,0,0,0,0,0,0,107,7.4,0.4
45,City,Delhi (city),127.91,404,3.2,23.8,1379,10.8,38.9,104,0.8,15.2,1177,9.2,10.3,491,3.8,14.1,113,0.9,6.8,0,0,0,0,0,0,27,0.2,3.5,0,0,0,6,0,0.9,3701,28.9,15.4
46,City,Dhanbad,10.64,5,0.5,0.3,23,2.2,0.6,10,0.9,1.5,11,1,0.1,5,0.5,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,1.3,2.1,68,6.4,0.3
47,City,Faridabad,10.55,35,3.3,2.1,62,5.9,1.7,17,1.6,2.5,179,17,1.6,26,2.5,0.7,4,0.4,0.2,0,0,0,0,0,0,3,0.3,0.4,0,0,0,2,0.2,0.3,328,31.1,1.4
48,City,Hyderabad,55.34,47,0.8,2.8,55,1,1.6,36,0.7,5.3,1363,24.6,11.9,295,5.3,8.5,63,1.1,3.8,0,0,0,0,0,0,37,0.7,4.8,0,0,0,0,0,0,1896,34.3,7.9
49,City,Indore,16.39,44,2.7,2.6,22,1.3,0.6,31,1.9,4.5,363,22.1,3.2,256,15.6,7.4,50,3.1,3,0,0,0,0,0,0,5,0.3,0.6,0,0,0,3,0.2,0.4,774,47.2,3.2
50,City,Jabalpur,11.17,76,6.8,4.5,16,1.4,0.5,9,0.8,1.3,48,4.3,0.4,84,7.5,2.4,19,1.7,1.1,0,0,0,0,0,0,0,0,0,0,0,0,19,1.7,2.8,271,24.3,1.1
51,City,Jaipur,23.24,69,3,4.1,189,8.1,5.3,20,0.9,2.9,573,24.7,5,102,4.4,2.9,0,0,0,0,0,0,0,0,0,15,0.6,1.9,44,1.9,100,1,0,0.1,1013,43.6,4.2
52,City,Jamshedpur,11.02,34,3.1,2,30,2.7,0.8,8,0.7,1.2,60,5.4,0.5,22,2,0.6,3,0.3,0.2,0,0,0,0,0,0,0,0,0,0,0,0,19,1.7,2.8,176,16,0.7
53,City,Kanpur,26.9,40,1.5,2.4,227,8.4,6.4,73,2.7,10.7,551,20.5,4.8,109,4.1,3.1,210,7.8,12.7,0,0,0,0,0,0,4,0.1,0.5,0,0,0,3,0.1,0.4,1217,45.2,5.1
54,City,Kochi,13.55,20,1.5,1.2,5,0.4,0.1,1,0.1,0.1,95,7,0.8,49,3.6,1.4,14,1,0.8,0,0,0,0,0,0,66,4.9,8.5,0,0,0,0,0,0,250,18.5,1
55,City,Kolkata,132.17,42,0.3,2.5,107,0.8,3,10,0.1,1.5,411,3.1,3.6,201,1.5,5.8,90,0.7,5.4,4,0,100,0,0,0,27,0.2,3.5,0,0,0,0,0,0,892,6.7,3.7
56,City,Lucknow,22.67,30,1.3,1.8,239,10.5,6.7,29,1.3,4.2,572,25.2,5,147,6.5,4.2,240,10.6,14.5,0,0,0,0,0,0,1,0,0.1,0,0,0,0,0,0,1258,55.5,5.2
57,City,Ludhiana,13.95,38,2.7,2.2,65,4.7,1.8,9,0.6,1.3,89,6.4,0.8,31,2.2,0.9,9,0.6,0.5,0,0,0,0,0,0,11,0.8,1.4,0,0,0,0,0,0,252,18.1,1.1
58,City,Madurai,11.95,3,0.3,0.2,10,0.8,0.3,4,0.3,0.6,67,5.6,0.6,7,0.6,0.2,19,1.6,1.1,0,0,0,0,0,0,31,2.6,4,0,0,0,0,0,0,141,11.8,0.6
59,City,Meerut,11.67,15,1.3,0.9,79,6.8,2.2,19,1.6,2.8,205,17.6,1.8,25,2.1,0.7,80,6.9,4.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,423,36.2,1.8
60,City,Mumbai,163.68,182,1.1,10.7,86,0.5,2.4,15,0.1,2.2,434,2.7,3.8,400,2.4,11.5,101,0.6,6.1,0,0,0,0,0,0,113,0.7,14.6,0,0,0,1,0,0.1,1332,8.1,5.6
61,City,Nagpur,21.23,45,2.1,2.7,52,2.4,1.5,7,0.3,1,232,10.9,2,60,2.8,1.7,39,1.8,2.4,0,0,0,0,0,0,20,0.9,2.6,0,0,0,7,0.3,1,462,21.8,1.9
62,City,Nasik,11.52,24,2.1,1.4,16,1.4,0.5,5,0.4,0.7,131,11.4,1.1,49,4.3,1.4,20,1.7,1.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,245,21.3,1
63,City,Patna,17.07,24,1.4,1.4,102,6,2.9,27,1.6,3.9,205,12,1.8,8,0.5,0.2,0,0,0,0,0,0,0,0,0,6,0.4,0.8,0,0,0,18,1.1,2.6,390,22.8,1.6
64,City,Pune,37.56,67,1.8,4,84,2.2,2.4,7,0.2,1,235,6.3,2.1,100,2.7,2.9,72,1.9,4.3,0,0,0,0,0,0,35,0.9,4.5,0,0,0,0,0,0,600,16,2.5
65,City,Rajkot,10.02,8,0.8,0.5,38,3.8,1.1,1,0.1,0.1,271,27,2.4,19,1.9,0.5,8,0.8,0.5,0,0,0,0,0,0,5,0.5,0.6,0,0,0,0,0,0,350,34.9,1.5
66,City,Surat,28.11,28,1,1.7,74,2.6,2.1,9,0.3,1.3,351,12.5,3.1,34,1.2,1,2,0.1,0.1,0,0,0,0,0,0,4,0.1,0.5,0,0,0,1,0,0.1,503,17.9,2.1
67,City,Vadodara,14.92,6,0.4,0.4,28,1.9,0.8,0,0,0,178,11.9,1.6,17,1.1,0.5,0,0,0,0,0,0,0,0,0,8,0.5,1,0,0,0,0,0,0,237,15.9,1
68,City,Varanasi,12.12,5,0.4,0.3,23,1.9,0.6,12,1,1.8,36,3,0.3,4,0.3,0.1,59,4.9,3.6,0,0,0,0,0,0,1,0.1,0.1,0,0,0,0,0,0,140,11.6,0.6
