Si. No.,Category,States/ UTs/Cities,Murder (Sec.302 IPC) - (I),Murder (Sec.302 IPC) - (R),Attempt to Commit Murder (Sec. 307 IPC) - (I),Attempt to Commit Murder (Sec. 307 IPC) - ( R),"C.H. Not Amounting to Murder (Sec. 304, 308 IPC) - (I)","C.H. Not Amounting to Murder (Sec. 304, 308 IPC) - (R)",Rape (Sec. 376 IPC) - Total - (I),Rape (Sec. 376 IPC) - Total - ( R),Rape (Sec. 376 IPC) - Custodial - (I),Rape (Sec. 376 IPC) - Custodial - (R),Rape (Sec. 376 IPC) - Others - (I),Rape (Sec. 376 IPC) - Others - ( R),"Kidnapping & Abduction (Sec. 363-369, 371-373 IPC) - Total - (I)","Kidnapping & Abduction (Sec. 363-369, 371-373 IPC) - Total - ( R)","Kidnapping & Abduction (Sec. 363-369, 371-373 IPC) - of Women & Girls - (I)","Kidnapping & Abduction (Sec. 363-369, 371-373 IPC) - of Women & Girls - (R)","Kidnapping & Abduction (Sec. 363-369, 371-373 IPC) - of Others - (I)","Kidnapping & Abduction (Sec. 363-369, 371-373 IPC) - of Others - ( R)",Dacoity (Sec. 395-398 IPC) - (I),Dacoity (Sec. 395-398 IPC) - (R),Preparation & Assembly for Dacoity (Sec. 399-402 IPC) - (I),Preparation & Assembly for Dacoity (Sec. 399-402 IPC) - (R),"Robbery (Sec. 392-394,397,398 IPC) - (I)","Robbery (Sec. 392-394,397,398 IPC) - (R)","Burglary (Sec. 449-452,454,455, 457-460 IPC) - (I)","Burglary (Sec. 449-452,454,455, 457-460 IPC) - (R)",Theft (Sec.379-382 IPC) - Total - (I),Theft (Sec.379-382 IPC) - Total - ( R),Theft (Sec.379-382 IPC) - Auto Theft - (I),Theft (Sec.379-382 IPC) - Auto Theft - (R),Theft (Sec.379-382 IPC) - Other Theft - (I),Theft (Sec.379-382 IPC) - Other Theft - (R),"Riots (Sec. 143-145,147-151,153,153A,153B,157,158,160 IPC) - (I)","Riots (Sec.143-145,147- 151,153,153A,153B,157,158,160 IPC) - (R)",Criminal Breach of Trust (Sec. 406-409 IPC) - (I),Criminal Breach of Trust (Sec. 406-409 IPC) - (R),"Cheating (Sec. 419,420 IPC) - (I)","Cheating (Sec. 419,420 IPC) - (R)","Counterfeiting (Sec. 231-254,489A, 489D IPC) - (I)","Counterfeiting (Sec. 231-254,489A, 489D IPC) - (R)","Arson (Sec. 435,436,438 IPC) - (I)","Arson (Sec. 435,436,438 IPC) - (R)","Hurt (Sec.323-333,335-338 IPC) - (I)","Hurt (Sec.323-333,335-338 IPC) - (R)",Dowry Deaths (Sec.304B IPC) - (I),Dowry Deaths (Sec.304B IPC) - (R),Molestation (Sec.354 IPC) - (I),Molestation (Sec.354 IPC) - (R),Sexual Harassment (Sec.509 IPC) - (I),Sexual Harassment (Sec.509 IPC) - (R),Cruelty by Husband and Relatives (Sec. 498A IPC) - (I),Cruelty by Husband and Relatives (Sec. 498A IPC) - (R),Importation of Girls (Sec. 366B IPC) - (I),Importation of Girls (Sec. 366B IPC) - (R),Causing Death by Negligence (Sec. 304A IPC) - (I),Causing Death by Negligence (Sec. 304A IPC) - (R),Other IPC Crimes - (I),Other IPC Crimes - (R),Total Cognizable Crimes Under IPC - (I),Total Cognizable Crimes Under IPC - (R)
1,State,Andhra Pradesh,2449,2.9,1859,2.2,134,0.2,1188,1.4,0,0,1188,1.4,1958,2.4,1526,1.8,432,0.5,102,0.1,27,0,544,0.7,7772,9.3,24692,29.6,7804,9.4,16888,20.3,2261,2.7,904,1.1,8528,10.2,461,0.6,1039,1.2,44488,53.4,546,0.7,5147,6.2,3520,4.2,11297,13.6,0,0,13438,16.1,48087,57.7,180441,216.6
2,State,Arunachal Pradesh,59,4.8,33,2.7,5,0.4,59,4.8,0,0,59,4.8,62,5.1,28,2.3,34,2.8,20,1.6,0,0,55,4.5,201,16.5,381,31.2,109,8.9,272,22.3,52,4.3,38,3.1,29,2.4,8,0.7,28,2.3,526,43.1,0,0,58,4.8,6,0.5,13,1.1,0,0,110,9,619,50.7,2362,193.6
3,State,Assam,1323,4.3,417,1.4,35,0.1,1631,5.3,0,0,1631,5.3,2718,8.9,2092,6.9,626,2.1,251,0.8,21,0.1,680,2.2,3149,10.3,7644,25,1713,5.6,5931,19.4,1808,5.9,802,2.6,1098,3.6,84,0.3,476,1.6,6547,21.4,170,0.6,1342,4.4,10,0,4398,14.4,1,0,2735,9,17973,58.9,55313,181.2
4,State,Bihar,3152,3.3,3068,3.2,243,0.3,929,1,0,0,929,1,3222,3.4,1986,2.1,1236,1.3,654,0.7,64,0.1,1619,1.7,3566,3.7,15221,15.9,3674,3.8,11547,12.1,8554,8.9,1186,1.2,2676,2.8,69,0.1,685,0.7,14746,15.4,1295,1.4,726,0.8,12,0,2532,2.6,31,0,4516,4.7,54165,56.6,122931,128.4
5,State,Chhattisgarh,1083,4.5,732,3,19,0.1,976,4,0,0,976,4,286,1.2,229,0.9,57,0.2,134,0.6,16,0.1,554,2.3,3975,16.5,5792,24,2181,9,3611,14.9,957,4,166,0.7,682,2.8,68,0.3,335,1.4,9543,39.5,128,0.5,1598,6.6,152,0.6,893,3.7,0,0,2735,11.3,20546,85,51370,212.6
6,State,Goa,53,3.1,24,1.4,11,0.7,47,2.8,0,0,47,2.8,33,2,22,1.3,11,0.7,4,0.2,0,0,30,1.8,294,17.4,858,50.7,336,19.9,522,30.9,50,3,52,3.1,132,7.8,27,1.6,24,1.4,191,11.3,3,0.2,37,2.2,10,0.6,21,1.2,0,0,220,13,884,52.3,3005,177.7
7,State,Gujarat,1020,1.8,468,0.8,30,0.1,433,0.8,0,0,433,0.8,1348,2.3,1162,2,186,0.3,246,0.4,11,0,1420,2.5,4488,7.8,19669,34.2,11130,19.4,8539,14.9,1539,2.7,1256,2.2,1014,1.8,238,0.4,240,0.4,9456,16.5,24,0,727,1.3,114,0.2,5506,9.6,0,0,5178,9,60758,105.8,115183,200.5
8,State,Haryana,948,3.9,690,2.8,78,0.3,603,2.5,0,0,603,2.5,916,3.8,659,2.7,257,1.1,153,0.6,297,1.2,679,2.8,4077,16.8,12917,53.3,8449,34.9,4468,18.4,1166,4.8,827,3.4,1406,5.8,35,0.1,153,0.6,3977,16.4,281,1.2,451,1.9,605,2.5,2617,10.8,0,0,1549,6.4,21804,89.9,56229,231.9
9,State,Himachal Pradesh,125,1.9,73,1.1,13,0.2,183,2.8,0,0,183,2.8,150,2.3,122,1.8,28,0.4,4,0.1,0,0,21,0.3,784,11.8,823,12.4,327,4.9,496,7.5,591,8.9,117,1.8,264,4,2,0,124,1.9,1230,18.6,1,0,318,4.8,37,0.6,284,4.3,0,0,616,9.3,7555,114,13315,200.9
10,State,Jammu & Kashmir,237,1.8,547,4.2,23,0.2,237,1.8,0,0,237,1.8,873,6.8,825,6.4,48,0.4,1,0,0,0,69,0.5,1566,12.1,2631,20.4,876,6.8,1755,13.6,1472,11.4,132,1,475,3.7,37,0.3,217,1.7,331,2.6,12,0.1,972,7.5,371,2.9,196,1.5,0,0,517,4,11059,85.7,21975,170.2
