Sr.No.,Year,Total Value of Property - Stolen,Total Value of Property - Recovered,Percentage Recovery
1,1999,158080,50319,31.8
2,2000,159323,39815,25
3,2001,151723,44733,29.5
4,2002,246723,47742,19.4
5,2003,173504,44759,25.8
6,2004,236170,46947,19.9
7,2005,240900,57600,23.9
8,2006,240395,60723,25.3
9,2007,268078,69655,26
10,2008,385296,76815,19.9
11,2009,449501,87611,19.5
12,Percentage Change in 2009 over 1999,184.3,74.1,-38.8
