Sr. No.,Category,States/ UTs,Number of Police Personnel - SC,Number of Police Personnel - ST,Number of Police Personnel - Muslim,Number of Police Personnel - Others,Number of Police Personnel - Total
1,State,Andhra Pradesh,12934,6193,9833,77895,106855
2,State,Arunachal Pradesh,68,5524,85,1579,7256
3,State,Assam,2727,5750,2284,40968,51729
4,State,Bihar,5015,1653,4354,48178,59200
5,State,Chhattisgarh,2039,6969,270,30429,39707
6,State,Goa,104,328,69,4223,4724
7,State,Gujarat,8687,10983,4678,36008,60356
8,State,Haryana,2547,0,255,38590,41392
9,State,Himachal Pradesh,3077,876,199,9818,13970
10,State,Jammu & Kashmir,2735,3494,36910,44974,88113
11,State,Jharkhand,NA,NA,NA,NA,NA
12,State,Karnataka,13523,3497,4702,53620,75342
13,State,Kerala,6542,605,5716,26926,39789
14,State,Madhya Pradesh,NA,NA,NA,NA,NA
15,State,Maharashtra,27335,18185,9578,124805,179903
16,State,Manipur,289,3943,2005,12999,19236
17,State,Meghalaya,332,8190,143,1399,10064
18,State,Mizoram,238,10075,31,604,10948
19,State,Nagaland,336,9526,110,31,10003
20,State,Orissa,6058,7160,915,29342,43475
21,State,Punjab,15878,16,206,50944,67044
22,State,Rajasthan,10844,9330,935,50616,71725
23,State,Sikkim,187,1457,3,1957,3604
24,State,Tamil Nadu,13943,638,3101,70990,88672
25,State,Tripura,3860,6950,926,11006,22742
26,State,Uttar Pradesh,26576,1392,6986,112845,147799
27,State,Uttarakhand,3866,1569,367,9785,15587
28,State,West Bengal,15309,4548,6824,56677,83358
State,State,Total (States),185049,128851,101485,947208,1362593
29,Union Territory,A & N Islands,0,195,179,3355,3729
30,Union Territory,Chandigarh,586,1,16,4092,4695
31,Union Territory,D & N Haveli,19,115,4,84,222
32,Union Territory,Daman & Diu,73,8,7,132,220
33,Union Territory,Delhi,10272,4146,1469,48556,64443
34,Union Territory,Lakshadweep,1,203,2,48,254
35,Union Territory,Puducherry,412,0,64,1669,2145
Union Territory,Union Territory,Total (UTs),11363,4668,1741,57936,75708
Total (All-India),Total (All-India),Total (All-India),196412,133519,103226,1005144,1438301
