Sr. No.,Category,States/ UTs,Total No. of Persons Under Trial Including those from Previous Year,Number of Persons Whose - Cases Compounded or Withdrawn,Number of Persons Whose - Trial Completed,Number of Persons Whose - Trial Remained Pending,No. of Persons Convicted,Pendency Percentage,Percentage of Pendency to All India Total
1,State,Andhra Pradesh,640346,48777,160742,430827,45573,67.3,3.3
2,State,Arunachal Pradesh,22197,136,630,21431,360,96.5,0.2
3,State,Assam,152371,1879,27259,123233,5044,80.9,0.9
4,State,Bihar,1608871,8440,144713,1455718,20810,90.5,11.1
5,State,Chhattisgarh,293546,5695,40515,247336,19579,84.3,1.9
6,State,Goa,15110,61,2079,12970,381,85.8,0.1
7,State,Gujarat,1590608,6213,94645,1489750,27344,93.7,11.4
8,State,Haryana,333185,392,60668,272125,18710,81.7,2.1
9,State,Himachal Pradesh,120363,2409,13869,104085,2566,86.5,0.8
10,State,Jammu & Kashmir,185832,5863,18938,161031,5931,86.7,1.2
11,State,Jharkhand,138026,1370,44312,92344,13571,66.9,0.7
12,State,Karnataka,426737,17430,111792,297515,29051,69.7,2.3
13,State,Kerala,697190,11837,125877,559476,54157,80.2,4.3
14,State,Madhya Pradesh,1571987,106189,204695,1261103,92712,80.2,9.6
15,State,Maharashtra,2888318,16756,158307,2713255,10808,93.9,20.7
16,State,Manipur,3005,0,26,2979,7,99.1,0
17,State,Meghalaya,13230,40,809,12381,275,93.6,0.1
18,State,Mizoram,4350,0,2538,1812,2308,41.7,0
19,State,Nagaland,2076,11,525,1540,414,74.2,0
20,State,Orissa,600523,0,54089,546434,8879,91,4.2
21,State,Punjab,176372,235,35465,140672,11800,79.8,1.1
22,State,Rajasthan,1047266,26564,145093,875609,80670,83.6,6.7
23,State,Sikkim,1513,262,580,671,322,44.3,0
24,State,Tamil Nadu,513378,515,172905,339958,95109,66.2,2.6
25,State,Tripura,11130,722,4629,5779,380,51.9,0
26,State,Uttar Pradesh,1172083,16214,251657,904212,136777,77.1,6.9
27,State,Uttarakhand,55941,1161,9950,44830,6271,80.1,0.3
28,State,West Bengal,815351,5618,55038,754695,4158,92.6,5.8
State,State,Total (States),15100905,284789,1942345,12873771,693967,85.3,98.1
29,Union Territory,A & N Islands,8655,0,246,8409,68,97.2,0.1
30,Union Territory,Chandigarh,12235,0,2353,9882,1054,80.8,0.1
31,Union Territory,D & N Haveli,4391,0,296,4095,46,93.3,0
32,Union Territory,Daman & Diu,1754,4,399,1351,30,77,0
33,Union Territory,Delhi,239563,0,24331,215232,13526,89.8,1.6
34,Union Territory,Lakshadweep,826,0,614,212,0,25.7,0
35,Union Territory,Puducherry,15367,91,3403,11873,2800,77.3,0.1
Union Territory,Union Territory,Total (UTs),282791,95,31642,251054,17524,88.8,1.9
Total (All-India),Total (All-India),Total (All-India),15383696,284884,1973987,13124825,711491,85.3,100
