Sr. No.,Category,States/UTs,Murder (Sec.302 IPC),Attempt to Commit Murder (Sec. 307 IPC),"C.h. Not Amounting to Murder (Sec.304 ,308 IPC)",Rape (Sec. 376 IPC),"Kidnapping & Abduction (Sec.363-369,371-373 IPC)",Dacoity (Sec.395-398 IPC),Preparation and Assembly for Dacoity (Sec.399-402 IPC),"Robbery (Sec.392-394, 397,398 IPC)","Riots (Sec.143-145, 147-151, 153, 153A,153B,157,158,160 IPC)","Arson (Sec.435,436,438 IPC)",Dowry Death (Sec.304B IPC),Total Violent Crimes,Percentage Share to All-India Crimes,Rate of Violent Crimes,Percentage to Total Cognizable Crimes Under IPC
1,State,Andhra Pradesh,2449,1859,134,1188,1958,102,27,544,2261,1039,546,12107,5.3,14.5,6.7
2,State,Arunachal Pradesh,59,33,5,59,62,20,0,55,52,28,0,373,0.2,30.6,15.8
3,State,Assam,1323,417,35,1631,2718,251,21,680,1808,476,170,9530,4.1,31.2,17.2
4,State,Bihar,3152,3068,243,929,3222,654,64,1619,8554,685,1295,23485,10.2,24.5,19.1
5,State,Chhattisgarh,1083,732,19,976,286,134,16,554,957,335,128,5220,2.3,21.6,10.2
6,State,Goa,53,24,11,47,33,4,0,30,50,24,3,279,0.1,16.5,9.3
7,State,Gujarat,1020,468,30,433,1348,246,11,1420,1539,240,24,6779,2.9,11.8,5.9
8,State,Haryana,948,690,78,603,916,153,297,679,1166,153,281,5964,2.6,24.6,10.6
9,State,Himachal Pradesh,125,73,13,183,150,4,0,21,591,124,1,1285,0.6,19.4,9.7
10,State,Jammu & Kashmir,237,547,23,237,873,1,0,69,1472,217,12,3688,1.6,28.6,16.8
11,State,Jharkhand,1636,1274,104,719,827,412,53,780,2312,203,295,8615,3.7,28.2,23
12,State,Karnataka,1702,1607,79,509,892,273,346,1825,6269,293,264,14059,6.1,24.2,10.5
13,State,Kerala,343,408,100,568,256,112,266,830,8086,503,20,11492,5,33.2,9.7
14,State,Madhya Pradesh,2386,2212,117,2998,1036,117,156,2270,2409,741,858,15300,6.6,21.6,7.4
15,State,Maharashtra,2653,1880,98,1483,1286,780,287,3314,8030,1105,341,21257,9.2,19.6,10.6
16,State,Manipur,131,478,2,31,159,1,188,3,48,81,0,1122,0.5,42,39.3
17,State,Meghalaya,128,39,12,112,56,64,1,67,18,54,0,551,0.2,21.4,22.5
18,State,Mizoram,31,14,8,83,9,2,0,4,1,24,0,176,0.1,17.7,8.6
19,State,Nagaland,46,35,7,22,52,8,0,92,4,4,0,270,0.1,12.1,25.5
20,State,Odisha,1250,1231,48,1023,930,380,63,1488,1718,413,384,8928,3.9,22.1,16
21,State,Punjab,853,1014,129,511,692,38,96,171,8,101,126,3739,1.6,13.9,10.5
22,State,Rajasthan,1395,1673,80,1519,2870,53,57,886,1145,556,436,10670,4.6,16.2,6.4
23,State,Sikkim,19,7,3,18,6,0,0,4,39,9,0,105,0,17.4,15.7
24,State,Tamil Nadu,1776,2325,26,596,1372,97,34,1144,2397,580,194,10541,4.6,15.7,6
25,State,Tripura,133,59,2,190,121,7,0,77,178,62,29,858,0.4,24.1,15.6
26,State,Uttar Pradesh,4534,4141,1439,1759,6083,365,59,2285,4263,254,2232,27414,11.9,14,15.9
27,State,Uttarakhand,195,185,51,111,275,35,7,179,466,17,94,1615,0.7,16.7,18.3
28,State,West Bengal,2068,2119,931,2336,2750,214,724,751,6700,344,506,19443,8.4,21.8,17.2
State,State,Total (States),31728,28612,3827,20874,31238,4527,2773,21841,62541,8665,8239,224865,97.6,19.6,10.9
29,Union Territory,Andaman & Nicobar Islands,15,4,4,18,16,0,0,11,11,12,1,92,0,21.7,9.8
30,Union Territory,Chandigarh,22,18,8,29,40,4,3,27,66,4,2,223,0.1,20.3,6.3
31,Union Territory,Dadra Nagar Haveli,10,5,1,4,12,9,0,2,53,5,0,101,0,36.7,22.9
32,Union Territory,Daman & Diu,5,4,1,1,0,0,0,4,29,3,0,47,0,24.2,17
33,Union Territory,Delhi,552,369,84,469,2536,36,69,515,57,34,141,4862,2.1,27.3,9.7
34,Union Territory,Lakshadweep,0,1,0,1,0,3,0,0,44,2,0,51,0,71.8,38.1
35,Union Territory,Pondicherry,37,25,5,1,18,7,5,9,141,11,0,259,0.1,23.6,5.6
Union Territory,Union Territory,Total (UTs),641,426,103,523,2622,59,77,568,401,71,144,5635,2.4,26.9,9.4
Total (All-India),Total (All-India),Total (All-India),32369,29038,3930,21397,33860,4586,2850,22409,62942,8736,8383,230500,100,19.7,10.9
