Sr. No.,Category,Sub Category,States/UTs/District,Murder (Sec.302 IPC),Attempt to Commit Murder (Sec. 307 IPC),"C.h. Not Amounting to Murder (Sec.304 , 308 IPC)",Rape (Sec. 376 IPC) - Total,Rape (Sec. 376 IPC) - Custodial,Rape (Sec. 376 IPC) - Other,"Kidnapping & Abduction (Sec. 363-369, 371-373 IPC) - Total","Kidnapping & Abduction (Sec. 363-369, 371-373 IPC) - of Women & Girls","Kidnapping & Abduction (Sec. 363-369, 371-373 IPC) - Others",Dacoity (Sec. 395 to 398 IPC),Preparation & Assembly for Dacoity (Sec.399-402 IPC),"Robbery (Sec.392-394, 397 & 398 IPC)","Burglary (Sec.449-452,454,455,457-460 IPC)",Theft (Sec.379 – 382 IPC) - Total,Theft (Sec.379 – 382 IPC) - Auto theft,Theft (Sec.379 – 382 IPC) - Other Theft,"Riots (Sec.143-145, 147-151, 153, 153A,153B,157,158,160 IPC)",Criminal Breach of Trust (Sec.406-409 IPC),"Cheating (Sec.419,420 IPC)","Counterfeiting (Sec.231-254, 489A-489D IPC)","Arson (Sec.435,436,438 IPC)","Hurt (Sec.323-333,335-338 IPC)",Dowry Deaths (Sec.304B IPC),Molestation (Sec. 354 IPC),Sexual Harassment (Sec.509 IPC),Cruelty by Husband and Relatives (Sec. 498A IPC),Importation of Girls (Sec.366B IPC),Causing Death By Negligence (Sec. 304A IPC),Other IPC Crimes,Total Cognizable Crimes Under IPC
1,State,Andhra Pradesh,Adilabad,85,39,11,67,0,67,73,56,17,6,0,20,200,351,82,269,101,11,161,7,35,1254,13,192,163,428,0,333,1762,5312
2,State,Andhra Pradesh,Anantapur,140,78,4,22,0,22,68,60,8,9,0,24,176,547,47,500,98,24,104,26,22,1049,14,157,13,143,0,649,1814,5181
3,State,Andhra Pradesh,Chittoor,85,68,2,33,0,33,74,46,28,4,0,17,251,1208,521,687,104,25,276,32,45,1040,19,120,268,333,0,682,2582,7268
4,State,Andhra Pradesh,Cuddapah,93,44,0,27,0,27,57,47,10,2,0,9,103,460,144,316,162,30,206,5,44,1061,17,165,52,124,0,522,2327,5510
5,State,Andhra Pradesh,Cyberabad,186,84,15,82,0,82,168,113,55,11,1,72,1348,3358,1365,1993,83,124,1174,13,71,3136,46,173,155,991,0,1063,2487,14841
6,State,Andhra Pradesh,East Godavari,93,96,5,47,0,47,80,60,20,1,0,29,456,1120,325,795,62,101,301,32,35,3047,23,196,178,440,0,666,1652,8660
7,State,Andhra Pradesh,Guntakal Rly.,7,0,0,0,0,0,0,0,0,0,0,0,0,169,0,169,0,2,1,1,0,5,0,3,1,0,0,3,22,214
8,State,Andhra Pradesh,Guntur,150,140,0,40,0,40,79,62,17,4,2,44,343,1186,407,779,71,28,384,45,72,2023,26,340,451,720,0,785,2873,9806
9,State,Andhra Pradesh,Hyderabad City,153,110,5,47,0,47,108,55,53,5,0,59,969,5091,2095,2996,199,85,2007,49,7,3516,36,295,63,1363,0,516,3157,17840
10,State,Andhra Pradesh,Karimnagar,91,98,15,48,0,48,128,106,22,2,20,15,250,528,125,403,185,25,396,3,75,2751,40,292,234,635,0,517,1554,7902
11,State,Andhra Pradesh,Khammam,118,69,3,98,0,98,108,96,12,6,3,23,253,512,184,328,138,31,164,8,11,1111,18,205,152,519,0,478,2200,6228
12,State,Andhra Pradesh,Krishna,72,104,3,43,0,43,49,35,14,2,1,11,168,519,134,385,43,26,135,11,36,2578,14,297,130,402,0,397,852,5893
13,State,Andhra Pradesh,Kurnool,103,170,2,31,0,31,83,73,10,9,0,19,282,495,189,306,167,28,265,15,46,1713,17,398,365,239,0,522,3033,8002
14,State,Andhra Pradesh,Mahaboobnagar,158,68,18,74,0,74,103,101,2,1,0,16,256,1009,5,1004,120,18,171,16,73,2269,24,215,75,299,0,740,1249,6972
15,State,Andhra Pradesh,Medak,120,61,8,46,0,46,61,51,10,4,0,25,260,598,128,470,69,19,268,4,54,2010,27,118,58,368,0,607,1102,5887
16,State,Andhra Pradesh,Nalgonda,124,63,7,77,0,77,109,75,34,9,0,32,272,494,107,387,107,36,282,8,97,1808,41,254,205,364,0,746,3482,8617
