Si. No.,Category,States/ UTs/ Cities,2004,2005,2006,2007,2008,Quinquennial Average (2004- 2008) (Q.A.)@,2009,Percentage Change in 2009 [(+) Increase (-) Decrease] Over - QA,Percentage Change in 2009 [(+) Increase (-) Decrease] Over - 2008
1,State,Andhra Pradesh,158756,157123,173909,175087,179275,168830,180441,6.9,0.7
2,State,Arunachal Pradesh,2256,2304,2294,2286,2374,2303,2362,2.6,-0.5
3,State,Assam,40675,42006,43673,45282,53333,44994,55313,22.9,3.7
4,State,Bihar,108060,97850,100665,109420,122669,107733,122931,14.1,0.2
5,State,Chhattisgarh,41927,43633,45177,45845,51442,45605,51370,12.6,-0.1
6,State,Goa,2127,2119,2204,2479,2742,2334,3005,28.7,9.6
7,State,Gujarat,105469,113414,120972,123195,123808,117372,115183,-1.9,-7
8,State,Haryana,39096,42664,50509,51597,55344,47842,56229,17.5,1.6
9,State,Himachal Pradesh,12326,12345,13093,14222,13976,13192,13315,0.9,-4.7
10,State,Jammu & Kashmir,21191,20115,20787,21443,20604,20828,21975,5.5,6.7
11,State,Jharkhand,31439,35175,36364,38489,38686,36031,37436,3.9,-3.2
12,State,Karnataka,114440,117580,117710,120606,127540,119575,134042,12.1,5.1
13,State,Kerala,104025,104350,105255,108530,110620,106556,118369,11.1,7
14,State,Madhya Pradesh,196867,189172,194711,202386,206556,197938,207762,5,0.6
15,State,Maharashtra,176302,187027,191788,195707,206243,191413,199598,4.3,-3.2
16,State,Manipur,2535,2913,2884,3259,3349,2988,2852,-4.6,-14.8
17,State,Meghalaya,1757,1880,1935,2079,2318,1994,2448,22.8,5.6
18,State,Mizoram,1515,2156,2073,2083,1989,1963,2047,4.3,2.9
19,State,Nagaland,984,1049,1103,1180,1202,1104,1059,-4,-11.9
20,State,Odisha,48739,51685,52792,54872,56755,52969,55740,5.2,-1.8
21,State,Punjab,25630,27136,32068,35793,35314,31188,35545,14,0.7
22,State,Rajasthan,154859,140917,141992,148870,151174,147562,166565,12.9,10.2
23,State,Sikkim,631,552,703,667,730,657,669,1.9,-8.4
24,State,Tamil Nadu,166606,162360,148972,172754,176833,165505,174691,5.6,-1.2
25,State,Tripura,3081,3356,3940,4273,5336,3997,5486,37.2,2.8
26,State,Uttar Pradesh,130181,122108,127001,150258,168996,139709,172884,23.7,2.3
27,State,Uttarakhand,8634,8033,8412,9599,8856,8707,8802,1.1,-0.6
28,State,West Bengal,69350,66406,68052,81102,105419,78066,113036,44.8,7.2
State,State,Total (States),1769458,1757428,1811038,1923363,2033483,1858954,2061155,10.9,1.4
29,Union Territory,Andaman & Nicobar Islands,748,682,676,807,882,759,941,24,6.7
30,Union Territory,Chandigarh,2889,3133,3126,3643,3931,3344,3555,6.3,-9.6
31,Union Territory,Dadra Nagar Haveli,409,434,435,425,401,421,442,5,10.2
32,Union Territory,Daman & Diu,198,243,288,260,248,247,276,11.6,11.3
33,Union Territory,Delhi,53623,56065,57963,56065,49350,54613,50251,-8,1.8
34,Union Territory,Lakshadweep,70,42,80,56,95,69,134,95.3,41.1
35,Union Territory,Pondicherry,4620,4575,4687,5054,4989,4785,4591,-4.1,-8
Union Territory,Union Territory,Total (UTs),62557,65174,67255,66310,59896,64238,60190,-6.3,0.5
Total (All-India),Total (All-India),Total (All-India),1832015,1822602,1878293,1989673,2093379,1923192,2121345,10.3,1.3
36,City,Agra,3442,3248,4410,4304,4826,4046,4836,19.5,0.2
37,City,Ahmedabad,17553,17468,19238,17310,18544,18023,20726,15,11.8
38,City,Allahabad,1551,1564,1589,1706,2068,1696,2073,22.3,0.2
39,City,Amritsar,1204,931,1295,2142,2327,1580,2157,36.5,-7.3
