Sr. No. (Col. 1),Crime Head (Col. 2),Total No. for Cases for Trial Including Pending Cases from previous year (Col. 3),Cases Withdrawn by Govt. (Col. 4),No. of Cases - in Which Trials Completed (Col. 5) - Compounded or withdrawn,No. of Cases - in Which Trials Completed (Col. 6) - Convicted,No. of Cases - in Which Trials Completed (Col. 7) - Acquitted or Discharged,No. of Cases - In Which Trials Completed (Col. 8) - Total = Col. {(6)+(7),No. of Cases (Col. 9) - Pending Trial at the end of the year
1,Infanticide (Sec.315 IPC),244,0,2,19,28,47,195
2,Murder (Sec.302 IPC),5157,0,14,409,479,888,4255
3,Rape (Sec. 376 IPC),18747,1,36,944,2129,3073,15638
4,"Kidnapping & Abduction (Sec.363-369,371-373 IPC)",17112,2,24,850,1749,2599,14489
5,Foeticide,115,0,0,9,22,31,84
6,Abetment to Suicide ( Sec.305 IPC),117,0,0,1,26,27,90
7,Exposure and Abandonment ( Sec. 317 IPC),871,0,0,8,62,70,801
8,Procuration Minor Girls ( Sec. 366A IPC),628,0,7,18,77,95,526
9,Buying of Girls for Prost. ( Sec.373 IPC),121,0,0,1,10,11,110
10,Selling of Girls for Prost.( Sec.372 IPC),158,0,0,0,13,13,145
11,"Child Marriage Restraint Act, 1978",420,0,13,18,45,63,344
12,Other Crimes,22045,0,693,1438,2610,4048,17304
13,Total,65735,3,789,3715,7250,10965,53981
