Sr. No.,Category,States/ UTs/Cities,Number of Cases Reported,Number of Victims - Upto 10 Years,Number of Victims - 10-14 Years,Number of Victims - 14-18 Years,Number of Victims - 18-30 Years,Number of Victims - 30-50 Years,Number of Victims - Above 50 Years,Number of Victims - Total Victims,Number of Cases Reported,Number of Victims - Upto 10 Years,Number of Victims - 10-14 Years,Number of Victims - 14-18 Years,Number of Victims - 18-30 Years,Number of Victims - 30-50 Years,Number of Victims - Above 50 Years,Number of Victims - Total Victims,Number of Cases Reported,Number of Victims - Upto 10 Years,Number of Victims - 10-14 Years,Number of Victims - 14-18 Years,Number of Victims - 18-30 Years,Number of Victims - 30-50 Years,Number of Victims - Above 50 Years,Number of Victims - Total Victims
1,State,Andhra Pradesh,2,0,0,2,0,0,0,2,1186,41,167,206,642,116,14,1186,1188,41,167,208,642,116,14,1188
2,State,Arunachal Pradesh,0,0,0,0,0,0,0,0,59,4,12,0,42,1,0,59,59,4,12,0,42,1,0,59
3,State,Assam,9,0,0,0,7,2,0,9,1622,1,6,3,1223,375,14,1622,1631,1,6,3,1230,377,14,1631
4,State,Bihar,1,0,0,0,1,0,0,1,928,12,19,32,764,101,0,928,929,12,19,32,765,101,0,929
5,State,Chhattisgarh,24,1,2,8,6,5,2,24,952,79,225,79,454,108,7,952,976,80,227,87,460,113,9,976
6,State,Goa,1,0,0,1,0,0,0,1,46,1,11,20,15,2,0,49,47,1,11,21,15,2,0,50
7,State,Gujarat,18,1,2,3,10,2,0,18,415,14,25,47,298,30,1,415,433,15,27,50,308,32,1,433
8,State,Haryana,12,2,2,0,7,1,0,12,591,17,25,70,423,53,3,591,603,19,27,70,430,54,3,603
9,State,Himachal Pradesh,10,1,2,5,1,1,0,10,173,11,14,50,83,15,0,173,183,12,16,55,84,16,0,183
10,State,Jammu & Kashmir,4,0,1,0,2,1,0,4,233,0,0,3,175,51,2,231,237,0,1,3,177,52,2,235
11,State,Jharkhand,22,0,0,0,16,6,0,22,697,4,0,5,478,210,0,697,719,4,0,5,494,216,0,719
12,State,Karnataka,18,0,0,0,17,1,0,18,491,39,49,18,344,37,4,491,509,39,49,18,361,38,4,509
13,State,Kerala,18,3,3,7,4,1,0,18,550,30,42,150,249,69,10,550,568,33,45,157,253,70,10,568
14,State,Madhya Pradesh,14,1,1,9,2,1,0,14,2984,75,290,695,1403,510,11,2984,2998,76,291,704,1405,511,11,2998
15,State,Maharashtra,76,5,3,19,47,3,0,77,1407,126,118,344,666,154,8,1416,1483,131,121,363,713,157,8,1493
16,State,Manipur,0,0,0,0,0,0,0,0,31,5,5,2,9,9,1,31,31,5,5,2,9,9,1,31
17,State,Meghalaya,5,1,2,1,1,0,0,5,107,18,21,18,40,7,3,107,112,19,23,19,41,7,3,112
18,State,Mizoram,3,2,1,0,0,0,0,3,80,3,2,3,42,30,0,80,83,5,3,3,42,30,0,83
19,State,Nagaland,0,0,0,0,0,0,0,0,22,0,0,0,17,5,0,22,22,0,0,0,17,5,0,22
20,State,Odisha,6,0,1,0,5,0,0,6,1017,6,23,57,742,182,7,1017,1023,6,24,57,747,182,7,1023
21,State,Punjab,8,0,2,3,3,0,0,8,503,34,46,128,255,43,1,507,511,34,48,131,258,43,1,515
22,State,Rajasthan,36,2,3,7,20,4,0,36,1483,26,52,281,836,285,4,1484,1519,28,55,288,856,289,4,1520
23,State,Sikkim,0,0,0,0,0,0,0,0,18,4,5,5,2,2,0,18,18,4,5,5,2,2,0,18
24,State,Tamil Nadu,4,1,0,3,0,0,0,4,592,27,34,117,390,22,2,592,596,28,34,120,390,22,2,596
25,State,Tripura,0,0,0,0,0,0,0,0,190,10,22,51,79,28,0,190,190,10,22,51,79,28,0,190
26,State,Uttar Pradesh,2,1,0,1,0,0,0,2,1757,42,416,165,911,223,0,1757,1759,43,416,166,911,223,0,1759
