Sr. No.,Category,States/ UTs,Arms Act,Narcotic Drugs & Psychotropic Substances Act,Gambling Act,Excise Act,Prohibition Act,Explosive & Explosive Substances Act,Immoral Traffic (P) Act,Indian Railways Act,Registraion of Foreigners Act,Protection of Civil Rights Act -Total,Protection of Civil Rights Act - for SCs,Protection of Civil Rights Act - for STs,Indian Passport Act,Essential Commodities Act,Terrorist & Disruptive Activities Act,Antiquity & Art Treasures Act,Dowry Prohibition Act,Child Marriage Restraint Act,Indecent Representation of Women (p) Act,Copyright Act,Sati Prevention Act,SC/ST (Prev.) of Atrocities Act - Total,SC/ST (Prev.) of Atrocities Act - for SCs,SC/ST (Prev.) of Atrocities Act - for STs,Forest Act,Other Sll Crimes,Total Cognizable Crimes Under Sll
1,State,Andhra Pradesh,87.9,95.6,99.8,97.7,96.3,95.3,99.7,75,100,20.7,19.2,33.3,83.3,99.1,NA,88.9,98.8,0,100,94,NA,79,78,83.7,58.3,99.9,99.8
2,State,Arunachal Pradesh,76.9,95.2,NA,NA,NA,62.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,59.6,69.7
3,State,Assam,68.2,96,66.3,77.3,0,63.3,85,44.4,100,0,0,NA,99.1,71,100,NA,87.9,NA,NA,83.3,NA,NA,NA,NA,50,41.2,66.2
4,State,Bihar,90.4,90.6,83.6,94.6,98.9,60.7,68,44.8,100,NA,NA,NA,NA,82.5,NA,50,72,100,NA,91.9,NA,66.4,66.6,56.4,87.5,68.7,79.8
5,State,Chhattisgarh,100,99.2,100,100,NA,99.3,100,0,NA,NA,NA,NA,NA,98.2,NA,NA,100,NA,100,96.8,NA,100,100,100,100,100,100
6,State,Goa,100,100,99.8,NA,NA,100,94.7,NA,100,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,72.7,NA,NA,NA,NA,NA,96.3,97.2
7,State,Gujarat,98.4,92.7,100,100,99.9,95.6,100,0,80,100,100,NA,100,98.9,NA,NA,100,100,NA,100,NA,98.7,98.4,100,100,98.8,99.8
8,State,Haryana,98.7,97.2,100,99.6,NA,90,100,60,100,NA,NA,NA,NA,100,NA,NA,80,NA,NA,100,NA,98.2,98.2,NA,NA,89,98.6
9,State,Himachal Pradesh,95.5,94.8,100,99.4,NA,75,100,0,100,100,100,NA,NA,100,NA,NA,100,NA,NA,100,NA,100,100,100,74.6,89,96.7
10,State,Jammu & Kashmir,64.6,97.2,100,100,NA,28.1,100,NA,92.9,100,100,NA,NA,99.5,NA,NA,100,NA,100,100,NA,NA,NA,NA,75,92.4,89.4
