Sr. No.,Event,No. of Occasions of Police Firing,Civilians - Killed,Civilians - Injured,Policemen - Killed,Policemen - Injured
1,Riot Control,297,20,251,2,964
2,Anti-dacoity Operations,156,57,37,6,27
3,Against Extremists And Terrorists,188,44,6,97,95
4,Against Others,639,63,196,26,215
5,Total,1280,184,490,131,1301
