Sr. No.,Category,States/ UTs,Dacoity (Sec.395-398 IPC),Preparation and Assembly for Dacoity (Sec.399-402 IPC),"Robbery (Sec.392-394, 397,398 IPC)","Burglary (Sec.449-452,454,455,457-460 IPC)",Theft (Sec.379 – 382 IPC),Total IPC Crimes Against Property,Percentage share,Crime Rate,Percentage to Total IPC Cog. Crimes
1,State,Andhra Pradesh,102,27,544,7772,24692,33137,7.43,39.78,18.36
2,State,Arunachal Pradesh,20,0,55,201,381,657,0.15,53.85,27.82
3,State,Assam,251,21,680,3149,7644,11745,2.63,38.47,21.23
4,State,Bihar,654,64,1619,3566,15221,21124,4.74,22.06,17.18
5,State,Chhattisgarh,134,16,554,3975,5792,10471,2.35,43.34,20.38
6,State,Goa,4,0,30,294,858,1186,0.27,70.14,39.47
7,State,Gujarat,246,11,1420,4488,19669,25834,5.79,44.98,22.43
8,State,Haryana,153,297,679,4077,12917,18123,4.06,74.76,32.23
9,State,Himachal Pradesh,4,0,21,784,823,1632,0.37,24.62,12.26
10,State,Jammu & Kashmir,1,0,69,1566,2631,4267,0.96,33.05,19.42
11,State,Jharkhand,412,53,780,1392,7716,10353,2.32,33.9,27.66
12,State,Karnataka,273,346,1825,6629,20576,29649,6.65,50.94,22.12
13,State,Kerala,112,266,830,3554,5564,10326,2.31,29.79,8.72
14,State,Madhya Pradesh,117,156,2270,10661,23260,36464,8.17,51.43,17.55
15,State,Maharashtra,780,287,3314,15841,50930,71152,15.95,65.46,35.65
16,State,Manipur,1,188,3,68,394,654,0.15,24.49,22.93
17,State,Meghalaya,64,1,67,147,545,824,0.18,31.98,33.66
18,State,Mizoram,2,0,4,381,761,1148,0.26,115.26,56.08
19,State,Nagaland,8,0,92,82,347,529,0.12,23.8,49.95
20,State,Odisha,380,63,1488,2937,7136,12004,2.69,29.69,21.54
21,State,Punjab,38,96,171,2507,5624,8436,1.89,31.27,23.73
22,State,Rajasthan,53,57,886,5294,22144,28434,6.37,43.05,17.07
23,State,Sikkim,0,0,4,93,62,159,0.04,26.32,23.77
24,State,Tamil Nadu,97,34,1144,4221,15712,21208,4.75,31.6,12.14
25,State,Tripura,7,0,77,231,415,730,0.16,20.47,13.31
26,State,Uttar Pradesh,365,59,2285,5260,29226,37195,8.34,19.02,21.51
27,State,Uttarakhand,35,7,179,363,1601,2185,0.49,22.57,24.82
28,State,West Bengal,214,724,751,329,17133,19151,4.29,21.47,16.94
State,State,Total (States),4527,2773,21841,89862,299774,418777,93.87,36.46,20.32
29,Union Territory,Andaman & Nicobar Islands,0,0,11,86,134,231,0.05,54.61,24.55
30,Union Territory,Chandigarh,4,3,27,241,1731,2006,0.45,182.86,56.43
31,Union Territory,Dadra Nagar Haveli,9,0,2,43,63,117,0.03,42.55,26.47
32,Union Territory,Daman & Diu,0,0,4,33,41,78,0.02,40.21,28.26
33,Union Territory,Delhi,36,69,515,1733,21731,24084,5.4,135.44,47.93
34,Union Territory,Lakshadweep,3,0,0,1,10,14,0,19.72,10.45
35,Union Territory,Pondicherry,7,5,9,71,711,803,0.18,73.2,17.49
Union Territory,Union Territory,Total (UTs),59,77,568,2208,24421,27333,6.13,130.54,45.41
Total (All-India),Total (All-India),Total (All-India),4586,2850,22409,92070,324195,446110,100,38.15,21.03
