Sr. No.,Category,States/ UTs,Motor Vehicles,Motor Cycle,Car,Jeep,One Tonner,Three Tonner,Others,Wireless Equipment,H.F. / V.H.F.,Walkie - Talkie,Other Wireless Equipments
1,State,Andhra Pradesh,8357,3082,559,3664,0,791,261,16402,9260,6780,362
2,State,Arunachal Pradesh,752,305,271,0,92,48,36,2007,1042,895,70
3,State,Assam,277,7,22,0,25,17,206,77,0,0,77
4,State,Bihar,5395,1514,160,1856,2,10,1853,11817,6359,3743,1715
5,State,Chhattisgarh,4801,1581,133,707,81,411,1888,3630,2084,0,1546
6,State,Goa,471,242,14,157,0,0,58,3956,1490,1022,1444
7,State,Gujarat,7043,3593,414,1685,656,547,148,16440,10679,5741,20
8,State,Haryana,310,18,16,238,0,0,38,601,391,175,35
9,State,Himachal Pradesh,866,450,125,142,112,37,0,3325,1391,1832,102
10,State,Jammu & Kashmir,4972,390,819,23,910,593,2237,9556,2920,6119,517
11,State,Jharkhand,3524,1155,49,805,215,98,1202,11359,3592,4494,3273
12,State,Karnataka,15624,9988,278,2339,42,32,2945,55003,11189,17430,26384
13,State,Kerala,5006,2006,129,1147,14,382,1328,8827,3461,3677,1689
14,State,Madhya Pradesh,6033,2000,414,2126,876,604,13,23974,8195,15446,333
15,State,Maharashtra,14219,6760,623,4189,386,1323,938,23339,11348,11227,764
16,State,Manipur,1988,367,36,949,417,171,48,6298,1991,1273,3034
17,State,Meghalaya,764,75,23,374,136,156,0,2665,1365,842,458
18,State,Mizoram,664,168,7,294,119,40,36,445,151,267,27
19,State,Nagaland,463,84,6,166,42,60,105,349,135,191,23
20,State,Orissa,4420,1952,142,1437,617,261,11,6598,3732,2842,24
21,State,Punjab,4159,1499,162,1553,562,383,0,13419,3994,6369,3056
22,State,Rajasthan,4820,2356,120,1684,436,224,0,13405,9277,4128,0
23,State,Sikkim,83,18,1,47,7,3,7,2126,319,397,1410
24,State,Tamil Nadu,12533,5424,443,4070,639,1516,441,19174,6528,12388,258
25,State,Tripura,1436,264,45,191,199,61,676,6226,3169,3057,0
26,State,Uttar Pradesh,11581,4572,518,4053,755,1407,276,36930,18118,18232,580
27,State,Uttarakhand,1157,387,45,32,82,210,401,3193,1565,1547,81
28,State,West Bengal,6218,2446,762,1561,773,436,240,8637,5063,3454,120
State,State,Total (States),127936,52703,6336,35489,8195,9821,15392,309778,128808,133568,47402
29,Union Territory,A & N Islands,327,210,12,56,9,17,23,25,0,0,25
30,Union Territory,Chandigarh,303,135,12,99,35,18,4,1765,374,1326,65
31,Union Territory,D & N Haveli,62,26,2,0,30,0,4,136,96,40,0
32,Union Territory,Daman & Diu,54,31,1,9,1,1,11,199,94,103,2
33,Union Territory,Delhi,5321,3014,260,1248,0,0,799,18809,2065,12455,4289
34,Union Territory,Lakshadweep,37,23,1,13,0,0,0,222,42,140,40
35,Union Territory,Puducherry,346,182,12,117,0,0,35,896,442,436,18
Union Territory,Union Territory,Total (UTs),6450,3621,300,1542,75,36,876,22052,3113,14500,4439
Total (All-India),Total (All-India),Total (All-India),134386,56324,6636,37031,8270,9857,16268,331830,131921,148068,51841
