Category (Col. 1),States/ UTs (Col. 2),Number of Police Stations (Col. 3) - 0-60 Cases,Number of Police Stations (Col. 4) - 61-100 Cases,Number of Police Stations (Col. 5) - 101-200 Cases,Number of Police Stations (Col. 6) - 201-300 Cases,Number of Police Stations (Col. 7) - 301-400 Cases,Number of Police Stations (Col. 8) - 401-500 Cases,Number of Police Stations (Col. 9) - 501-1000 Cases,Number of Police Stations (Col. 10) - 1001 and Above,Number of Police Stations (Col. 11) - Total (3 to 10)
State,Andhra Pradesh,295,389,561,237,98,26,31,22,1659
State,Arunachal Pradesh,60,4,3,2,0,0,0,0,69
State,Assam,36,46,107,66,24,18,12,4,313
State,Bihar,144,187,264,121,60,34,16,1,827
State,Chhattisgarh,66,37,146,62,40,24,9,1,385
State,Goa,5,7,9,3,0,1,0,0,25
State,Gujarat,89,86,97,63,33,28,57,47,500
State,Haryana,15,18,59,40,34,28,36,8,238
State,Himachal Pradesh,18,17,32,16,10,6,3,0,102
State,Jammu & Kashmir,44,39,55,28,10,0,4,3,183
State,Jharkhand,160,111,66,55,21,10,2,0,425
State,Karnataka,83,103,281,216,119,58,19,0,879
State,Kerala,17,8,34,56,54,45,170,77,461
State,Madhya Pradesh,85,106,243,190,122,73,105,22,946
State,Maharashtra,154,152,284,180,103,58,61,10,1002
State,Manipur,55,6,15,4,6,2,2,1,91
State,Meghalaya,20,10,6,3,0,0,0,0,39
State,Mizoram,24,4,8,0,0,1,1,0,38
State,Nagaland,34,7,3,1,1,0,0,0,46
State,Orissa,106,112,181,87,28,11,3,6,534
State,Punjab,20,54,117,64,19,5,10,0,289
State,Rajasthan,28,67,225,163,107,76,80,0,746
State,Sikkim,23,3,2,0,0,0,0,0,28
State,Tamil Nadu,160,77,177,168,175,117,274,122,1270
State,Tripura,30,15,11,7,1,0,0,0,64
State,Uttar Pradesh,72,143,264,258,220,196,211,111,1475
State,Uttarakhand,20,18,11,19,9,15,24,9,125
State,West Bengal,91,84,129,87,49,25,18,0,483
State,Total (States),1954,1910,3390,2196,1343,857,1148,444,13242
Union Territory,A & N Islands,3,6,5,4,0,1,0,2,21
Union Territory,Chandigarh,0,0,0,4,3,2,2,0,11
Union Territory,D & N Haveli,0,0,1,0,1,0,0,0,2
Union Territory,Daman & Diu,2,1,0,0,0,0,0,0,3
Union Territory,Delhi,10,14,32,31,36,25,21,0,169
Union Territory,Lakshadweep,9,0,0,0,0,0,0,0,9
Union Territory,Puducherry,11,0,16,5,4,2,4,0,42
Union Territory,Total (UTs),35,21,54,44,44,30,27,2,257
Total (All-India),Total (All-India),1989,1931,3444,2240,1387,887,1175,446,13499
