Sr. No.,Category,States/ UTs,Incidence,Percentage Contribution to All-India Total,Estimated Mid Year Population (In Lakhs)#,Rate of Total Cognizable Crimes,Rank as per rate of Total Cognizable Crimes,Rank as per Percentage Share
1,State,Andhra Pradesh,4504,13.4,833,5.4,2,3
2,State,Arunachal Pradesh,0,0,12.2,0,NA,NA
3,State,Assam,0,0,305.3,0,NA,NA
4,State,Bihar,3836,11.4,957.5,4,5,4
5,State,Chhattisgarh,466,1.4,241.6,1.9,13,13
6,State,Goa,3,0,16.9,0.2,24,23
7,State,Gujarat,1182,3.5,574.4,2.1,11,9
8,State,Haryana,303,0.9,242.4,1.2,16,14
9,State,Himachal Pradesh,88,0.3,66.3,1.3,15,16
10,State,Jammu & Kashmir,1,0,129.1,0,26,26
11,State,Jharkhand,631,1.9,305.4,2.1,10,11
12,State,Karnataka,2174,6.5,582,3.7,7,6
13,State,Kerala,467,1.4,346.6,1.3,14,12
14,State,Madhya Pradesh,3040,9,709,4.3,3,5
15,State,Maharashtra,1096,3.3,1087,1,18,10
16,State,Manipur,0,0,26.7,0,NA,NA
17,State,Meghalaya,0,0,25.8,0,NA,NA
18,State,Mizoram,0,0,10,0,NA,NA
19,State,Nagaland,0,0,22.2,0,NA,NA
20,State,Odisha,1709,5.1,404.3,4.2,4,7
21,State,Punjab,108,0.3,269.8,0.4,20,15
22,State,Rajasthan,4985,14.8,660.6,7.5,1,2
23,State,Sikkim,16,0,6,2.6,8,21
24,State,Tamil Nadu,1312,3.9,671.1,2,12,8
25,State,Tripura,7,0,35.7,0.2,22,22
26,State,Uttar Pradesh,7522,22.4,1955.2,3.8,6,1
27,State,Uttarakhand,58,0.2,96.8,0.6,19,17
28,State,West Bengal,21,0.1,892.1,0,25,20
State,State,Total (States),33529,99.8,11485.1,2.9,NA,NA
29,Union Territory,Andaman & Nicobar Islands,0,0,4.2,0,NA,NA
30,Union Territory,Chandigarh,0,0,11,0,NA,NA
31,Union Territory,Dadra Nagar Haveli,1,0,2.8,0.4,21,25
32,Union Territory,Daman & Diu,2,0,1.9,1,17,24
33,Union Territory,Delhi,33,0.1,177.8,0.2,23,18
34,Union Territory,Lakshadweep,0,0,0.7,0,NA,NA
35,Union Territory,Pondicherry,29,0.1,11,2.6,9,19
Union Territory,Union Territory,Total (UTs),65,0.2,209.4,0.3,NA,NA
Total (All-India),Total (All-India),Total (All-India),33594,100,11694.4,2.9,NA,NA
