Category (Col. 1),States/ UTs (Col. 2),Total No. of Cases for Investigation Including Pending Cases from previous year (Col. 3),Cases Withdrawn by Govt. (Col. 4),No. of Cases in Which (Col. 5) - Investigaon Refused,No. of Cases in Which - Investigation Completed (Col. 6) - Charge Found False /Mistake of Fact or Law Etc,No. of Cases in Which - Investigation Completed (Col. 7) - Final Report True Submitted,No. of Cases in Which - Investigation Completed (Col. 8) - Charge Sheets Submitted,No. of Cases in Which - Investigation Completed (Col. 9) - Total = Col.{(6)+(7)+(8)},No. Cases Pending Investigation at the end of the year (Col. 10),Pending Percentage (Col. 11),Percentage of Pendency to All India Total (Col. 12),ChargeSheeting Rate (Col. 13) = Col. {(8)/(7)+ (8)} × 100
State,Andhra Pradesh,2340,0,0,168,87,1267,1522,818,35,8.9,93.6
State,Arunachal Pradesh,40,0,0,0,1,29,30,10,25,0.1,96.7
State,Assam,273,0,0,1,33,77,111,162,59.3,1.8,70
State,Bihar,1680,0,0,47,126,598,771,909,54.1,9.8,82.6
State,Chhattisgarh,1383,0,0,15,37,1273,1325,58,4.2,0.6,97.2
State,Goa,181,0,0,2,18,63,83,98,54.1,1.1,77.8
State,Gujarat,1128,3,7,17,245,677,939,179,15.9,1.9,73.4
State,Haryana,409,0,0,71,31,235,337,72,17.6,0.8,88.3
State,Himachal Pradesh,311,0,0,36,22,182,240,71,22.8,0.8,89.2
State,Jammu & Kashmir,30,0,0,4,3,8,15,15,50,0.2,72.7
State,Jharkhand,97,0,0,4,12,51,67,30,30.9,0.3,81
State,Karnataka,427,1,3,12,53,260,325,98,23,1.1,83.1
State,Kerala,1074,0,0,17,21,513,551,523,48.7,5.7,96.1
State,Madhya Pradesh,4768,0,1,3,229,4315,4547,220,4.6,2.4,95
State,Maharashtra,4211,0,0,53,461,2280,2794,1417,33.6,15.3,83.2
State,Manipur,273,0,0,0,14,1,15,258,94.5,2.8,6.7
State,Meghalaya,298,0,0,0,19,40,59,239,80.2,2.6,67.8
State,Mizoram,14,0,0,0,0,12,12,2,14.3,0,100
State,Nagaland,6,0,0,0,0,1,1,5,83.3,0.1,100
State,Odisha,255,0,0,2,0,164,166,89,34.9,1,100
State,Punjab,995,0,0,138,96,368,602,393,39.5,4.3,79.3
State,Rajasthan,1493,0,0,486,196,719,1401,92,6.2,1,78.6
State,Sikkim,107,0,0,0,17,29,46,61,57,0.7,63
State,Tamil Nadu,948,0,7,25,70,501,596,345,36.4,3.7,87.7
State,Tripura,228,0,0,0,11,106,117,111,48.7,1.2,90.6
State,Uttar Pradesh,3586,0,0,355,659,2224,3238,348,9.7,3.8,77.1
State,Uttarakhand,35,0,0,1,7,25,33,2,5.7,0,78.1
State,West Bengal,973,0,0,15,86,225,326,647,66.5,7,72.3
State,Total (States),27563,4,18,1472,2554,16243,20269,7272,26.4,78.7,86.4
Union Territory,Andaman & Nicobar Islands,59,0,0,0,10,29,39,20,33.9,0.2,74.4
Union Territory,Chandigarh,114,0,0,13,13,36,62,52,45.6,0.6,73.5
Union Territory,Dadra Nagar Haveli,24,0,0,0,0,11,11,13,54.2,0.1,100
Union Territory,Daman & Diu,6,0,0,0,1,1,2,4,66.7,0,50
Union Territory,Delhi,4169,89,45,524,733,905,2162,1873,44.9,20.3,55.3
Union Territory,Lakshadweep,0,0,0,0,0,0,0,0,0,0,0
Union Territory,Pondicherry,40,0,3,2,5,26,33,4,10,0,83.9
Union Territory,Total (UTs),4412,89,48,539,762,1008,2309,1966,44.6,21.3,56.9
Total (All-India),Total (All-India),31975,93,66,2011,3316,17251,22578,9238,28.9,100,83.9
