Sr. No.,Category,States/ UTs,Total No. of Persons Under Arrest* Including those from Previous Year,Number of - Persons Released Before Trial,Number of - Persons Charge Sheeted,Number of - Persons Under Investigation at the end of the Year,Pendency Percentage,Percentage of Pendency to All India Total
1,State,Andhra Pradesh,305724,7047,223684,74993,24.5,10.2
2,State,Arunachal Pradesh,3783,768,1686,1329,35.1,0.2
3,State,Assam,141351,31086,36796,73469,52,10
4,State,Bihar,327473,4757,181510,141206,43.1,19.1
5,State,Chhattisgarh,71403,297,67407,3699,5.2,0.5
6,State,Goa,5503,418,2428,2657,48.3,0.4
7,State,Gujarat,168079,14,154274,13791,8.2,1.9
8,State,Haryana,74297,15,66797,7485,10.1,1
9,State,Himachal Pradesh,22309,138,18655,3516,15.8,0.5
10,State,Jammu & Kashmir,33493,0,33362,131,0.4,0
11,State,Jharkhand,74181,577,47906,25698,34.6,3.5
12,State,Karnataka,172345,4344,143590,24411,14.2,3.3
13,State,Kerala,191684,45,164819,26820,14,3.6
14,State,Madhya Pradesh,334916,23,330535,4358,1.3,0.6
15,State,Maharashtra,382495,4379,288547,89569,23.4,12.1
16,State,Manipur,2940,933,60,1947,66.2,0.3
17,State,Meghalaya,5531,288,1754,3489,63.1,0.5
18,State,Mizoram,3347,0,2831,516,15.4,0.1
19,State,Nagaland,2072,517,672,883,42.6,0.1
20,State,Orissa,91004,0,78940,12064,13.3,1.6
21,State,Punjab,72315,2168,41833,28314,39.2,3.8
22,State,Rajasthan,190943,1,189989,953,0.5,0.1
23,State,Sikkim,1209,184,692,333,27.5,0
24,State,Tamil Nadu,260590,2630,199882,58078,22.3,7.9
25,State,Tripura,9610,2073,5800,1737,18.1,0.2
26,State,Uttar Pradesh,311121,55953,224909,30259,9.7,4.1
27,State,Uttarakhand,13191,327,11286,1578,12,0.2
28,State,West Bengal,179704,13657,90277,75770,42.2,10.3
State,State,Total (States),3452613,132639,2610921,709053,20.5,96.1
29,Union Territory,A & N Islands,1559,0,1066,493,31.6,0.1
30,Union Territory,Chandigarh,4175,497,1530,2148,51.4,0.3
31,Union Territory,D & N Haveli,859,10,572,277,32.2,0
32,Union Territory,Daman & Diu,658,25,358,275,41.8,0
33,Union Territory,Delhi,64643,3391,37050,24202,37.4,3.3
34,Union Territory,Lakshadweep,422,19,159,244,57.8,0
35,Union Territory,Puducherry,8049,1,7132,916,11.4,0.1
Union Territory,Union Territory,Total (UTs),80365,3943,47867,28555,35.5,3.9
Total (All-India),Total (All-India),Total (All-India),3532978,136582,2658788,737608,20.9,100
