Category (Col.1),States/ UTs (Col.2),District / Session Judge - Duration of Trial (Col.3) - Less than 6 Months,District / Session Judge - Duration of Trial (Col. 4) - 6-12 Months,District / Session Judge - Duration of Trial (Col. 5) - 1-3 Years,District / Session Judge - Duration of Trial (Col. 6) - 3-5 Years,District / Session Judge - Duration of Trial (Col. 7) - 5-10 Years,District / Session Judge - Duration of Trial (Col. 8) - Over 10 Years,District / Session Judge - Duration of Trial (Col. 9) - Total = Col. (3 to 8),Additional Session Judge - Duration of Trial (Col. 10) - Less than 6 Months,Additional Session Judge - Duration of Trial (Col. 11) - 6-12 Months,Additional Session Judge - Duration of Trial (Col. 12) - 1-3 Years,Additional Session Judge - Duration of Trial (Col. 13) - 3-5 Years,Additional Session Judge - Duration of Trial (Col. 14) - 5-10 Years,Additional Session Judge - Duration of Trial (Col. 15) - Over 10 Years,Additional Session Judge - Duration of Trial (Col.16) - Total = Col. (10 to 15),Chief Judicial Magistrate - Duration of Trial (Col. 17) - Less than 6 Months,Chief Judicial Magistrate - Duration of Trial (Col. 18) - 6-12 Months,Chief Judicial Magistrate - Duration of Trial (Col. 19) - 1-3 Years,Chief Judicial Magistrate - Duration of Trial (Col. 20) - 3-5 Years,Chief Judicial Magistrate - Duration of Trial (Col. 21) - 5-10 Years,Chief Judicial Magistrate - Duration of Trial (Col. 22) - Over 10 Years,Chief Judicial Magistrate - Duration of Trial (Col. 23) - Total = Col. (17 to 22),Judicial Magistrate (I) - Duration of Trial (Col. 24) - Less than 6 Months,Judicial Magistrate (I) - Duration of Trial (Col. 25) - 6-12 Months,Judicial Magistrate (I) - Duration of Trial (Col. 26) - 1-3 Years,Judicial Magistrate (I) - Duration of Trial (Col. 27) - 3-5 Years,Judicial Magistrate (I) - Duration of Trial (Col. 28) - 5-10 Years,Judicial Magistrate (I) - Duration of Trial (Col. 29) - Over 10 Years,Judicial Magistrate (I) - Duration of Trial (Col. 30) - Total = Col. (24 to 29),Judicial Magistrate (II) - Duration of Trial (Col. 31) - Less than 6 Months,Judicial Magistrate (II) - Duration of Trial (Col. 32) - 6-12 Months,Judicial Magistrate (II) - Duration of Trial (Col. 33) - 1-3 Years,Judicial Magistrate (II) - Duration of Trial (Col. 34) - 3-5 Years,Judicial Magistrate (II) - Duration of Trial (Col. 35) - 5-10 Years,Judicial Magistrate (II) - Duration of Trial (Col. 36) - Over 10 Years,Judicial Magistrate (II) - Duration of Trial (Col. 37) - Total = Col. (31 to 36),Special Judicial Magistrate - Duration of Trial (Col. 38) - Less than 6 Months,Special Judicial Magistrate - Duration of Trial (Col. 39) - 6-12 Months,Special Judicial Magistrate - Duration of Trial (Col. 40) - 1-3 Years,Special Judicial Magistrate - Duration of Trial (Col. 41) - 3-5 Years,Special Judicial Magistrate - Duration of Trial (Col. 42) - 5-10 Years,Special Judicial Magistrate - Duration of Trial (Col. 43) - Over 10 Years,Special Judicial Magistrate - Duration of Trial (Col. 44) - Total = Col. (38 to 43),Other Type of Courts - Duration of Trial (Col. 45) - Less than 6 Months,Other Type of Courts - Duration of Trial (Col. 46) - 6-12 Months,Other Type of Courts - Duration of Trial (Col. 47) - 1-3 Years,Other Type of Courts - Duration of Trial (Col. 48) - 3-5 Years,Other Type of Courts - Duration of Trial (Col. 49) - 5-10 Years,Other Type of Courts - Duration of Trial (Col. 50) - Over 10 Years,Other Type of Courts - Duration of Trial (Col. 51) - Total = Col. (45 to 50),Sum of All Type of Courts - Duration of Trial (Col. 52) - Less than 6 Months,Sum of All Type of Courts - Duration of Trial (Col. 53) - 6-12 Months,Sum of All Type of Courts - Duration of Trial (Col. 54) - 1-3 Years,Sum of All Type of Courts - Duration of Trial (Col. 55) - 3-5 Years,Sum of All Type of Courts - Duration of Trial (Col. 56) - 5-10 Years,Sum of All Type of Courts - Duration of Trial (Col. 57) - Over 10 Years,Sum of All Type of Courts - Duration of Trial (Col. 58) - Total = Col. (52 to 57)
State,Manipur,0,0,2,2,1,1,6,1,0,0,5,0,1,7,0,2,4,0,3,2,11,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,2,2,6,7,4,5,26
State,Meghalaya,0,0,8,3,4,1,16,0,0,0,3,5,9,17,0,0,8,20,5,0,33,2,24,85,44,13,29,197,0,0,11,21,8,0,40,0,0,89,89,8,0,186,7,10,10,18,5,0,50,9,34,211,198,48,39,539
State,Mizoram,170,30,4,0,0,0,204,166,42,23,0,0,0,231,757,286,92,19,0,0,1154,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1093,358,119,19,0,0,1589
State,Nagaland,37,39,17,10,2,0,105,9,12,14,3,1,0,39,13,24,23,21,11,0,92,40,66,48,28,0,44,226,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,7,28,32,20,15,104,101,148,130,94,34,59,566
State,Odisha,18,57,344,367,120,32,938,6,99,664,494,343,122,1728,30,139,552,457,169,37,1384,1024,1778,4565,2215,1602,311,11495,47,585,1542,780,343,62,3359,134,309,800,714,544,98,2599,80,845,1674,1089,248,78,4014,1339,3812,10141,6116,3369,740,25517
State,Punjab,41,332,630,468,98,24,1593,63,372,1209,621,203,20,2488,289,543,1568,743,139,11,3293,632,1002,2650,1215,816,101,6416,153,390,971,670,191,8,2383,30,29,173,111,29,0,372,200,352,1061,467,172,129,2381,1408,3020,8262,4295,1648,293,18926
State,Rajasthan,67,177,809,735,461,164,2413,161,691,1900,1481,654,134,5021,500,1508,3313,2424,1277,298,9320,1589,3689,6978,5101,1923,307,19587,1160,1805,2943,3210,1412,458,10988,169,334,1283,938,434,130,3288,502,1508,2849,2797,1467,731,9854,4148,9712,20075,16686,7628,2222,60471
State,Sikkim,0,10,25,2,0,0,37,0,0,0,0,0,0,0,10,105,178,5,0,0,298,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,115,203,7,0,0,335
State,Tamil Nadu,123,259,798,458,191,75,1904,330,389,949,543,321,83,2615,268,444,624,444,206,52,2038,13174,15875,17783,7700,2114,439,57085,8627,12328,10842,4795,1470,413,38475,741,1630,1203,688,261,43,4566,448,998,989,283,138,8,2864,23711,31923,33188,14911,4701,1113,109547
State,Tripura,0,19,141,28,5,3,196,0,31,153,50,9,3,246,0,66,260,42,34,3,405,0,173,451,194,25,2,845,0,43,119,58,1,0,221,0,34,60,16,4,0,114,0,12,58,3,1,1,75,0,378,1242,391,79,12,2102
State,Uttar Pradesh,0,372,1855,2965,2882,779,8853,0,754,3678,4858,3571,2116,14977,84,144,4327,6853,5203,846,17457,110,764,5569,5636,3590,408,16077,139,572,5372,5474,4458,478,16493,78,507,6488,4445,1324,317,13159,186,309,9347,3594,196,75,13707,597,3422,36636,33825,21224,5019,100723
State,Uttarakhand,5,72,186,76,28,2,369,15,43,103,53,34,29,277,169,256,543,244,125,27,1364,168,400,913,130,49,0,1660,27,105,20,11,4,0,167,19,15,82,28,7,0,151,2,10,35,16,0,0,63,405,901,1882,558,247,58,4051
State,West Bengal,10,140,290,221,319,143,1123,1313,619,1121,687,565,247,4552,1278,412,866,641,490,195,3882,1298,491,854,779,566,368,4356,1236,597,903,1050,877,266,4929,118,218,389,415,271,94,1505,954,463,742,487,366,399,3411,6207,2940,5165,4280,3454,1712,23758
State,Total (States),2282,5199,13276,12220,9170,2912,45059,4181,8392,27290,21874,13886,5431,81054,19247,24711,45013,33325,18522,4667,145485,56828,81452,132156,89897,40749,9569,410651,29562,39958,60066,37940,18954,3900,190380,4472,7462,18850,11688,4754,1197,48423,8813,12837,30056,17036,8292,3019,80053,125385,180011,326707,223980,114327,30695,1001105
Union Territory,Andaman & Nicobar Islands,0,0,2,6,12,2,22,0,0,0,0,0,0,0,5,5,6,5,1,2,24,0,2,11,11,24,5,53,1,2,14,12,18,1,48,0,0,0,0,0,0,0,0,0,2,0,0,0,2,6,9,35,34,55,10,149
Union Territory,Chandigarh,0,1,11,4,0,0,16,23,18,44,13,3,2,103,32,41,92,83,32,5,285,120,112,215,218,317,34,1016,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,175,172,362,318,352,41,1420
Union Territory,Dadra Nagar Haveli,0,4,5,3,0,0,12,0,0,0,0,0,0,0,14,24,23,27,37,6,131,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,3,14,28,29,32,37,6,146
Union Territory,Daman & Diu,0,0,2,2,0,0,4,0,0,0,0,0,0,0,3,11,25,35,30,8,112,0,5,24,14,7,0,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,16,51,51,37,8,166
Union Territory,Delhi,0,0,28,95,57,6,186,84,91,598,754,160,135,1822,465,668,436,1278,58,6,2911,1751,1792,3783,3574,986,190,12076,350,224,865,1113,112,71,2735,0,0,0,0,0,0,0,33,81,42,188,253,26,623,2683,2856,5752,7002,1626,434,20353
Union Territory,Lakshadweep,0,0,0,4,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,18,33,8,2,0,70,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,18,33,12,2,0,74
Union Territory,Pondicherry,0,0,11,21,7,3,42,0,10,19,1,1,1,32,112,78,47,34,1,0,272,368,533,328,77,4,0,1310,105,322,121,160,3,1,712,0,0,0,0,0,0,0,0,0,0,0,0,0,0,585,943,526,293,16,5,2368
Union Territory,Total (UTs),0,5,59,135,76,11,286,107,119,661,768,164,138,1957,631,827,629,1462,159,27,3735,2248,2462,4394,3902,1340,229,14575,456,548,1000,1285,133,73,3495,0,0,0,0,0,0,0,33,81,45,190,253,26,628,3475,4042,6788,7742,2125,504,24676
Total (All-India),Total (All-India),2282,5204,13335,12355,9246,2923,45345,4288,8511,27951,22642,14050,5569,83011,19878,25538,45642,34787,18681,4694,149220,59076,83914,136550,93799,42089,9798,425226,30018,40506,61066,39225,19087,3973,193875,4472,7462,18850,11688,4754,1197,48423,8846,12918,30101,17226,8545,3045,80681,128860,184053,333495,231722,116452,31199,1025781
