Sr. No.,Crime Head,Total No. Persons under Arrest Including those from Previous Year,Persons Released Before Trial - No.,Persons Released Before Trial - Percentage to Total,Persons Charge Sheeted - No.,Persons Charge Sheeted - Percentage to Total,Persons Under Investigation at the end of the Year - No.,Persons Under Investigation at the end of the Year - Percentage to Total
1,Murder (sec. 302 IPC),388,2,0.5,311,80.2,75,19.3
2,Rape (sec.376 IPC),884,4,0.5,775,87.7,105,11.9
3,"Kidnapping & Abduction (sec. 363-369, 371-373 IPC)",151,2,1.3,126,83.4,23,15.2
4,Dacoity (sec.395-398 IPC),34,6,17.6,21,61.8,7,20.6
5,"Robbery (392-394, 397, 398 IPC)",45,2,4.4,35,77.8,8,17.8
6,"Arson (sec.435, 436, 438 IPC)",69,4,5.8,47,68.1,18,26.1
7,"Hurt (sec.323-333, 335-338 IPC)",1551,15,1,1378,88.8,158,10.2
8,"PCR Act, 1955 for STs",10,0,0,8,80,2,20
9,"SC/ST Prev. of Atrocities Act, 1989 for STs",1989,35,1.8,1459,73.4,495,24.9
10,Other Crimes against STs,4375,49,1.1,3923,89.7,403,9.2
11,Total,9496,119,1.3,8083,85.1,1294,13.6
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
8,,,,,,,,
