Sr. No.,Category,States/ UTs,Murder (Sec.302 IPC),Attempt to Commit Murder (Sec. 307 IPC),"C.h. Not Amounting to Murder (Sec.304, 308 IPC)",Rape (Sec. 376 IPC) - Total,Rape (Sec. 376 IPC) - Custodial,Rape (Sec. 376 IPC) - Other,"Kidnapping & Abduction (Sec.363-369,371-373 IPC) - Total","Kidnapping & Abduction (Sec.363-369,371-373 IPC) - of Women","Kidnapping & Abduction (Sec.363-369,371-373 IPC) - of Others",Dacoity (Sec.395-398 IPC),Preparation & Assembly for Dacoity (Sec.399-402 IPC),"Robbery (Sec. 392-394,397,398 IPC)","Burglary (Sec. 449-452,454,455,457-460 IPC)",Theft (Sec.379 – 382 IPC) - Total,Theft (Sec.379 – 382 IPC) - Auto Theft,Theft (Sec.379 – 382 IPC) - Other Theft,"Riots (Sec.143-145, 147-151, 153, 153A,153B,157,158,160 IPC)",Criminal Breach of Trust (Sec.406-409 IPC),"Cheating (Sec.419,420 IPC)","Counterfeiting (Sec.231-254, 489A-489D IPC)","Arson (Sec.435,436,438 IPC)","Hurt(Sec.323-333,335-338 IPC)",Dowry Death (Sec. 304B IPC),Molestation (Sec. 354 IPC),Sexual Harassment (Sec.509 IPC),Cruelty by Husband and Relatives (Sec. 498A IPC),Importation of Girls (Sec.366B IPC),Causing Death by Negligence (Sec. 304A IPC),Other IPC Crimes,Total Cognizable Crimes Under IPC
1,State,Andhra Pradesh,19.5,14.6,8.2,12.2,NA,12.2,7.9,6.3,13.2,17.7,20,22.2,41.7,40.5,41.2,40.1,8.7,11.5,17,17.5,11.5,38.3,14.1,11.1,28,10.7,NA,22.9,43.9,33.3
2,State,Arunachal Pradesh,0,40,NA,60,NA,60,40,44.4,0,0,NA,72.7,58.7,64.4,71.4,63.9,NA,100,40,NA,NA,63.4,NA,60,NA,50,NA,50,54.3,58.2
3,State,Assam,30.5,35.9,33.3,25.7,NA,25.7,19.9,19.4,22.5,26.2,0,21.9,24.4,22,33.5,20,13.8,20.6,20.1,11.1,20,19.7,45.5,20.1,33.3,20.3,NA,34.3,18.4,21.1
4,State,Bihar,32.1,16.5,17.1,24.1,NA,24.1,19.6,17.8,21.2,20.2,27.4,17.4,19,20.7,25.6,19.8,12.8,23.6,21,29.5,23.1,14.4,23.6,16,0,12.9,66.7,19.1,17.8,18
5,State,Chhattisgarh,41.4,29.9,26.9,26.4,NA,26.4,31,33.1,20.8,24.3,50,33.6,30.6,33.5,40.2,31.3,29.9,40.2,33.6,40.6,23.9,42.6,30.7,31.2,28.3,13.2,NA,28.3,63.3,48.4
6,State,Goa,32.4,7.7,0,28,NA,28,11.8,0,40,0,NA,21.4,25.8,24.4,26.3,23.6,11.3,9.1,8.7,25,0,15.3,0,25,0,0,NA,19.1,35.8,26.2
7,State,Gujarat,27.1,13.1,0,18,NA,18,13.4,12.5,19.6,7.1,0,10.4,7.5,19,16.1,20.2,16.5,10.8,11.2,50,4.9,9.6,0,8.2,20.6,3.5,NA,15.6,55.9,41.1
8,State,Haryana,41.5,29.1,19,26.3,NA,26.3,26.2,26.1,26.6,30.3,34.2,31.9,46.8,52.2,52.9,51.6,13.4,23.2,18.2,57.1,20.9,19.9,26.6,28.2,72.3,10.8,NA,21.5,41,36.3
9,State,Himachal Pradesh,46.3,26.9,41.7,24.6,NA,24.6,10.6,11.4,0,20,0,11.1,17.7,19.4,22.7,18.5,11.3,18.8,16.1,75,4.2,16.7,25,13.5,11.1,5.7,NA,14.7,29.4,24.5
10,State,Jammu & Kashmir,15.7,6.2,6.7,5.8,NA,5.8,3,2.9,7.1,0,NA,2.3,6.7,4.9,10.3,4.7,6.9,10.5,3.8,0,3.2,23.4,12.5,15.8,40.4,9.5,NA,41.7,67.6,46.3
11,State,Jharkhand,38.6,27.2,29.4,40.7,NA,40.7,29.1,30.4,27,26.4,37.9,29.3,37.5,28.9,42.7,24.1,26.3,33.2,38.6,45.8,30.9,24,34.5,25.2,52.4,42.4,50,25.6,32.8,31
12,State,Karnataka,13.5,9.3,4.9,9.6,NA,9.6,3,3.5,2.5,6.4,7.7,13.5,17.6,20.2,24.8,18.2,3.3,6.5,10.2,16.1,0.8,2.9,8.3,6.7,5.6,5,NA,6.7,58.1,35.7
13,State,Kerala,38.7,14.6,18.4,15.8,NA,15.8,6.8,9,2.3,20.8,42.5,30.1,39.5,34.5,35.8,34.2,22.3,7,13.2,40.5,7.1,10,9.5,11.5,29,7.3,NA,14.3,79.3,57.1
14,State,Madhya Pradesh,44.4,37.8,33.9,24.7,NA,24.7,30.7,29.8,33.1,38.2,28.4,34,32.5,35.3,41.6,33.6,37.2,46.8,36.4,37.9,26.9,43.1,38.6,37,52.6,36.1,NA,62.9,53.8,47.4
15,State,Maharashtra,30.1,19.5,14.3,19.1,NA,19.1,10.6,9.6,14,7.8,5.1,13.6,15.8,19.6,19.2,19.6,4.1,8.8,9.9,26.5,7.8,5.6,13.5,9.2,4.9,2.9,NA,6.3,8.3,9.6
16,State,Manipur,20,66.7,NA,NA,NA,NA,100,NA,100,NA,NA,NA,NA,66.7,NA,66.7,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,12.5,26.9
17,State,Meghalaya,64.3,25,25,30.4,NA,30.4,0,0,0,13.3,NA,35.3,40,53.5,15.4,59.1,0,0,0,33.3,0,14.8,NA,18.8,100,33.3,NA,61.9,46.7,38.8
18,State,Mizoram,91.7,88.9,83.3,87.9,NA,87.9,100,100,100,100,NA,100,88.5,91.1,86.4,91.5,100,94.6,88.9,100,88,92.9,NA,85.5,NA,100,NA,94.7,93.4,91
19,State,Nagaland,68,88.9,87.5,90.9,NA,90.9,76.2,100,75,NA,NA,78.1,82.5,84.7,88.1,83.3,33.3,85.7,85.7,100,16.7,78.3,NA,88.9,NA,100,NA,77.1,80.6,80.7
20,State,Odisha,29.8,18.2,16.2,21.7,NA,21.7,15.2,14.5,19.6,13.2,20,15.8,13.5,13.2,16.3,12.2,15.7,15.1,16.2,16.7,9.8,12.7,18.2,8.8,11.2,15.4,NA,16.8,10.4,13.2
21,State,Punjab,49.4,31.7,42.5,34,NA,34,20,17.7,29.2,24.1,29.2,37.2,57,50.4,58.8,45.1,0,29.6,22.9,48,35.3,20.3,50.4,33.5,40.6,36.5,NA,33.8,38.6,35
22,State,Rajasthan,53.3,52.9,51.3,36.5,NA,36.5,34.8,33.1,38.9,41.4,55.9,46.3,49.7,57.6,64.2,55,57.2,43.8,42.5,54.2,38.4,66.3,40.8,58.3,60,45,NA,52.5,64.7,60.7
23,State,Sikkim,60,22.2,0,29.4,NA,29.4,60,50,100,NA,NA,100,81.8,64.7,100,60,100,NA,80,NA,50,35.8,NA,75,NA,100,NA,76.9,33.3,46
24,State,Tamil Nadu,40.6,27.8,9.5,22.4,NA,22.4,17.2,18.5,14.2,35.4,6.5,35.6,61.7,63.2,67,62.1,20.4,23,27.9,26.9,20.4,46,19,36.3,57.3,20.8,NA,40.3,70.8,62.1
25,State,Tripura,50,31.6,0,25,NA,25,12.5,15.8,5.6,0,0,3.1,15.2,15.7,20,15.1,4.4,25,16,30,15,10.6,33.3,10.1,0,10.4,NA,4.7,11.3,12.7
26,State,Uttar Pradesh,47.2,45.5,51.8,46,NA,46,50.7,50.1,53.7,53.4,53.3,51.3,49.2,56.2,56.8,55.9,50.3,51.4,51.6,61.7,50.9,51.1,49.3,70.5,74.3,50.9,NA,57.3,54.9,54
