Sr. No.,Category,States/ UTs/Cities,No. of Cases in Which Offenders were Known to the Victims,No. of Cases in Which Offenders were - Parents / Close Family Members,No. of Cases in Which Offenders were - Relatives,No. of Cases in Which Offenders were - Neighbour,No. of Cases in Which Offenders were - Other Known Persons
1,State,Andhra Pradesh,1188,2,36,335,815
2,State,Arunachal Pradesh,59,0,1,6,52
3,State,Assam,1620,9,220,689,702
4,State,Bihar,929,1,0,519,409
5,State,Chhattisgarh,976,24,127,323,502
6,State,Goa,43,1,3,16,23
7,State,Gujarat,419,18,14,111,276
8,State,Haryana,603,12,23,267,301
9,State,Himachal Pradesh,180,10,12,36,122
10,State,Jammu & Kashmir,237,4,10,41,182
11,State,Jharkhand,719,22,46,266,385
12,State,Karnataka,325,18,26,93,188
13,State,Kerala,568,18,38,147,365
14,State,Madhya Pradesh,2998,14,202,1254,1528
15,State,Maharashtra,1454,76,93,533,752
16,State,Manipur,31,0,0,13,18
17,State,Meghalaya,108,5,7,20,76
18,State,Mizoram,75,3,6,32,34
19,State,Nagaland,8,0,0,0,8
20,State,Odisha,959,6,74,258,621
21,State,Punjab,433,8,22,114,289
22,State,Rajasthan,1398,36,95,425,842
23,State,Sikkim,18,0,0,11,7
24,State,Tamil Nadu,569,4,66,171,328
25,State,Tripura,190,0,13,113,64
26,State,Uttar Pradesh,1759,2,83,485,1189
27,State,Uttarakhand,107,6,5,19,77
28,State,West Bengal,1828,3,237,651,937
State,State,Total (States),19801,302,1459,6948,11092
29,Union Territory,Andaman & Nicobar Islands,18,0,1,6,11
30,Union Territory,Chandigarh,29,0,0,4,25
31,Union Territory,Dadra Nagar Haveli,4,0,0,1,3
32,Union Territory,Daman & Diu,1,0,0,0,1
33,Union Territory,Delhi,456,19,32,215,190
34,Union Territory,Lakshadweep,1,0,0,0,1
35,Union Territory,Pondicherry,1,0,0,0,1
Union Territory,Union Territory,Total (UTs),510,19,33,226,232
Total (All-India),Total (All-India),Total (All-India),20311,321,1492,7174,11324
36,City,Agra,16,0,1,3,12
37,City,Ahmedabad,63,0,1,50,12
38,City,Allahabad,6,0,0,2,4
39,City,Amritsar,15,2,0,9,4
40,City,Asansol,13,0,0,2,11
41,City,Bengaluru,15,15,0,0,0
42,City,Bhopal,117,0,15,27,75
43,City,Chennai,19,0,0,0,19
44,City,Coimbatore,9,2,1,1,5
45,City,Delhi (city),391,19,26,180,166
46,City,Dhanbad,5,0,1,0,4
47,City,Faridabad,35,0,0,12,23
48,City,Hyderabad,47,0,0,0,47
49,City,Indore,44,0,0,32,12
50,City,Jabalpur,76,0,0,75,1
51,City,Jaipur,52,2,0,4,46
52,City,Jamshedpur,34,3,2,0,29
53,City,Kanpur,40,0,2,8,30
54,City,Kochi,20,0,0,1,19
55,City,Kolkata,42,1,2,14,25
56,City,Lucknow,30,0,2,18,10
57,City,Ludhiana,38,0,0,0,38
58,City,Madurai,0,0,0,0,0
59,City,Meerut,15,0,0,2,13
60,City,Mumbai,164,10,14,55,85
61,City,Nagpur,45,2,3,22,18
62,City,Nasik,24,1,0,0,23
63,City,Patna,24,0,5,18,1
64,City,Pune,67,0,5,46,16
65,City,Rajkot,2,2,0,0,0
66,City,Surat,28,0,2,8,18
67,City,Vadodara,6,0,0,0,6
68,City,Varanasi,5,0,1,2,2
69,City,Vijayawada,23,0,0,3,20
70,City,Vishakhapatnam,39,0,0,0,39
City,City,Total (Cities),1569,59,83,594,833
