Sr. No.,Category,States/ UTs,Total Cognizable Crimes Under IPC - Male,Total Cognizable Crimes Under IPC - Female,Total Cognizable Crimes Under IPC - Total,Percentage of Female to Total
1,State,Andhra Pradesh,218717,16203,234920,6.9
2,State,Arunachal Pradesh,2755,62,2817,2.2
3,State,Assam,68637,2990,71627,4.2
4,State,Bihar,196015,8990,205005,4.4
5,State,Chhattisgarh,63358,3712,67070,5.5
6,State,Goa,2887,237,3124,7.6
7,State,Gujarat,140741,13938,154679,9
8,State,Haryana,64181,2971,67152,4.4
9,State,Himachal Pradesh,16821,2178,18999,11.5
10,State,Jammu & Kashmir,31127,2292,33419,6.9
11,State,Jharkhand,48886,2672,51558,5.2
12,State,Karnataka,138636,11345,149981,7.6
13,State,Kerala,156544,5472,162016,3.4
14,State,Madhya Pradesh,315634,16344,331978,4.9
15,State,Maharashtra,265935,28818,294753,9.8
16,State,Manipur,1310,132,1442,9.2
17,State,Meghalaya,1625,52,1677,3.1
18,State,Mizoram,2016,23,2039,1.1
19,State,Nagaland,1057,46,1103,4.2
20,State,Orissa,75957,4638,80595,5.8
21,State,Punjab,43091,3171,46262,6.9
22,State,Rajasthan,176635,13362,189997,7
23,State,Sikkim,836,57,893,6.4
24,State,Tamil Nadu,191612,17065,208677,8.2
25,State,Tripura,8113,871,8984,9.7
26,State,Uttar Pradesh,275146,10140,285286,3.6
27,State,Uttarakhand,11355,474,11829,4
28,State,West Bengal,104227,9386,113613,8.3
State,State,Total (States),2623854,177641,2801495,6.3
29,Union Territory,A & N Islands,951,84,1035,8.1
30,Union Territory,Chandigarh,2272,82,2354,3.5
31,Union Territory,D & N Haveli,666,28,694,4
32,Union Territory,Daman & Diu,448,4,452,0.9
33,Union Territory,Delhi,35153,1110,36263,3.1
34,Union Territory,Lakshadweep,230,0,230,0
35,Union Territory,Puducherry,6157,345,6502,5.3
Union Territory,Union Territory,Total (UTs),45877,1653,47530,3.5
Total (All-India),Total (All-India),Total (All-India),2669731,179294,2849025,6.3
