Sr. No.,Category,States/ UTs,Estimated Mid-Year Population (In Lakhs)#,Murder (Sec. 302 IPC) (I),Murder (Sec. 302 IPC) ( R),Murder (Sec. 302 IPC) (P),Rape (Sec. 376 IPC) (I),Rape (Sec. 376 IPC) ( R),Rape (Sec. 376 IPC) (P),"Kidnapping & Abduction (Sec. 363-369, 371-373 IPC) (I)","Kidnapping & Abduction (Sec. 363-369, 371-373 IPC) ( R)","Kidnapping & Abduction (Sec. 363-369, 371-373 IPC) (P)",Dacoity (Sec. 395-398 IPC) (I),Dacoity (Sec. 395-398 IPC) ( R),Dacoity (Sec. 395-398 IPC) (P),"Robbery (Sec. 392-394, 397, 398 IPC) (I)","Robbery (Sec. 392-394, 397, 398 IPC) ( R)","Robbery (Sec. 392-394, 397, 398 IPC) (P)","Arson (Sec. 435, 436, 438 IPC) (I)","Arson (Sec. 435, 436, 438 IPC) ( R)","Arson (Sec. 435, 436, 438 IPC) (P)","Hurt (Sec. 323-333, 335-338 IPC) (I)","Hurt (Sec. 323-333, 335-338 IPC) ( R)","Hurt (Sec. 323-333, 335-338 IPC) (P)","Prot. of Civil Rights Act, 1955 (I)","Prot. of Civil Rights Act, 1955 ( R)","Prot. of Civil Rights Act, 1955 (P)","SC/ST Prev. of Attrocities Act, 1989 (I)","SC/ST Prev. of Attrocities Act, 1989 ( R)","SC/ST Prev. of Attrocities Act, 1989 (P)",Other Offences (I),Other Offences ( R),Other Offences (P),Total (I),Total ( R),Total (P)
12,State,Karnataka,582,38,0.1,6.1,39,0.1,2.9,6,0,1.2,0,0,0,3,0,4.3,0,0,0,262,0.5,5.9,10,0,6,1097,1.9,9.8,719,1.2,4.8,2174,3.7,6.5
13,State,Kerala,346.6,3,0,0.5,62,0.2,4.6,2,0,0.4,1,0,2.3,3,0,4.3,1,0,0.5,148,0.4,3.4,0,0,0,42,0.1,0.4,205,0.6,1.4,467,1.3,1.4
14,State,Madhya Pradesh,709,101,0.1,16.2,321,0.5,23.8,52,0.1,10.2,0,0,0,1,0,1.4,31,0,15.9,714,1,16.2,0,0,0,0,0,0,1820,2.6,12.1,3040,4.3,9
15,State,Maharashtra,1087,27,0,4.3,105,0.1,7.8,10,0,2,20,0,45.5,8,0,11.4,8,0,4.1,56,0.1,1.3,24,0,14.3,291,0.3,2.6,547,0.5,3.6,1096,1,3.3
16,State,Manipur,26.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
17,State,Meghalaya,25.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
18,State,Mizoram,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
19,State,Nagaland,22.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20,State,Odisha,404.3,25,0.1,4,63,0.2,4.7,33,0.1,6.4,5,0,11.4,14,0,20,16,0,8.2,390,1,8.8,0,0,0,652,1.6,5.9,511,1.3,3.4,1709,4.2,5.1
21,State,Punjab,269.8,3,0,0.5,11,0,0.8,2,0,0.4,0,0,0,0,0,0,0,0,0,12,0,0.3,0,0,0,71,0.3,0.6,9,0,0.1,108,0.4,0.3
22,State,Rajasthan,660.6,65,0.1,10.4,163,0.2,12.1,36,0.1,7,0,0,0,1,0,1.4,39,0.1,20,557,0.8,12.6,0,0,0,110,0.2,1,4014,6.1,26.6,4985,7.5,14.8
23,State,Sikkim,6,2,0.3,0.3,1,0.2,0.1,1,0.2,0.2,0,0,0,1,0.2,1.4,2,0.3,1,8,1.3,0.2,0,0,0,0,0,0,1,0.2,0,16,2.6,0
24,State,Tamil Nadu,671.1,27,0,4.3,11,0,0.8,8,0,1.6,0,0,0,1,0,1.4,4,0,2.1,105,0.2,2.4,2,0,1.2,1047,1.6,9.4,107,0.2,0.7,1312,2,3.9
25,State,Tripura,35.7,0,0,0,0,0,0,1,0,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0.1,0,3,0.1,0,7,0.2,0
26,State,Uttar Pradesh,1955.2,235,0.1,37.7,317,0.2,23.6,254,0.1,49.6,4,0,9.1,11,0,15.7,38,0,19.5,403,0.2,9.1,61,0,36.3,2554,1.3,22.9,3645,1.9,24.2,7522,3.8,22.4
27,State,Uttarakhand,96.8,2,0,0.3,9,0.1,0.7,2,0,0.4,0,0,0,0,0,0,0,0,0,12,0.1,0.3,0,0,0,33,0.3,0.3,0,0,0,58,0.6,0.2
28,State,West Bengal,892.1,0,0,0,0,0,0,1,0,0.2,0,0,0,0,0,0,0,0,0,4,0,0.1,0,0,0,10,0,0.1,6,0,0,21,0,0.1
State,State,Total (States),11485.1,624,0.1,100,1346,0.1,100,511,0,99.8,44,0,100,70,0,100,195,0,100,4410,0.4,100,140,0,83.3,11109,1,99.7,15080,1.3,100,33529,2.9,99.8
29,Union Territory,Andaman & Nicobar Islands,4.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
30,Union Territory,Chandigarh,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
31,Union Territory,Dadra Nagar Haveli,2.8,0,0,0,0,0,0,1,0.4,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.4,0
32,Union Territory,Daman & Diu,1.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,2,1,0
33,Union Territory,Delhi,177.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1.2,31,0.2,0.3,0,0,0,33,0.2,0.1
34,Union Territory,Lakshadweep,0.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
35,Union Territory,Pondicherry,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26,2.4,15.5,3,0.3,0,0,0,0,29,2.6,0.1
Union Territory,Union Territory,Total (UTs),209.4,0,0,0,0,0,0,1,0,0.2,0,0,0,0,0,0,0,0,0,0,0,0,28,0.1,16.7,34,0.2,0.3,2,0,0,65,0.3,0.2
Total (All-India),Total (All-India),Total (All-India),11694.4,624,0.1,100,1346,0.1,100,512,0,100,44,0,100,70,0,100,195,0,100,4410,0.4,100,168,0,100,11143,1,100,15082,1.3,100,33594,2.9,100
