Sr. No.,Category,States/ UTs,Estimated Mid-Year Population (In Lakhs)#,Murder (Sec. 302 IPC) (I),Murder (Sec. 302 IPC) ( R),Murder (Sec. 302 IPC) (P),Rape (Sec. 376 IPC) (I),Rape (Sec. 376 IPC) ( R),Rape (Sec. 376 IPC) (P),"Kidnapping & Abduction (Sec. 363-369, 371-373 IPC) (I)","Kidnapping & Abduction (Sec. 363-369, 371-373 IPC) ( R)","Kidnapping & Abduction (Sec. 363-369, 371-373 IPC) (P)",Dacoity (Sec. 395-398 IPC) (I),Dacoity (Sec. 395-398 IPC) ( R),Dacoity (Sec. 395-398 IPC) (P),"Robbery (Sec. 392-394, 397, 398 IPC) (I)","Robbery (Sec. 392-394, 397, 398 IPC) ( R)","Robbery (Sec. 392-394, 397, 398 IPC) (P)","Arson (Sec. 435, 436, 438 IPC) (I)","Arson (Sec. 435, 436, 438 IPC) ( R)","Arson (Sec. 435, 436, 438 IPC) (P)","Hurt (Sec. 323-333, 335-338 IPC) (I)","Hurt (Sec. 323-333, 335-338 IPC) ( R)","Hurt (Sec. 323-333, 335-338 IPC) (P)","Prot. of Civil Rights Act, 1955 (I)","Prot. of Civil Rights Act, 1955 ( R)","Prot. of Civil Rights Act, 1955 (P)","SC/ST Prev. of Attrocities Act, 1989 (I)","SC/ST Prev. of Attrocities Act, 1989 ( R)","SC/ST Prev. of Attrocities Act, 1989 (P)",Other Offences (I),Other Offences ( R),Other Offences (P),Total (I),Total ( R),Total (P)
1,State,Andhra Pradesh,833,35,0,5.6,99,0.1,7.4,19,0,3.7,1,0,2.3,4,0,5.7,12,0,6.2,722,0.9,16.4,39,0,23.2,1737,2.1,15.6,1836,2.2,12.2,4504,5.4,13.4
2,State,Arunachal Pradesh,12.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,State,Assam,305.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,State,Bihar,957.5,22,0,3.5,19,0,1.4,13,0,2.5,0,0,0,8,0,11.4,40,0,20.5,539,0.6,12.2,0,0,0,2534,2.6,22.7,661,0.7,4.4,3836,4,11.4
5,State,Chhattisgarh,241.6,6,0,1,51,0.2,3.8,1,0,0.2,2,0,4.5,3,0,4.3,0,0,0,101,0.4,2.3,0,0,0,107,0.4,1,195,0.8,1.3,466,1.9,1.4
6,State,Goa,16.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.1,0,0,0,0,0,0,0,2,0.1,0,3,0.2,0
7,State,Gujarat,574.4,20,0,3.2,28,0,2.1,34,0.1,6.6,8,0,18.2,11,0,15.7,3,0,1.5,241,0.4,5.5,2,0,1.2,400,0.7,3.6,435,0.8,2.9,1182,2.1,3.5
8,State,Haryana,242.4,7,0,1.1,32,0.1,2.4,32,0.1,6.3,0,0,0,0,0,0,1,0,0.5,48,0.2,1.1,0,0,0,91,0.4,0.8,92,0.4,0.6,303,1.2,0.9
9,State,Himachal Pradesh,66.3,1,0,0.2,7,0.1,0.5,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0.6,60,0.9,0.5,18,0.3,0.1,88,1.3,0.3
10,State,Jammu & Kashmir,129.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0.6,0,0,0,0,0,0,1,0,0
11,State,Jharkhand,305.4,5,0,0.8,8,0,0.6,4,0,0.8,3,0,6.8,1,0,1.4,0,0,0,86,0.3,2,0,0,0,270,0.9,2.4,254,0.8,1.7,631,2.1,1.9
