Sr. No.,Category,States/ UTs,Murder (Sec.302 IPC) - 2008,Murder (Sec.302 IPC) - 2009,Murder (Sec.302 IPC) - % Varitation,Attempt to Commit Murder (Sec. 307 IPC) - 2008,Attempt to Commit Murder (Sec. 307 IPC) - 2009,Attempt to Commit Murder (Sec. 307 IPC) - % Varitation,"C.h. Not Amounting to Murder (Sec.304 , 308 IPC) - 2008","C.h. Not Amounting to Murder (Sec.304 , 308 IPC) - 2009","C.h. Not Amounting to Murder (Sec.304 , 308 IPC) - % Varitation",Rape (Sec. 376 IPC) - Total - 2008,Rape (Sec. 376 IPC) - Total - 2009,Rape (Sec. 376 IPC) - Total - % Variation,Rape (Sec. 376 IPC) - Custodial - 2008,Rape (Sec. 376 IPC) - Custodial - 2009,Rape (Sec. 376 IPC) - Custodial - % Variation,Rape (Sec. 376 IPC) - Others - 2008,Rape (Sec. 376 IPC) - Others - 2009,Rape (Sec. 376 IPC) - Others - % Variation,"Kidnapping & Abduction (Sec. 363-369, 371-373 IPC) - Total - 2008","Kidnapping & Abduction (Sec. 363-369, 371-373 IPC) - Total - 2009","Kidnapping & Abduction (Sec. 363-369, 371-373 IPC) - Total - % Variation","Kidnapping & Abduction (Sec. 363-369, 371-373 IPC) - of Women & Girls - 2008","Kidnapping & Abduction (Sec. 363-369, 371-373 IPC) - of Women & Girls - 2009","Kidnapping & Abduction (Sec. 363-369, 371-373 IPC) - of Women & Girls - % Variation","Kidnapping & Abduction (Sec. 363-369, 371-373 IPC) - of Others - 2008","Kidnapping & Abduction (Sec. 363-369, 371-373 IPC) - of Others - 2009","Kidnapping & Abduction (Sec. 363-369, 371-373 IPC) - of Others - % Variation",Dacoity (Sec. 395-398 IPC) - 2008,Dacoity (Sec. 395-398 IPC) - 2009,Dacoity (Sec. 395-398 IPC) - % Variation,Preparation & Assembly for Dacoity (Sec.399-402 IPC) - 2008,Preparation & Assembly for Dacoity (Sec.399-402 IPC) - 2009,Preparation & Assembly for Dacoity (Sec.399-402 IPC) - % Variation,"Robbery (Sec.392-394, 397, 398 IPC) - 2008","Robbery (Sec.392-394, 397, 398 IPC) - 2009","Robbery (Sec.392-394, 397, 398 IPC) - % Variation","Burglary (Sec.449-452,454,455,457-460 IPC) - 2008","Burglary (Sec.449-452,454,455,457-460 IPC) - 2009","Burglary (Sec.449-452,454,455,457-460 IPC) - % Variation",Theft (Sec.379-382 IPC) - Total - 2008,Theft (Sec.379-382 IPC) - Total - 2009,Theft (Sec.379-382 IPC) - Total - % Variation,Theft (Sec.379-382 IPC) - Auto Theft - 2008,Theft (Sec.379-382 IPC) - Auto Theft - 2009,Theft (Sec.379-382 IPC) - Auto Theft - % Variation,Theft (Sec.379-382 IPC) - Other Theft -2008,Theft (Sec.379-382 IPC) - Other Theft - 2009,Theft (Sec.379-382 IPC) - Other Theft - % Variation,"Riots (Sec.143-145,147- 151,153,153A,153B,157,158,160 IPC) - 2008","Riots (Sec.143-145,147- 151,153,153A,153B,157,158,160 IPC) - 2009","Riots (Sec.143-145,147- 151,153,153A,153B,157,158,160 IPC) - % Variation",Criminal Breach of Trust (Sec. 406-409 IPC) - 2008,Criminal Breach of Trust (Sec. 406-409 IPC) - 2009,Criminal Breach of Trust (Sec. 406-409 IPC) - % Variation,"Cheating (Sec. 419,420 IPC) - 2008","Cheating (Sec. 419,420 IPC) - 2009","Cheating (Sec. 419,420 IPC) - % Variation","Counterfeiting (Sec.231-254, 489A-489D IPC) - 2008","Counterfeiting (Sec.231-254, 489A-489D IPC) - 2009","Counterfeiting (Sec.231-254, 489A-489D IPC) - % Variation","Arson (Sec.435,436,438 IPC) - 2008","Arson (Sec.435,436,438 IPC) - 2009","Arson (Sec.435,436,438 IPC) - % Variation","Hurt (Sec.323-333, 335-338 IPC) - 2008","Hurt (Sec.323-333, 335-338 IPC) - 2009","Hurt (Sec.323-333, 335-338 IPC) - % Variation",Dowry Deaths (Sec.304B IPC) - 2008,Dowry Deaths (Sec.304B IPC) - 2009,Dowry Deaths (Sec.304B IPC) - % Variation,Molestation (Sec.354 IPC) - 2008,Molestation (Sec.354 IPC) - 2009,Molestation (Sec.354 IPC) - % Variation,Sexual Harassment (Sec.509 IPC) - 2008,Sexual Harassment (Sec.509 IPC) - 2009,Sexual Harassment (Sec.509 IPC) - % Variation,Cruelty by Husband and Relatives (Sec. 498A IPC) - 2008,Cruelty by Husband and Relatives (Sec. 498A IPC) - 2009,Cruelty by Husband and Relatives (Sec. 498A IPC) - % Variation,Importation of Girls (Sec. 366B IPC) - 2008,Importation of Girls (Sec. 366B IPC) - 2009,Importation of Girls (Sec. 366B IPC) - % Variation,Causing Death by Negligence (Sec. 304A IPC) - 2008,Causing Death by Negligence (Sec. 304A IPC) - 2009,Causing Death by Negligence (Sec. 304A IPC) - % Variation,Other IPC Crimes -2008,Other IPC Crimes - 2009,Other IPC Crimes - % Variation,Total Cognizable Crimes Under IPC - 2008,Total Cognizable Crimes Under IPC - 2009,Total Cognizable Crimes Under IPC - % Variation,Note of Attempt to Commit Murder (Sec. 307 IPC) - %Varitation,"Note of C.h. Not Amounting Murder (Sec.304 , 308 IPC) - %Varitation",Note of Rape (Sec. 376 IPC) - Custodial - % Variation,Note of Dacoity (Sec. 395-398 IPC) - % Variation,Note of Preparation & Assembly for Dacoity (Sec.399-402 IPC) - % Variation,"Note of Robbery (Sec.392-394, 397, 398 IPC) - % Variation","Note of Counterfeiting (Sec.231-254, 489A-489D IPC) - % Variation","Note of Arson (Sec.435,436,438 IPC) - % Variation",Note of Sexual Harassment (Sec.509 IPC) - % Variation,Note of Importation of Girls (Sec. 366B IPC) - % Variation,Note of Causing Death by Negligence (Sec. 304A IPC) - % Variation
1,State,Andhra Pradesh,2690,2449,-9,1942,1859,-4.3,165,134,-18.8,1257,1188,-5.5,0,0,NA,1257,1188,-5.5,1970,1958,-0.6,1396,1526,9.3,574,432,-24.7,110,102,-7.3,11,27,145.5,623,544,-12.7,8332,7772,-6.7,25362,24692,-2.6,7297,7804,6.9,18065,16888,-6.5,1930,2261,17.2,990,904,-8.7,8393,8528,1.6,379,461,21.6,1021,1039,1.8,48167,44488,-7.6,556,546,-1.8,4730,5147,8.8,3551,3520,-0.9,10306,11297,9.6,0,0,NA,12861,13438,4.5,43929,48087,9.5,179275,180441,0.7,NA,NA,@,NA,NA,NA,NA,NA,NA,@,NA
2,State,Arunachal Pradesh,72,59,-18.1,37,33,-10.8,2,5,150,42,59,40.5,0,0,NA,42,59,40.5,79,62,-21.5,47,28,-40.4,32,34,6.3,14,20,42.9,0,0,0,79,55,-30.4,245,201,-18,445,381,-14.4,60,109,81.7,385,272,-29.4,18,52,188.9,43,38,-11.6,28,29,3.6,1,8,700,10,28,180,479,526,9.8,0,0,0,72,58,-19.4,1,6,500,13,13,0,0,0,NA,104,110,5.8,590,619,4.9,2374,2362,-0.5,NA,NA,@,NA,NA,NA,NA,NA,NA,@,NA
3,State,Assam,1426,1323,-7.2,417,417,0,71,35,-50.7,1438,1631,13.4,0,0,NA,1438,1631,13.4,2239,2718,21.4,1789,2092,16.9,450,626,39.1,312,251,-19.6,74,21,-71.6,568,680,19.7,3147,3149,0.1,8012,7644,-4.6,2101,1713,-18.5,5911,5931,0.3,2600,1808,-30.5,680,802,17.9,996,1098,10.2,91,84,-7.7,443,476,7.4,6107,6547,7.2,103,170,65,1272,1342,5.5,2,10,400,3478,4398,26.5,0,1,NA,2259,2735,21.1,17598,17973,2.1,53333,55313,3.7,NA,NA,@,NA,NA,NA,NA,NA,NA,@,NA
4,State,Bihar,3139,3152,0.4,2954,3068,3.9,386,243,-37,1302,929,-28.6,0,0,NA,1302,929,-28.6,3047,3222,5.7,1789,1986,11,1258,1236,-1.7,686,654,-4.7,60,64,6.7,1592,1619,1.7,3414,3566,4.5,13206,15221,15.3,2675,3674,37.3,10531,11547,9.6,8099,8554,5.6,1352,1186,-12.3,2741,2676,-2.4,69,69,0,772,685,-11.3,16644,14746,-11.4,1210,1295,7,999,726,-27.3,21,12,-42.9,1992,2532,27.1,22,31,40.9,4592,4516,-1.7,54370,54165,-0.4,122669,122931,0.2,NA,NA,@,NA,NA,NA,NA,NA,NA,NA,NA
5,State,Chhattisgarh,1169,1083,-7.4,736,732,-0.5,18,19,5.6,978,976,-0.2,0,0,NA,978,976,-0.2,273,286,4.8,216,229,6,57,57,0,124,134,8.1,17,16,-5.9,500,554,10.8,4112,3975,-3.3,6079,5792,-4.7,2122,2181,2.8,3957,3611,-8.7,1144,957,-16.3,169,166,-1.8,562,682,21.4,71,68,-4.2,302,335,10.9,8565,9543,11.4,106,128,20.8,1621,1598,-1.4,125,152,21.6,897,893,-0.4,0,0,NA,2800,2735,-2.3,21074,20546,-2.5,51442,51370,-0.1,NA,NA,@,NA,NA,NA,NA,NA,NA,@,NA
6,State,Goa,49,53,8.2,25,24,-4,11,11,0,30,47,56.7,0,0,NA,30,47,56.7,36,33,-8.3,28,22,-21.4,8,11,37.5,3,4,33.3,0,0,0,23,30,30.4,302,294,-2.6,601,858,42.8,238,336,41.2,363,522,43.8,102,50,-51,47,52,10.6,105,132,25.7,22,27,22.7,27,24,-11.1,185,191,3.2,2,3,50,32,37,15.6,12,10,-16.7,12,21,75,0,0,NA,230,220,-4.3,886,884,-0.2,2742,3005,9.6,NA,NA,@,NA,NA,NA,NA,NA,NA,@,NA
7,State,Gujarat,1106,1020,-7.8,487,468,-3.9,35,30,-14.3,374,433,15.8,0,0,NA,374,433,15.8,1323,1348,1.9,1119,1162,3.8,204,186,-8.8,256,246,-3.9,14,11,-21.4,1322,1420,7.4,5053,4488,-11.2,20715,19669,-5,9947,11130,11.9,10768,8539,-20.7,1809,1539,-14.9,1167,1256,7.6,1167,1014,-13.1,190,238,25.3,363,240,-33.9,10897,9456,-13.2,27,24,-11.1,828,727,-12.2,122,114,-6.6,6094,5506,-9.6,0,0,NA,4934,5178,4.9,65525,60758,-7.3,123808,115183,-7,NA,NA,@,NA,NA,NA,NA,NA,NA,@,NA
8,State,Haryana,921,948,2.9,616,690,12,92,78,-15.2,631,603,-4.4,0,0,NA,631,603,-4.4,854,916,7.3,644,659,2.3,210,257,22.4,120,153,27.5,257,297,15.6,555,679,22.3,4249,4077,-4,12709,12917,1.6,7674,8449,10.1,5035,4468,-11.3,1184,1166,-1.5,763,827,8.4,1150,1406,22.3,40,35,-12.5,139,153,10.1,4504,3977,-11.7,302,281,-7,435,451,3.7,605,605,0,2435,2617,7.5,0,0,NA,1323,1549,17.1,21460,21804,1.6,55344,56229,1.6,NA,NA,@,NA,NA,NA,NA,NA,NA,@,NA
9,State,Himachal Pradesh,129,125,-3.1,59,73,23.7,5,13,160,157,183,16.6,0,0,NA,157,183,16.6,151,150,-0.7,137,122,-10.9,14,28,100,6,4,-33.3,0,0,0,20,21,5,885,784,-11.4,1152,823,-28.6,332,327,-1.5,820,496,-39.5,627,591,-5.7,137,117,-14.6,248,264,6.5,11,2,-81.8,127,124,-2.4,1258,1230,-2.2,3,1,-66.7,295,318,7.8,41,37,-9.8,343,284,-17.2,0,0,NA,485,616,27,7837,7555,-3.6,13976,13315,-4.7,NA,NA,@,NA,NA,NA,NA,NA,NA,@,NA
10,State,Jammu & Kashmir,237,237,0,570,547,-4,31,23,-25.8,219,237,8.2,0,0,NA,219,237,8.2,704,873,24,656,825,25.8,48,48,0,3,1,-66.7,0,0,0,67,69,3,1347,1566,16.3,2198,2631,19.7,689,876,27.1,1509,1755,16.3,1782,1472,-17.4,87,132,51.7,392,475,21.2,23,37,60.9,230,217,-5.7,273,331,21.2,21,12,-42.9,935,972,4,296,371,25.3,162,196,21,0,0,NA,293,517,76.5,10734,11059,3,20604,21975,6.7,NA,NA,@,NA,NA,NA,NA,NA,NA,@,NA
