Sr. No.,Category,States/ UTs/ Cities,Residential Premises - Number,Residential Premises - Value,Highways - Number,Highways - Value,River & Sea - Number,River & Sea - Value,Railways Total - Number,Railways Total - Value,Railways - Running Train - Number,Railways - Running Train - Value,Railways - Others in Railways - Number,Railways - Others in Railways - Value,Banks - Number,Banks - Value,Commercial Establishments - Number,Commercial Establishments - Value,Other Places - Number,Other Places - Value,Total - Number,Total - Value
1,State,Andhra Pradesh,5499,2384.7,80,20.9,0,0,48,20,0,0,48,20,23,76.7,686,278.3,1436,945.2,7772,3725.8
2,State,Arunachal Pradesh,99,73.8,0,0,0,0,0,0,0,0,0,0,0,0,27,6.1,75,1517.4,201,1597.3
3,State,Assam,2166,282.7,47,31.2,0,0,3,0.3,3,0.3,0,0,15,0.6,339,76,579,174.6,3149,565.3
4,State,Bihar,2601,419.4,14,1.8,0,0,11,3.2,0,0,11,3.2,0,0,272,38.5,668,87.3,3566,550.3
5,State,Chhattisgarh,3121,706.4,33,19.8,0,0,0,0,0,0,0,0,5,1.5,306,141.6,510,207.7,3975,1077
6,State,Goa,190,229.6,0,0,0,0,0,0,0,0,0,0,3,0,64,65,37,39.7,294,334.3
7,State,Gujarat,2673,1553.3,5,1.6,0,0,0,0,0,0,0,0,20,10.1,787,502,1003,774.9,4488,2841.9
8,State,Haryana,2740,1001.9,0,0,0,0,0,0,0,0,0,0,37,13.7,733,273.2,567,287.3,4077,1576.1
9,State,Himachal Pradesh,367,242.1,0,0,0,0,0,0,0,0,0,0,17,0.7,126,165.1,274,77.6,784,485.5
10,State,Jammu & Kashmir,677,258.3,0,0,0,0,1,0,0,0,1,0,1,10.6,305,186.1,582,226.2,1566,681.2
11,State,Jharkhand,1017,153.2,7,1,0,0,0,0,0,0,0,0,0,0,188,67.4,180,27.3,1392,249
12,State,Karnataka,3258,2110.7,140,133.1,0,0,0,0,0,0,0,0,61,338.8,1058,747.6,2112,1301.7,6629,4631.8
13,State,Kerala,1974,2043.7,1,11,0,0,1,0,0,0,1,0,25,516.1,617,279.4,936,1449,3554,4299.1
14,State,Madhya Pradesh,7593,1671,18,1.8,0,0,30,8.6,0,0,30,8.6,11,35.1,1120,308.7,1889,410.2,10661,2435.4
15,State,Maharashtra,9644,5746.7,11,6.6,3,0.5,5,0.2,0,0,5,0.2,85,53.5,2629,2575.4,3464,2011.9,15841,10394.7
16,State,Manipur,15,10.9,0,0,0,0,0,0,0,0,0,0,0,0,33,50.3,20,7.7,68,68.8
17,State,Meghalaya,101,21.4,0,0,0,0,0,0,0,0,0,0,1,0,6,7,39,6.6,147,35.1
18,State,Mizoram,321,307,0,0,0,0,0,0,0,0,0,0,0,0,34,5.4,26,27.8,381,340.1
19,State,Nagaland,24,22,0,0,0,0,0,0,0,0,0,0,0,0,10,2,48,28.2,82,52.2
20,State,Orissa,1729,944.8,10,0.1,0,0,29,9.3,0,0,29,9.3,13,20.8,525,539.5,631,501.2,2937,2015.7
21,State,Punjab,1313,882.2,1,2.1,0,0,0,0,0,0,0,0,97,40.9,603,583.6,493,442.7,2507,1951.6
22,State,Rajasthan,3166,1456.5,0,0,0,0,0,0,0,0,0,0,18,1.9,1253,582.5,857,535.3,5294,2576.3
23,State,Sikkim,64,31.8,0,0,0,0,0,0,0,0,0,0,12,10.1,0,0,17,5,93,46.9
24,State,Tamil Nadu,2986,1312.1,0,0,1,0.2,3,0.1,0,0,3,0.1,10,15.7,459,233.2,762,317.8,4221,1879.1
25,State,Tripura,111,34.2,0,0,0,0,0,0,0,0,0,0,0,0,66,22.5,54,12.1,231,68.8
26,State,Uttar Pradesh,3747,1165.5,0,0,0,0,0,0,0,0,0,0,1,1.5,278,75.3,1234,255.6,5260,1497.9
27,State,Uttarakhand,240,21.3,0,0,0,0,0,0,0,0,0,0,2,4.4,54,25.3,67,89.1,363,140.1
28,State,West Bengal,183,135.9,1,1.1,0,0,0,0,0,0,0,0,0,0,45,94.1,100,37.6,329,268.7
State,State,Total (States),57619,25222.9,368,232.2,4,0.7,131,41.9,3,0.3,128,41.6,457,1152.6,12623,7931,18660,11804.7,89862,46386
29,Union Territory,A & N Islands,38,19.9,0,0,0,0,0,0,0,0,0,0,0,0,19,9.8,29,18.2,86,47.9
30,Union Territory,Chandigarh,143,83.4,0,0,0,0,0,0,0,0,0,0,1,0,81,67,16,4.2,241,154.5
31,Union Territory,D & N Haveli,24,32.7,0,0,0,0,0,0,0,0,0,0,1,0,10,12.5,8,3.3,43,48.5
32,Union Territory,Daman & Diu,11,10.8,0,0,0,0,0,0,0,0,0,0,0,0,19,65.5,3,3.4,33,79.7
33,Union Territory,Delhi,1133,1036.1,0,0,0,0,1,0.4,0,0,1,0.4,4,18.7,321,354,274,1114.8,1733,2524
34,Union Territory,Lakshadweep,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3
35,Union Territory,Puducherry,49,28.3,0,0,0,0,0,0,0,0,0,0,0,0,22,27.1,0,0,71,55.4
Union Territory,Union Territory,Total (UTs),1399,1214.3,0,0,0,0,1,0.4,0,0,1,0.4,6,18.7,472,535.9,330,1143.9,2208,2913.1
Total (All-India),Total (All-India),Total (All-India),59018,26437.2,368,232.2,4,0.7,132,42.2,3,0.3,129,41.9,463,1171.2,13095,8466.9,18990,12948.6,92070,49299
36,City,Agra,115,39.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22,1.9,137,41.5
37,City,Ahmedabad,521,323.2,0,0,0,0,0,0,0,0,0,0,0,0,164,90.2,66,292.8,751,706.2
38,City,Allahabad,97,23.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,4.9,110,28.5
39,City,Amritsar,86,98.1,0,0,0,0,0,0,0,0,0,0,3,0,19,18.2,0,0,108,116.3
40,City,Asansol,5,0.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.2,6,0.6
