Sr. No.,Category,States/ UTs/ Cities,"No. of Vehicles - Motor Cycles, Scooters - S","No. of Vehicles - Motor Cycles, Scooters - R","No. of Vehicles - Motor Cycles, Scooters - C",No. of Vehicles - Motor Car / Taxi / Jeep - S,No. of Vehicles - Motor Car / Taxi / Jeep - R,No. of Vehicles - Motor Car / Taxi / Jeep - C,No. of Vehicles - Buses - S,No. of Vehicles - Buses - R,No. of Vehicles - Buses - C,No. of Vehicles - Goods Carrying Vehicles (Trucks/Tempos Etc.) - S,No. of Vehicles - Goods Carrying Vehicles (Trucks/Tempos Etc.) - R,No. of Vehicles - Goods Carrying Vehicles (Trucks/Tempos Etc.) - C,No. of Vehicles - Other Motor Vehicles - S,No. of Vehicles - Other Motor Vehicles - R,No. of Vehicles - Other Motor Vehicles - C,No. of Vehicles - Total Motor Vehicles - S,No. of Vehicles - Total Motor Vehicles - R,No. of Vehicles - Total Motor Vehicles - C
1,State,Andhra Pradesh,7244,3625,659,436,253,49,1,1,0,94,66,5,482,332,0,8257,4277,713
2,State,Arunachal Pradesh,83,30,7,26,4,2,0,0,0,0,0,0,0,0,0,109,34,9
3,State,Assam,1135,214,43,443,97,5,3,3,0,22,11,4,106,2,3,1709,327,55
4,State,Bihar,3200,338,118,262,41,14,1,0,0,38,11,1,173,24,12,3674,414,145
5,State,Chhattisgarh,1882,582,0,236,76,0,0,0,0,0,0,0,70,31,0,2188,689,0
6,State,Goa,310,71,5,19,4,1,1,0,1,15,9,1,1,0,0,346,84,8
7,State,Gujarat,9821,2445,918,763,155,49,11,6,3,93,19,11,457,128,23,11145,2753,1004
8,State,Haryana,6070,1727,307,1587,433,40,6,6,1,276,107,21,431,152,36,8370,2425,405
9,State,Himachal Pradesh,129,56,12,166,62,4,0,0,0,21,6,1,15,6,2,331,130,19
10,State,Jammu & Kashmir,362,73,0,433,122,2,0,0,0,41,20,1,45,22,0,881,237,3
11,State,Jharkhand,2168,477,0,295,74,0,1,0,0,32,6,0,0,0,0,2496,557,0
12,State,Karnataka,9724,2263,227,959,252,58,5,0,1,115,44,6,217,87,59,11020,2646,351
13,State,Kerala,1498,550,24,307,109,4,3,3,0,84,29,0,136,51,2,2028,742,30
14,State,Madhya Pradesh,9826,2027,0,675,234,0,0,0,0,0,0,0,454,192,0,10955,2453,0
15,State,Maharashtra,14723,3731,1083,2523,509,251,10,6,2,730,190,43,250,179,94,18236,4615,1473
16,State,Manipur,253,5,5,51,1,1,0,0,0,0,0,0,16,1,1,320,7,7
17,State,Meghalaya,99,7,3,59,12,0,0,0,0,7,3,0,15,5,1,180,27,4
18,State,Mizoram,33,26,26,8,6,6,0,0,0,0,0,0,36,27,27,77,59,59
19,State,Nagaland,83,9,0,103,21,0,0,0,0,13,2,0,17,4,0,216,36,0
20,State,Orissa,2081,571,108,358,74,7,0,0,0,21,11,5,61,20,1,2521,676,121
21,State,Punjab,1746,764,215,870,248,41,1,1,0,128,49,1,97,39,6,2842,1101,263
22,State,Rajasthan,9787,1507,374,1654,321,158,5,4,0,184,60,0,153,50,2,11783,1942,534
23,State,Sikkim,1,0,0,7,4,0,0,0,0,2,1,0,0,0,0,10,5,0
24,State,Tamil Nadu,4865,3571,2800,194,140,104,4,4,4,55,49,20,80,62,57,5198,3826,2985
