Sr. No.,Purpose,Total No. of Cases Reported,Sex-Wise/Age Group-Wise - Upto 10 Years - Male,Sex-Wise/Age Group-Wise - Upto 10 Years - Female,Sex-Wise/Age Group-Wise - 10 - 15 Years - Male,Sex-Wise/Age Group-Wise - 11 - 15 Years - Female,Sex-Wise/Age Group-Wise - 15 - 18 Years - Male,Sex-Wise/Age Group-Wise - 15 - 18 Years - Female,Sex-Wise/Age Group-Wise - 18 - 30 Years - Male,Sex-Wise/Age Group-Wise - 18 - 30 Years - Female,Sex-Wise/Age Group-Wise - 30- 50 Years - Male,Sex-Wise/Age Group-Wise - 30- 50 Years - Female,Sex-Wise/Age Group-Wise - Above 50 Years - Male,Sex-Wise/Age Group-Wise - Above 50 Years - Female,Sex-Wise/Age Group-Wise - Total - Male,Sex-Wise/Age Group-Wise - Total - Female,Sex-Wise/Age Group-Wise - Grand Total
1,For Adoption,49,6,2,7,1,6,22,5,0,1,0,0,0,25,25,50
2,For Begging,31,6,9,9,3,3,0,7,0,0,2,0,0,25,14,39
3,For Camel racing,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,For Illicit intercourse,2804,1,14,2,217,9,522,51,1626,11,341,1,0,75,2720,2795
5,For marriage,16225,1,48,1,679,36,3412,109,10113,36,1835,0,35,183,16122,16305
6,For Prostitution,518,0,3,1,26,0,135,10,353,8,63,2,0,21,580,601
7,For Ransom,611,54,12,52,12,19,10,214,117,131,10,11,0,481,161,642
8,For Revenge,342,11,9,6,8,5,9,139,50,91,8,11,1,263,85,348
9,For Sale,223,0,2,1,11,3,22,13,168,1,22,0,0,18,225,243
10,For Selling body parts,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11,For Slavery,99,0,0,22,0,23,4,34,10,6,0,0,0,85,14,99
12,For unlawaful activity,817,21,19,27,30,88,34,341,111,114,18,16,0,607,212,819
13,Others,12141,471,292,541,744,518,1217,2976,2990,1665,768,163,18,6334,6029,12363
14,Total,33860,571,410,669,1731,710,5387,3899,15538,2064,3067,204,54,8117,26187,34304
